Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Agency Staff;
Headcount","Non-payroll staff;
Agency Staff;
Full-time equivalent","Non-payroll staff;
Interim managers;
Headcount","Non-payroll staff;
Interim managers;
Full-time equivalent","Non-payroll staff;
Specialist Contractors;
Headcount","Non-payroll staff;
Specialist Contractors;
Full-time equivalent","Non-payroll staff;
Consultants/consultancy;
Headcount","Non-payroll staff;
Consultants/consultancy;
Full-time equivalent","Non-payroll staff;
Total;
Headcount","Non-payroll staff;
Total;
Full-time equivalent","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour: agency staff, interim managers and specialist contractors","Non-Payroll staff costs;
Consultants/consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs,,,,,,,,,
2021,December,Department for Education,Ministerial Department,Department for Education,88,82.9,778,755.0,"2,800","2,705.5","2,282","2,192.3",219,208.5,7,6.8,"6,174",5951,63,63.0,,,85,82.6,,,148,146,"6,322","6,097","£21,796,780.60","£464,880.79","£380,819.50","£96,312.67","£5,957,434.40","£2,604,145.08","£31,300,373.04","£1,143,791.01","£240,071.16","£1,383,862.17","£32,684,235.21",,,,,,,,,
2021,December,Education & Skills Funding Agency ,Executive Agency,Department for Education,22,20.6,182,175.1,"1,015",978.8,581,567.0,42,41.0,,,"1,842",1783,,,,,1,1.0,,,1,1,"1,843","1,784","£6,081,790.98","£90,806.74","£102,625.00","£18,686.11","£1,685,206.04","£714,417.33","£8,693,532.20","-£804,618.41","-£81,630.07","-£886,248.48","£7,807,283.72",,,,,,,,,
2021,December,Teaching Regulation Authority,Executive Agency,Department for Education,14,14.0,26,25.4,30,28.5,7,6.7,1,1.0,,,78,76,,,,,,,,,0,0,78,76,"£177,175.86","£1,366.57",£500.00,£0.00,"£50,535.88","£20,996.71","£250,575.02",£0.00,£0.00,£0.00,"£250,575.02",,,,,,,,,
2021,December,Standards and Testing Agency,Executive Agency,Department for Education,0,0.0,11,10.8,70,65.9,34,32.8,4,4.0,,,119,113,,,,,,,1,1.0,1,1,120,114,"£392,969.42","£5,645.45","£7,100.00",£0.00,"£108,230.09","£46,539.98","£560,484.94",£0.00,£0.00,£0.00,"£560,484.94",,,,,,,,,
2021,December,The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,,,1,1.0,15,15.0,7,6.6,4,4.0,,,27,27,1,1.0,1,1.0,,,,,2,2,29,29,"£116,593.52","£1,439.80",,,"£29,896.64","£13,434.86","£161,364.82","£14,033.48",,"£14,033.48","£175,398.30",,,,,,,,,
2021,December,Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,49,44.0,328,324.3,244,240.8,18,17.8,5,5.0,1,0.2,645,632,4,4.0,1,1.0,,,,,5,5,650,637,"£2,019,514.48","£140,897.22",£0.00,"£20,280.97","£148,163.03","£218,130.81","£2,546,986.51","£131,547.64","£8,640.00","£140,187.64","£2,687,174.15",,,,,,,,,
2021,December,Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,36,35.8,33,32.2,4,4,,,,,83,82,,,,,2,0.1,4,0.4,6,1,89,83,"£356,124.00","£41,493.00",£210.00,£0.00,"£43,671.00","£40,116.00","£481,614.00",£857.50,"£2,700.00","£3,557.50","£485,171.50",,,,,,,,,
2021,December,Office for Students,Executive Non-Departmental Public Body,Department for Education,21,20.2,7,6.4,183,169.8,144,131.0,42,40.1,,,397,368,12,12.0,,,2,2.0,,,14,14,411,382,"£1,386,249.00","£20,518.00",£0.00,£971.00,"£375,443.00","£140,593.00","£1,923,774.00","£42,161.00",,"£42,161.00","£1,965,935.00",,,,,,,,,
2021,December,Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,"1,889","1,781.8","1,031","1,005.7",280,275.3,30,29.8,8,8.0,0,0.0,"3,238",3101,9,9.0,0,0.0,11,11.0,0,0.0,20,20,"3,258","3,121","£7,139,476.21","£166,419.03","£11,692.70","£105,506.26","£1,412,951.19","£681,444.39","£9,517,489.78","£117,323.60",£0.00,"£117,323.60","£9,634,813.38",,,,,,,,,
2021,December,Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,5,5.0,8,8.0,96,94.4,149,146.5,13,12.2,,,271,266,7,7.0,,,,,,,7,7,278,273,"£1,103,421.03",,"£12,375.00",,"£291,321.86","£128,645.66","£1,535,763.55","£35,750.36",,"£35,750.36","£1,571,513.91",,,,,,,,,
