Minister,Date,Name of organisation or individual,Purpose of meeting
Nicholas True,Nil Return,Nil Return,Nil Return
Jacob Rees Mogg,2022-02-11,Sunday Express,Media Interview - Discussion of government policy
Jacob Rees Mogg,2022-02-14,Competere,To discuss borders and regulation as a brexit opportunity
Jacob Rees Mogg,2022-02-17,"PO Ferries, Hutchison Westports, CNS",Meeting with industry leaders to discuss borders as a brexit opportunity
Jacob Rees Mogg,2022-02-21,Oxford University,To discuss regulations as a brexit opportunity
Jacob Rees Mogg,2022-02-23,Catholic Bishops’ Conference of England and Wales,To discuss brexit opportunities
Jacob Rees Mogg,2022-03-01,Hunt Economics BAML,To discuss brexit opportunities - focusing on the role of deregulation in stimulating growth and productivity
Jacob Rees Mogg,2022-03-01,Imperial College London,To discuss regulations as a brexit opportunity
Jacob Rees Mogg,2022-03-02,Institute of Economic Affairs,To discuss regulations as a brexit opportunity
Jacob Rees Mogg,2022-03-02,Taxpayers' Alliance,To discuss the organisation's work in relation to the Minister's portfolio
Jacob Rees Mogg,2022-03-08,Campaign for an Independent Britain,To discuss regulation as a brexit opportunity
Jacob Rees Mogg,2022-03-09,Lance Forman and John Longworth,To discuss regulation as a brexit opportunity
Jacob Rees Mogg,2022-03-14,Competere,To discuss borders and regulation as a brexit opportunity
Jacob Rees Mogg,2022-03-15,Adam Smith Institute,To discuss the future shape of the Civil Service
Jacob Rees Mogg,2022-03-16,Guy Strafford,To discuss the Procurement Bill
Jacob Rees Mogg,2022-03-16,Serco Group,To discuss HR functions in Private Organisations
Jacob Rees Mogg,2022-03-22,Conservative Home,To discuss brexit opportunities and government efficiency
Jacob Rees Mogg,2022-03-28,UK Hospitality,To discuss the reform of package travel legislation
Jacob Rees Mogg,2022-03-29,The British Art Market Federation,To discuss the UK art market and brexit opportunities
Jacob Rees Mogg,2022-03-29,Cold Chain Federation,To discuss borders and import control as a brexit opportunity
Jacob Rees Mogg,2022-03-30,Palantir,To discuss borders and regulations as a brexit opportunity
Oliver Dowden,Nil Return,Nil Return,Nil Return
Nigel Adams,2022-02-17,World Cup 2022 CEO,Official visit: Discussing UK presense at WC22 - from a GREAT perspective
Nigel Adams,2022-02-17,Qatar Tourism Secretary General and Qatar Airlines,Official visit: Learnings from GREAT campaign;
Nigel Adams,2022-02-18,Pro Vice Chancellor International,"Official visit: Discussing work of the DMU Campus in Dubai, their sponsorship of the Expo and partnership with the GREAT campaign"
Nigel Adams,2022-02-18,Regional CEO - MENAT HSBC,"Official visit: Discussing work of the HSBC in Dubai, their sponsorship of the Expo and partnership with the GREAT campaign"
Nigel Adams,2022-02-18,Vineet Bhatia,Official visit: Discussing GREAT
Nigel Adams,2022-03-01,British Tourist Authority,Call to discuss the work of Visit Britain - GREAT perspective
Nigel Adams,2022-03-10,"Jason Groves, Political Editor of the Daily Mail",Informal lunch
Nigel Adams,2022-03-16,Chairman of Conservative Alumni,To discuss public appointments
Nigel Adams,2022-03-24,"VisitBritain, British Airways",Discuss VisitBritain’s latest campaign in the US and their partnership with British Airways
Nigel Adams,2022-03-23,"Stephen Webster Ltd, The James Beard Foundation, GREAT Ambassador, Green & Blue Advisors, Robin Zendell & Associates, Tate Amercias Foundation",Official visit: meeting with GREAT ambassadors
Nigel Adams,2022-03-24,"EVP/Director for the Americas, Chief Marketing Officer for the Americas, Digital Marketing Manager for North America, Commercial Partnerships Marketing Director, North America, VisitBritain, Jula Gordin, Senior Communications Manager, US, OMD Worldwide, British Airways",Official visit: Discuss VisitBritain’s latest campaign in the US and their partnership with British Airways
Nigel Adams,2022-03-24,"CIE Tours, American Airlines, United Airlines, USTOA (US Tour Operators Association), Virgin Atlantic, Head of North America, London + Partners, Internova Travel Group, Edwardian Hotels, JetBlue",Official visit: discuss the tourism recovery
