Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Admin and Clerical;
Headcount","Non-payroll staff;
Admin and Clerical;
Full-time equivalent","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Headcount","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Full-time equivalent","Non-payroll staff;
Other Contingent labour;
Headcount","Non-payroll staff;
Other Contingent labour;
Full-time equivalent","Non-payroll staff;
Total Contingent labour;
Headcount","Non-payroll staff;
Total Contingent labour;
Full-time equivalent","Non-payroll staff;
Consultancy;
Number of Contracts","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour","Non-Payroll staff costs;
Consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs,,,,,,,,,
2023,January,Department for Education,Ministerial Department,Department for Education,83,76.3,763,737.5,"3,334","3,220.5","2,790","2,684.4",246,234.8,10,9.8,"7,226",6963,47,47.0,98,89.6,0,0.0,145,137,,"7,371","7,100","£25,598,995.42","£347,701.80","£149,650.78","£56,000.74","£7,176,349.74","£4,514,015.48","£37,842,713.96","£1,218,309.63","£969,416.83","£2,187,726.46","£40,030,440.42",,,,,,,,,
2023,January,Education & Skills Funding Agency ,Executive Agency,Department for Education,4,3.7,55,53.6,487,467.8,228,222.0,19,18.6,1,1.0,794,767,0,0.0,1,1.0,0,0.0,1,1,,795,768,"£2,680,468.38","£42,687.36","£15,805.38","£1,509.88","£736,283.06","£305,088.04","£3,781,842.10","-£9,736.73","-£41,838.00","-£51,574.73","£3,730,267.37",,,,,,,,,
2023,January,Teaching Regulation Authority,Executive Agency,Department for Education,11,10.5,31,30.3,34,32.1,7,6.8,1,1.0,0,0.0,84,81,3,3.0,0,0.0,0,0.0,3,3,0,87,84,"£212,793.77","£1,702.05",£444.30,£0.00,"£56,230.81","£22,041.66","£293,212.59","-£1,753.11",£0.00,"-£1,753.11","£291,459.48",,,,,,,,,
2023,January,Standards and Testing Agency,Executive Agency,Department for Education,1,1.0,15,14.8,80,75.6,36,34.4,4,4.0,0,0.0,136,130,0,0.0,0,0.0,0,0.0,0,0,0,136,130,"£460,625.18","£2,496.82",£202.83,£0.00,"£126,193.69","£52,211.85","£641,730.37",£0.00,£0.00,£0.00,"£641,730.37",,,,,,,,,
2023,January,The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,0,0.0,2,2.0,15,14.8,8,7.6,4,4.0,0,0.0,29,28,0,0.0,1,1.0,0,0.0,1,1,0,30,29,"£124,162.71","£1,096.12",£0.00,£0.00,"£31,908.88","£14,075.09","£171,242.80","£5,179.15",£0.00,"£5,179.15","£176,421.95",,,,,,,,,
2023,January,Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,53,47.3,354,347.0,268,265.2,25,24.8,5,5.0,1,0.2,706,690,6,6.0,0,0.0,0,0.0,6,6,0,712,696,"£2,276,803.03","£148,899.28",£0.00,"£14,110.32","£170,217.39","£241,652.25","£2,851,682.27","£150,175.72",£0.00,"£150,175.72","£3,001,857.99",,,,,,,,,
2023,January,Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,11,11,30,29.8,42,39.9,4,4,0,0,0,0,87,85,0,0.0,2,0.1,4,0.4,6,1,4,93,85,"£344,387.00","£42,241.00",£110.00,£0.00,"£48,176.00","£42,592.00","£477,506.00",£280.00,"£6,900.00","£7,180.00","£484,686.00",,,,,,,,,
2023,January,Office for Students,Executive Non-Departmental Public Body,Department for Education,17,16.1,13,13.0,199,185.2,156,143.9,46,44.1,0,0.0,431,402,9,9.0,7,7.0,0,0.0,16,16,0,447,418,"£1,518,156.86","£30,565.79",£0.00,£445.13,"£413,762.71","£163,366.09","£2,126,296.58","£88,690.55",£0.00,"£88,690.55","£2,214,987.13",,,,,,,,,
2023,January,Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,"2,012","1,902.3",956,931.1,324,319.9,34,34.0,9,9.0,0,0.0,"3,335",3196,1,1.0,4,4.0,0,0.0,5,5,0,"3,340","3,201","£7,593,015.40","£151,632.26","£33,875.82","£149,027.54","£1,695,679.35","£750,630.62","£10,373,860.99","£42,154.00",£0.00,"£42,154.00","£10,416,014.99",,,,,,,,,
2023,January,Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,5,5.0,9,9.0,118,116.2,177,172.5,13,12.2,0,0.0,322,315,0,0.0,0,0.0,7,7.0,7,7,0,329,322,"£1,456,716.23",£0.00,£0.00,£0.00,"£347,283.44","£153,973.57","£1,957,973.24","£36,894.63",£0.00,"£36,894.63","£1,994,867.87",,,,,,,,,
2023,January,LocatEd,Executive Non-Departmental Public Body,Department for Education,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,52,50.2,53,51,0,0.0,0,0.0,0,0.0,0,0,0,53,51,"£307,586.30",£0.00,£0.00,£0.00,"£15,794.06","£35,195.64","£358,576.00",£0.00,£0.00,£0.00,"£358,576.00",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
