Minister,Date,Name of organisation or individual,Purpose of meeting,,,,,,,,,,,,,,,,,,,,,,
Anne-Marie Trevelyan,2022-10-17,Road Haulage Association ,an introductory discussion to discuss the road haulage industry's relationship with the department and the department's projects ,,,,,,,,,,,,,,,,,,,,,,
Anne-Marie Trevelyan,2022-10-17,TSSA ,an introductory discussion to discuss ongoing industrial action,,,,,,,,,,,,,,,,,,,,,,
Anne-Marie Trevelyan,2022-10-18,Lendlease ,to discuss Lendlease's participaction in relevant rail infrastructure projects,,,,,,,,,,,,,,,,,,,,,,
Anne-Marie Trevelyan,2022-10-25,International Transport Forum  ,To discuss the UK's presidency of the International Transport Forum,,,,,,,,,,,,,,,,,,,,,,
Mark Harper,2022-11-02,Rail Delivery Group,an introductory discussion to discuss ongoing industrial action,,,,,,,,,,,,,,,,,,,,,,
Mark Harper,2022-11-15,Keith Williams,to discuss rail reform,,,,,,,,,,,,,,,,,,,,,,
Mark Harper,2022-11-23,Rail Delivery Group,an introductory discussion to discuss ongoing industrial action,,,,,,,,,,,,,,,,,,,,,,
Mark Harper,2022-11-24,RMT,an introductory discussion to discuss ongoing industrial action,,,,,,,,,,,,,,,,,,,,,,
Mark Harper,2022-11-24,TSSA,an introductory discussion to discuss ongoing industrial action,,,,,,,,,,,,,,,,,,,,,,
Mark Harper,2022-11-29,Bechtel,an introductory discussion to dscuss past and future collaboration,,,,,,,,,,,,,,,,,,,,,,
Mark Harper,2022-12-06,ASLEF,an introductory discussion to discuss ongoing industrial action,,,,,,,,,,,,,,,,,,,,,,
Kevin Foster,2022-10-11,Network Rail,Introductory Meeting with Chair and CEO to discuss initial key rail priorities,,,,,,,,,,,,,,,,,,,,,,
Kevin Foster,2022-10-31,HS2 Ltd,Meeting Interim Chair and Special Director - first of regular meetings,,,,,,,,,,,,,,,,,,,,,,
Huw Merriman,2022-11-07,Network Rail,Introductory meeting Chair and CEO of network rail discussing priorities for months ahead,,,,,,,,,,,,,,,,,,,,,,
Huw Merriman,2022-11-09,HS2 LTD,Introductory chat for CEO and Chair discussing priorities,,,,,,,,,,,,,,,,,,,,,,
Huw Merriman,2022-11-10,Railway Industry Associaion,Meeting to discuss RIA's priorities for rail,,,,,,,,,,,,,,,,,,,,,,
Huw Merriman,2022-11-17,South-Eastern Railway,To discuss timetable change,,,,,,,,,,,,,,,,,,,,,,
Huw Merriman,2022-11-21,"Abellio, First Rail, Go-Ahead, MTR, OLR Holdings, Trenitalia, Arriva, Keolis, Rail Partners",Roundtable with the train operators' Owning Groups to meet the new ministers and discuss their initial priorities for the industry.,,,,,,,,,,,,,,,,,,,,,,
Huw Merriman,2022-11-23,"c2c, Chiltern, CrossCountry, East Midlands Railway, Greater Anglia, Great Western Railway, TransPennine Express, Govia Thameslink Railway, LNER, South Eastern, South Western Railway, Avanti West Coast, West Midlands Trains",Meeting with Train Operating Companies' Managing Directors to discuss immediate issues and Rail reform,,,,,,,,,,,,,,,,,,,,,,
Huw Merriman,2022-12-02,"RMT, Network Rail, Rail Delivery Group",Meeting with trade union representatives and industry employers to facilitate discussions on workforce reform,,,,,,,,,,,,,,,,,,,,,,
Huw Merriman,2022-12-12,"TSSA, Network Rail, Rail Delivery Group",Meeting with trade union representatives and industry employers to facilitate discussions on workforce reform,,,,,,,,,,,,,,,,,,,,,,
Huw Merriman,2022-12-14,"Rail Freight Group, GB Railfreight, DB Cargo, Freightliner, Colasrail, NTS Global, Rail Partners",Introductory Roundtable with major rail freight companies to discuss their priorities,,,,,,,,,,,,,,,,,,,,,,
Lucy Frazer,2022-10-13,Road Haulage Association,To discuss DFT's work in supporting the freight industry,,,,,,,,,,,,,,,,,,,,,,
Jesse Norman,2022-11-16,UK Infrastructure Bank ,To check in on the progress of the UKIB and to explore how the Department and UKIB can have an ongoing relationship,,,,,,,,,,,,,,,,,,,,,,
