Senior Official Name,Date,Person or organisation that meeting was with,Purpose of meeting
Simon Case,19/01/2023,"CEO, Sheffield City Council",Catch up meeting
Simon Case,24/03/2023,CEO BAE Systems,Introductory meeting 
Simon Case,06/03/2023,Institute for Government,Introductory meeting 
Simon Case,09/03/2023,BBC News,Catch up meeting
Simon Case,09/03/2023,Financial Times,Catch up meeting
Simon Case,09/03/2023,The Sunday Times,Catch up meeting
Simon Case,17/03/2023,Sky news,Catch up meeting
Simon Case,27/03/2023,BBC,Catch up meeting
Simon Case,30/03/2023,ITV news,Catch up meeting
Alex Chisholm ,16/02/2023,KPMG,Catch up meeting
Alex Chisholm ,15/03/2023,Head of Singapore Civil Service,Introductory Meeting
Timothy Barrow,Nil return,Nil return,Nil return
Elizabeth Gardiner,Nil return,Nil return,Nil return
Simon Gass,Nil return,Nil return,Nil return
Sue Gray,Nil return,Nil return,Nil return
,,,
