"Senior Officials Name
(Firstname and Surname of PermSecs or SCS2/3 Official, exclude titles, honorifics or post nominals e.g. Sir, Captain, MBE, PhD)  ","Start date of trip
(Use the date format: 
YYYY-MM-DD i.e. 2017-11-01)","Duration of Visit (Days)
(Include number of days for the visit,
from departure to arrival)","Destination
(Include trip destination for both domestic and international journeys, e.g. Manchester, UK or Brussels, Belgium)","Purpose of trip
(State a clear purpose, e.g. site visit to locally based staff; Senior Leadership meeting; please avoid abbreviations or acronyms)","Mode of transport
(State if either Rail, Car, Air, Sea, Taxi)
","Class of travel
(i.e. Standard, Economy, Business, First or other)","Accommodation/Meals (£)
(Please include any associated costs relating to accommodation or meals)","Other (including hospitality given)
(State Nil Return if none received)","Total cost, including all visas, accommodation, travel, meals etc. (£)
(This amount should reflect the total cost of the trip, including all visas, additional travel meals etc.)",Total Cost of Use of Official Secure Car (state cost except where officials are accompanying a Minister or Nil Return when not used)
Aiden Reilly,03/11/2022,1,"Birmingham, UK",Site visit and Senior Leadership Team team meeting ,Rail,Standard,Nil Return,Nil Return,69,Nil Return
Aiden Reilly,15/11/2022,2,"Birmingham, UK",Senior Leadership Event,"Rail, Taxi",Standard,74,Nil Return,153,Nil Return
Alan Evans,11/10/2022,1,"Manchester, UK",Executive Committee Board Event,Rail,Standard,163,Nil Return,399,Nil Return
Alan Evans,27/10/2022,1,"Leeds, UK",Executive Committee Board Event,Rail,Standard,Nil Return,Nil Return,128,Nil Return
Andres Honeywell,12/05/2022,3,"London, UK",Extended Leadership Group and RADA Training,"Air, Rail, Taxi","Economy, Standard",868,Nil Return,1314.48,Nil return
Andres Honeywell,03/10/2022,4,"London, UK",SAP Rise & Soar Customer Forum/Enterprise Leadership Group Meeting,Rail,Standard,350.99,Nil return,423.95,Nil return
Andres Honeywell,10/10/2022,4,"London, Manchester, UK",Data Warehouses Workshop with Site visit ,"Air, Rail, Taxi","Economy, Standard,",304,Nil return,987.62,Nil return
Andres Honeywell,18/10/2022,2,"Newcastle upon Tyne, UK",Black History Month Town Hall speaker ,Rail,Standard,206.7,Nil return,206.7,Nil return
Andres Honeywell,26/10/2022,3,"London, UK",Peer Learning Group/SAP Customer Forum,"Air, Rail, Taxi","Economy, Standard",354,Nil return,751.39,Nil return
Andres Honeywell,16/11/2022,2,"London, UK",Team Signavio and Palantir Meetings,"Air, Rail, Taxi","Economy, Standard",204.52,Nil return,714.51,Nil return
Andres Honeywell,21/11/2022,3,"London, UK",Senior leadership conference,"Air, Rail","Economy, Standard",270,Nil Return,857.54,Nil return
Andres Honeywell,27/11/2022,2,"Birmingham, UK ",UK Industries SAP User Group Conference,"Air, Rail","Economy, Standard",292.2,Nil Return,550.17,Nil return
Andres Honeywell,29/11/2022,3,"London, UK",Enterprise Tax Management Platform Future Workshop,"Air, Rail, Taxi","First, Standard",653.87,Nil Return,1050.58,Nil return
Andres Honeywell,12/12/2022,1,"London, UK",HMRC People Awards 2022 ,"Air, Rail ","Economy, Standard",130,Nil Return,510.14,Nil return
Andrew Pemberton,04/10/2022,3,"London, UK",Office visit and senior leadership meetings ,Rail,Standard,403.3,Nil Return ,580.4,Nil Return 
Andrew Pemberton,10/10/2022,1,"Manchester, UK",Executive Committee meeting,Rail,Standard,142.69,Nil Return ,236.74,Nil Return 
Andrew Pemberton,11/10/2022,2,"York, UK",Office visit and director induction ,Rail,Standard,224,Nil Return ,309,Nil Return 
Andrew Pemberton,17/10/2022,2,"London, UK",Office visit and Executive Committee meeting,Rail,Standard,30.75,Nil Return ,189.75,Nil Return 
Andrew Pemberton,19/10/2022,2,"Leeds, UK",Senior Leadership meeting,Rail,Standard,127.54,Nil Return ,204.69,Nil Return 
Andrew Pemberton,27/10/2022,2,"Leeds, UK",Executive Committee Board Event,Rail,Standard,Nil Return,Nil Return ,121.15,Nil Return 
Andrew Pemberton,01/11/2022,1,"London, UK",Site visit to locally based Senior Leadership Team,Rail,Standard,Nil Return,Nil Return ,165.2,Nil Return 
Andrew Pemberton,16/11/2022,1,"London, UK",Site visit to locally based Senior Leadership Team,Rail,Standard,Nil Return,Nil Return ,165.2,Nil Return 
Andrew Pemberton,30/11/2022,2,"Birmingham, UK",Senior Leadership meeting,Rail,Standard,13.78,Nil Return ,119.93,Nil Return 
Andrew Pemberton,06/12/2022,2,"London, UK",Site visit to locally based Senior Leadership Team,Rail,Standard,129.02,Nil Return ,300.17,Nil Return 
Andrew Pemberton,12/12/2022,1,"Manchester, UK",People awards ceremony visit,Rail,Standard,Nil Return,Nil Return ,202.2,Nil Return 
Andrew Pemberton,20/12/2022,1,"London, UK",Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return ,171.15,Nil Return 
Andy Leggett,06/10/2022,1,"London, UK",Enterprise Leadership Group  meeting,Rail,Standard,10.4,Nil Return,394.85,Nil Return
Andy Leggett,21/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,182.05,Nil Return,471.8,Nil Return
Andy Leggett,07/12/2022,1,"London, UK",Customer Compliance group Senior Leadership meeting,Rail,Standard,249,Nil Return,707.24,Nil Return
Angela Macdonald,06/10/2022,1,"London, UK",Enterprise Leadership Meeting,Rail,Standard,Nil Return,Nil Return,238,Nil Return
Angela Macdonald,11/10/2022,2,"Manchester, UK",Executive Committee Meeting ,Rail,Standard,431.05,Nil Return,208,Nil Return
Angela Macdonald,12/10/2022,2,"London, UK",Key Note Speech at Business and Accounting Software Developers Association Conference,Rail,Standard,189,Nil Return,483,Nil Return
Angela Macdonald,19/10/2022,1,"Belfast, UK",Erskine House - UK Government Hub official opening event ,"Taxi, Bus",Standard,Nil Return,Nil Return,301.7,Nil Return
Angela Macdonald,20/10/2022,1,"London,UK",Public Accounts Committee. House of Commons,Rail,Standard,105,Nil Return,251,Nil Return
Angela Macdonald,25/10/2022,1,"London, UK",Executive Committee Meeting ,Rail,Standard,Nil Return,Nil Return,238,Nil Return
Angela Macdonald,02/11/2022,1,"Newcastle upon Tyne, UK",Visit to Operational Delivery profession in North East,Car,Economy,Nil Return,Nil Return,39,Nil Return
Angela Macdonald,22/11/2022,2,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,131,Nil Return,369,Nil Return
Angela Macdonald,29/11/2022,3,"London, UK","Executive Committee Meeting, Business Lunch with Australian Tax Commissioner",Rail,Standard,262,Nil Return,790,Nil Return
Angela Macdonald,07/12/2022,2,"London, UK",Interviews for Director General,Rail,Standard,131,Nil Return,385.25,Nil Return
Angela Macdonald,12/12/2022,4,"London, UK",Executive Committee Meetings and Customer Experience Committee,Rail,Standard,316.93,Nil Return,554.93,Nil Return
Anita Holmes,06/10/2022,1,"London, UK",Extended Enterprise Leadership Group Meeting ,"Rail, taxi",Standard,Nil Return,Nil Return,238,Nil Return
Anita Holmes,18/10/2022,1,"Manchester, UK",Team development session,Rail,Standard,Nil Return,Nil Return,37,Nil Return
Anita Holmes,19/10/2022,2,"Belfast, UK",Senior Leadership Team meeting,,,6,Nil Return,6,Nil Return
Anita Holmes,30/10/2022,6,"Oxford, UK",Major Projects Leadership Academy residential,Car ,Car Hire,Nil Return,Nil Return,193.92,Nil Return
Anita Holmes,17/11/2022,2,"London, UK",Senior Leadership Team meeting,Rail,Standard,47.08,Nil Return,398.08,Nil Return
Anita Holmes,22/11/2022,2,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,29.94,Nil Return,431.29,Nil Return
Anita Holmes,19/12/2022,2,"Birmingham, UK",Senior Leadership Team meeting,Rail,Standard,146,Nil Return,296,Nil Return
Ann Conway-Hughes,12/10/2022,1,"Birmingham, UK",Protect Connect Programme Board meeting,Rail,Standard,Nil Return,Nil Return,66,Nil Return
Ann Conway-Hughes,10/11/2022,2,"Manchester, UK",Transformation Directorate Event,Rail,Standard,98,Nil Return,236,Nil Return
Ann Conway-Hughes,30/11/2022,2,"Nottingham, UK",Beacon Event,Rail,Standard,99,Nil Return,309,Nil Return
