Ministers,Date,Name of Organisation,Type of Hospitality Received,"Accompanied by spouse, family member(s) or friend?"
"The Rt Hon Oliver Letwin MP, The Chancellor of the Duchy of Lancaster",15/10/2015,Policy Exchange,Dinner,Yes
"The Rt Hon Oliver Letwin MP, The Chancellor of the Duchy of Lancaster",09/11/2015,Hinduja Family,Reception,No
"The Rt Hon Matthew Hancock MP, Minister for the Cabinet Office and Paymaster General ",12-Oct,Daily Mail,Dinner,No
"The Rt Hon Matthew Hancock MP, Minister for the Cabinet Office and Paymaster General ",29-Oct,PI Capital,Breakfast,No
"The Rt Hon Matthew Hancock MP, Minister for the Cabinet Office and Paymaster General ",03-Nov,The Times,Lunch,No
"The Rt Hon Matthew Hancock MP, Minister for the Cabinet Office and Paymaster General ",10/11/2015,MailOnline,Lunch,No
"Rob Wilson MP, Parliamentary Secretary, (Minister for Civil Society) ",Nil Return,,,
"John Penrose MP, Parliamentary Secretary, (Minister for Constitutional Reform)",Nil Return,,,
"Lord Bridges of Headley, (Parliamentary Secretary for the Cabinet Office)",Nil Return,,,
"The Rt Hon Robert Halfon MP, ( Minister without Portfolio)",Nil Return,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
