Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",10/07/2011,Virgin Media,British Grand Prix*
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",26/07/2011,Lord Browne,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",04/08/2011,Telegraph,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",05/08/2011,The Economist,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",30/08/2011,XEROX,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",05/09/2011,CBI,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",14/09/2011,RSA,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",11/07/2011,Royal Academy of Engineering,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",18/07/2011,Social Mobility Foundation,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",21/07/2011,Rothschild,Breakfast
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",25/07/2011,Michael Wade,Lunch
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",25/07/2011,Stuart Sexton,Drink
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",06/09/2011,Sir Don Curry,Breakfast
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",29/09/2011,Gerard Lyons,Lunch
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",04/07/2011,BT,Dinner
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",06/07/2011,London Chamber of Commerce and Industry,Lunch
