Department,Organisation Name,Basis for expenditure approval,Project name,Basis for Exception,Approval month,Civil Service Grade (FTE),,,,,,,Civil Service Grade (Headcount),,,,,,,Total approvals (Headcount),Total Approvals (FTE),Date of approval
,,,,,,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,Other,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,Other,,,
HMRC,CPO,Business Case,RF2018-39: Digital Engagement Officer,External Recruitment,Oct-18,,, 1 ,,,,,,, 1 ,,,,, 1 , 1 ,03/10/2018
HMRC,CPO,Business Case,RF2018-40: Executive Team Coach / OD Consultant,External Recruitment,Oct-18,,,,, 1 ,,,,,,, 1 ,,, 1 , 1 ,01/10/2018
HMRC,CSG,Business Case,RF2018-43: AO SRRT Apprentice,External Recruitment,Oct-18, 200 ,,,,,,, 200 ,,,,,,, 200 , 200 ,11/10/2018
HMRC,CSG,Business Case,RF2018-44: SRRT EO Team Leader,External Recruitment,Oct-18,, 60 ,,,,,,, 60 ,,,,,, 60 , 60 ,11/10/2018
HMRC,CSG,Business Case,RF2018-45: HEO Hub Lead,External Recruitment,Oct-18,,, 3 ,,,,,,, 3 ,,,,, 3 , 3 ,04/10/2018
HMRC,CCG,Business Case,RF2018-47: TSP Trainee,External Recruitment,Oct-18,,,,,,, 180 ,,,,,,, 180 , 180 , 180 ,26/10/2018
HMRC,CCG,Re-instatement,RF2018-50: Insurance Specialist,CSC Exception 5,Oct-18,,,,, 1 ,,,,,,, 1 ,,, 1 , 1 ,12/10/2018
HMRC,Legal,Business Case,RF2018-51: Vat/Direct Tax HO review officers (Manchester x4) Direct tax HO review Officers (Leeds x6) Vat tax HO review Officers (Portsmouth x10),External Recruitment,Oct-18,,, 20 ,,,,,,, 20 ,,,,, 20 , 20 ,18/10/2018
HMRC,Legal,Business Case,RF2018-52: Commercial lawyer,External Recruitment,Oct-18,,,,, 5 ,,,,,,, 5 ,,, 5 , 5 ,18/10/2018
HMRC,CPO,Business Case,RF2018-55: Regional Internal Communications,External Recruitment,Oct-18,,,, 1 ,,,,,,, 1 ,,,, 1 , 1 ,19/10/2018
HMRC,CFO,FTA Extension,RF2018-54: Apprentice AO,CSC Exception 1,Nov-18, 1 ,,,,,,, 1 ,,,,,,, 1 , 1 ,09/11/2018
HMRC,CCG,Re-instatement,RF2018-57: Progression Officer,CSC Exception 5,Nov-18, 1 ,,,,,,, 1 ,,,,,,, 1 , 1 ,09/11/2018
HMRC,POD,Business Case,RF2018-59: Organisation Design Lead,External Recruitment,Nov-18,,,,, 1 ,,,,,,, 1 ,,, 1 , 1 ,09/11/2018
HMRC,CDIO,Business Case,RF2018-63: Senior IT Service Manager,External Recruitment,Nov-18,,,, 2 ,,,,,,, 2 ,,,, 2 , 2 ,19/11/2018
HMRC,Legal,Business Case,RF2018-64: Legal Support,External Recruitment,Nov-18, 19 ,,,,,,, 19 ,,,,,,, 19 , 19 ,20/11/2018
HMRC,CPO,Business Case,RF2018-65: Head of Strategic Workforce Planning,External Recruitment,Nov-18,,,,, 1 ,,,,,,, 1 ,,, 1 , 1 ,07/11/2018
HMRC,CPO,Business Case,RF2018-68: HR Pay Policy Lead,External Recruitment,Nov-18,,,, 1 ,,,,,,, 1 ,,,, 1 , 1 ,27/11/2018
HMRC,CPO,Business Case,RF2018-69: Feature writer/journalist,External Recruitment,Nov-18,,, 1 ,,,,,,, 1 ,,,,, 1 , 1 ,20/11/2018
HMRC,CPO,Business Case,RF2018-70: Senior Graphic Designer,External Recruitment,Nov-18,,, 1 ,,,,,,, 1 ,,,,, 1 , 1 ,03/12/2018
HMRC,Legal,Business Case,RF2018-49: Grade 6 Advisory Accountant,External Recruitment,Dec-18,,,,, 2 ,,,,,,, 2 ,,, 2 , 2 ,14/12/2018
HMRC,CCG,Re-instatement,RF2018-67: Caseworker,CSC Exception 5,Dec-18,, 1 ,,,,,,, 1 ,,,,,, 1 , 1 ,11/12/2018
HMRC,CPO,Business Case,RF2018-73: Head of Specialist Resourcing,External Recruitment,Dec-18,,,,, 1 ,,,,,,, 1 ,,, 1 , 1 ,14/12/2018
HMRC,CPO,Business Case,RF2018-74: Content Team Project Manager,External Recruitment,Dec-18,,, 3 ,,,,,,, 3 ,,,,, 3 , 3 ,20/12/2018
HMRC,CFO,Business Case,RF2018-75: Finance Roles,External Recruitment,Dec-18,,,, 10 , 20 ,,,,,, 10 , 20 ,,, 30 , 30 ,21/12/2018
HMRC,CFO,Business Case,RF2018-77: Senior Commercial Contract Manager - EU Exit,External Recruitment,Dec-18,,,, 1 ,,,,,,, 1 ,,,, 1 , 1 ,18/12/2018
HMRC,CFO,Business Case,RF2018-78: Category Specialist - Corporate Services,External Recruitment,Dec-18,,,,, 1 ,,,,,,, 1 ,,, 1 , 1 ,20/12/2018
HMRC,CPO,Business Case,RF2018-79: Business Analyst x 6/ Project Support Officer x 1/ Project Delivery Manager.,External Recruitment,Dec-18,,, 7 , 1 ,,,,,, 7 , 1 ,,,, 8 , 8 ,20/12/2018
HMRC,CCG,Business Case,RF2018-80: Communications Manager,External Recruitment,Dec-18,,,, 1 ,,,,,,, 1 ,,,, 1 , 1 ,21/12/2018
HMRC,CS & TD,External Recruitment,Deputy Director Tax Assurance and  Tax Professionalism,External Recruitment Campaign,Oct-18,,,,,, 1 ,,,,,,, 1 ,, 1 , 1 ,24/10/2018
HMRC,Customer Compliance,External Recruitment,"Deputy Director, North West - Benefits & Credits",External Recruitment Campaign,Oct-18,,,,,, 1 ,,,,,,, 1 ,, 1 , 1 ,10/10/2018
HMRC,CDIO,External Recruitment,Deputy Finance Director,External Recruitment Campaign,Oct-18,,,,,, 1 ,,,,,,, 1 ,, 1 , 1 ,22/10/2018
HMRC,Customer Compliance,External Recruitment,Director Wealthy and Mid-sized Business Compliance,External Recruitment Campaign,Oct-18,,,,,, 1 ,,,,,,, 1 ,, 1 , 1 ,26/10/2018
HMRC,CS & TD,External Recruitment,Deputy Director Budget and Finance Bills,External Recruitment Campaign,Nov-18,,,,,, 1 ,,,,,,, 1 ,, 1 , 1 ,06/11/2018
HMRC,Customer Compliance,External Recruitment,Counter Avoidance Policy,External Recruitment Campaign,Nov-18,,,,,, 1 ,,,,,,, 1 ,, 1 , 1 ,05/11/2018
HMRC,Customer Compliance,External Recruitment,"Assistant Deputy Director, Large Business",External Recruitment Campaign,Nov-18,,,,,, 1 ,,,,,,, 1 ,, 1 , 1 ,21/11/2018
HMRC,Customer Compliance,External Recruitment,"Deputy Director, Large Business",External Recruitment Campaign,Nov-18,,,,,,2,,,,,,,2,, 2 , 2 ,21/11/2018
HMRC,Borders Delivery Group,External Recruitment,"Deputy Director, Head of Strategy, Policy and Requirements",External Recruitment Campaign,Nov-18,,,,,, 1 ,,,,,,, 1 ,, 1 , 1 ,02/11/2018
HMRC,Borders Delivery Group,External Recruitment,Deputy Director EU Exit External Readiness,External Recruitment Campaign,Nov-18,,,,,, 1 ,,,,,,, 1 ,, 1 , 1 ,02/11/2018
HMRC,CS & TD,External Recruitment,Director Customer Design,External Recruitment Campaign,Nov-18,,,,,, 1 ,,,,,,, 1 ,, 1 , 1 ,15/11/2018
HMRC,CS & TD,External Recruitment,Director Tax Administration,External Recruitment Campaign,Nov-18,,,,,, 1 ,,,,,,, 1 ,, 1 , 1 ,15/11/2018
HMRC,VOA,Specialist business critical posts - permanent appointments, SCS HoC,business critical posts,Oct-18,,,,,,1,,,,,,,1,, 1 , 1 ,Q3 2018/19
HMRC,VOA,Specialist business critical posts - permanent appointments, SCS Director of NVU,business critical posts,Nov-18,,,,,,1,,,,,,,1,, 1 , 1 ,Q3 2018/19
HMRC,VOA,Specialist business critical posts - permanent appointments,SEO Senior Developer,business critical posts,Nov-18,,,,1,,,,,,,1,,,, 1 , 1 ,Q3 2018/19
HMRC,VOA,Specialist business critical posts - FTAs and interims, EO HR Manager,business critical posts,Dec-18,,1,,,,,,,1,,,,,, 1 , 1 ,Q3 2018/19
HMRC,VOA,Specialist business critical posts - permanent appointments,HEO Software Developer,business critical posts,Dec-18,,,3,,,,,,,3,,,,, 3 , 3 ,Q3 2018/19
HMRC,VOA,Specialist business critical posts - permanent appointments, AO Support Analyst,business critical posts,Dec-18,3,,,,,,,3,,,,,,, 3 , 3 ,Q3 2018/19
HMRC,VOA,Specialist business critical posts - permanent appointments, G7 Continuous Improvement and Process Design,business critical posts,Dec-18,,,,,2,,,,,,,2,,, 2 , 2 ,Q3 2018/19
HMRC,VOA,Specialist business critical posts - permanent appointments, SEO Continuous Improvement and Process Design,business critical posts,Dec-18,,,,2,,,,,,,2,,,, 2 , 2 ,Q3 2018/19
HMRC,VOA,Specialist business critical posts - permanent appointments, HEO Continuous Improvement and Process Design,business critical posts,Dec-18,,,1,,,,,,,1,,,,, 1 , 1 ,Q3 2018/19
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
