Minister,Date,Name of organisation or individual,Purpose of meeting
Eleanor Shawcross,2019-03-28,BBC Editorial staff and output editors,General discussion
Jason Stein,2019-03-28,BBC Editorial staff and output editors,General discussion
,2019-02-25,John Witherow (The Times),General discussion
,2019-02-28,Gordon Rayner (Daily Telegraph),General discussion
,2019-01-15,George Parker (Financial Times),General discussion
,2019-01-08,Jason Groves (Daily Mail),General discussion
Alexander Hitchcock,Nil return,Nil return,Nil return
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
