Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip ,Mode of transport,Class of travel,Accommodation / Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,,,,,,,,,,,,,,,
Alex Aiken,23/1/2019,2,"Brussels, Belgium",European Commission's Communication Network Masterclass,Rail / Taxi,Standard,Y,PIEA,£240.92,Nil Return,,,,,,,,,,,,,,,
Alex Aiken,30/1/2019,1,"Belfast, N Ireland",NSC(O) away day,Rail / Flight,Economy,Nil Return,Nil Return,£165.00,Nil Return,,,,,,,,,,,,,,,
Alex Aiken,26/2/2019,1,"Portsmouth, UK",NSCC Away day,Rail,Standard,Nil Return,Nil Return,£83.40,Nil Return,,,,,,,,,,,,,,,
Alex Aiken,7/3/2019,1,"Glasgow, UK","Regional visit, giving talk at university of Glasgow",Rail / Flight,Economy,Nil Return,Nil Return,£208.96,Nil Return,,,,,,,,,,,,,,,
Alex Aiken,13/3/2019,2,"Aberdeen, UK",PRCA conference ,Rail / Flight / Taxi,Economy,Y,Nil Return,£776.69,Nil Return,,,,,,,,,,,,,,,
Alex Aiken,20/3/2019,2,"Belfast, N Ireland",Belfast Comms Academy,Flight,Economy,Y,Nil Return,£497.86,Nil Return,,,,,,,,,,,,,,,
Hala Audi,12/03/2019,1,"Beeston, UK",Operational Activity,Rail,Standard,Nil Return,Nil Return,£109.00,Nil Return,,,,,,,,,,,,,,,
Cheryl Avery,23/01/2019,2,"Leeds, UK",Operational Activity,Nil Return,Nil Return,Y,Nil Return,£30.00,Nil Return,,,,,,,,,,,,,,,
Cheryl Avery,27/02/2019,1,"Leeds, UK",GCF Conference,Taxi,Nil Return,Nil Return,Nil Return,£8.00,Nil Return,,,,,,,,,,,,,,,
Cheryl Avery,13/03/2019,1,"Liverpool, UK",CFOG Awayday,Nil Return,Nil Return,Y,Nil Return,£18.00,Nil Return,,,,,,,,,,,,,,,
Alison Baptiste,07/03/2019,1,"Surrey, UK",Civil Engineers Event,Rail,Standard,Nil Return,Nil Return,£17.40,Nil Return,,,,,,,,,,,,,,,
Marcus Bell,25/03/2019,1,"Geneva, Switzerland",Operational Activity,Flight,Economy,Nil Return,Nil Return,£168.85,Nil Return,,,,,,,,,,,,,,,
Carol Bernard,06/03/2019,2,"Reading, UK",Conference,Rail,Standard,Nil Return,Nil Return,£102.50,Nil Return,,,,,,,,,,,,,,,
Jonathan Black,11/02/2019,1,"Brussels, Belgium",Accompanying Ministers for External Meeting,Eurostar,Business,Nil Return,Nil Return,£278.50,Nil Return,,,,,,,,,,,,,,,
Steve Blake,02/02/2019,1,"London, UK",Professional Fees,Nil Return,Nil Return,Nil Return,Nil Return,£695.65,Nil Return,,,,,,,,,,,,,,,
Jane Bond,11/01/2019,1,"London, UK",Professional Fees,Nil Return,Nil Return,Nil Return,Nil Return,£646.00,Nil Return,,,,,,,,,,,,,,,
Jane Bond,12/03/2019,4,"Nice, France",Operational Activity,Taxi,Nil Return,Y,PIEA,£203.61,Nil Return,,,,,,,,,,,,,,,
Matthew Bradley,08/01/2019,2,"Blackpool, UK",Operational Activity,Car,Nil Return,Y,Nil Return,£36.65,Nil Return,,,,,,,,,,,,,,,
Matthew Bradley,23/01/2019,2,"Manchester, UK",Operational Activity,Car,Nil Return,Y,Nil Return,£120.63,Nil Return,,,,,,,,,,,,,,,
Thomas Bramley,18/03/2019,1,"Washington, USA",Operational Activity,Flight,Business,Nil Return,Nil Return,"£3,091.42",Nil Return,,,,,,,,,,,,,,,
Creon Butler,19/03/2019,2,"Berlin, Germany",Operational Activity,Rail / Flight,Economy,Nil Return,Nil Return,£619.64,Nil Return,,,,,,,,,,,,,,,
Rosalind Campion,08/02/2019,3,"Bristol, UK",Operational Activity,Rail,Standard,Nil Return,Nil Return,£208.20,Nil Return,,,,,,,,,,,,,,,
Matthew Coats,19/03/2019,1,"London, UK",Social Mobility Business Seminar,Taxi,Nil Return,Nil Return,Nil Return,£13.00,Nil Return,,,,,,,,,,,,,,,
Kevin Cunnington,30/01/2019,1,"Belfast, N Ireland",ExCo Northern Ireland ,Taxi,Nil Return,Nil Return,Nil Return,£22.00,Nil Return,,,,,,,,,,,,,,,
Kevin Cunnington,21/02/2019,1,"Leeds, UK","5th Birthday of GDS Academy Leeds and 10,000 students",Rail,Standard,Nil Return,Nil Return,£116.00,Nil Return,,,,,,,,,,,,,,,
Fiona Deans,27/02/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£8.00,Nil Return,,,,,,,,,,,,,,,
Charlie Edwards,13/02/2019,1,"Newcastle, UK",External Meeting,Train / Taxi,Standard,Nil Return,Nil Return,£191.55,Nil Return,,,,,,,,,,,,,,,
Charlie Edwards,20/02/2019,1,"Glasgow, UK",External Meeting,Flight,Economy,Nil Return,Nil Return,£219.75,Nil Return,,,,,,,,,,,,,,,
Charlie Edwards,26/02/2019,1,"Belfast, N Ireland",External Meeting,Flight / Taxi,Economy,Nil Return,Nil Return,£216.91,Nil Return,,,,,,,,,,,,,,,
Charlie Edwards,28/02/2019,1,"Glasgow, UK",External Meeting,Flight / Taxi,Economy,Nil Return,Nil Return,£296.27,Nil Return,,,,,,,,,,,,,,,
Charlie Edwards,04/03/2019,2,"Paris, France",Europe Academy ,Eurostar,Standard,Y,Nil Return,£390.50,Nil Return,,,,,,,,,,,,,,,
Charlie Edwards,11/03/2019,1,"Bath Spa, UK",External Commitment ,Train,Standard,Nil Return,Nil Return,£62.00,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,08/01/2019,1,"London, UK",Operational Activity,Hotel,Nil Return,Nil Return,Nil Return,£277.00,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,10/01/2019,1,"Edinburgh, UK",Operational Activity,Rail / Taxi,Standard,Y,Nil Return,£101.63,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,15/01/2019,3,"London, UK",Operational Activity,Rail / Taxi,Standard,Y,Nil Return,£625.49,Nil Return,,,,,,,,,,,,,,,
