Department,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No, Amount ,Description,Post Code,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,07/01/2020,Grt Aid to NDPBs,Rail NDPB's,Network Rail Istre (Capital Grants),2000020493," £313,026,000.00 ",#,NW1 2DN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,31/01/2020,Grt Aid to NDPBs,Strategic Roads,Highways England,2000022504," £260,000,000.00 ",Grant in Aid HE for February,B1 1RN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Grt Aid to NDPBs,Strategic Roads,Highways England,2000021119," £205,000,000.00 ",Grant in Aid part 2 HE,B1 1RN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,07/01/2020,Cap Grt NDPBs & CG,Rail NDPB's,Network Rail Istre (Capital Grants),2000020493," £134,123,000.00 ",#,NW1 2DN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Cap Grt NDPBs & CG,Rail NDPB's,Network Rail Istre (Capital Grants),2000021118," £134,123,000.00 ",#,NW1 2DN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,CurrGrtOth to NDPBs,Rail NDPB's,Network Rail Istre (Capital Grants),2000021118," £103,059,305.00 ",#,NW1 2DN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,27/01/2020,Support Services,Major Projects,GREATER LONDON AUTHORITY,2000022029," £99,000,000.00 ",Crossrail loan payment to the Greater London Authority,SE1 2UT,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,23/01/2020,Cap Grt Loc Auth,"Energy,Technology & Innovation",Greater Manchester Combined,2000021860," £36,000,000.00 ",Charging Clean Air Zone Grant,M1 6EU,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,01/01/2020,Basic Franchise Rec,DG_Rail - Passenger Services,London North Eastern Railway,2000020166," £28,211,972.44 ",2010 Wk4 Fixed Service Payment P2010 - London Nort,YO1 6DH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,06/01/2020,Basic Franchise Rec,DG_Rail - Passenger Services,London North Eastern Railway,1500000010," £28,211,972.44 ",2010 Wk4 Fixed Service Payment P2010 - London Nort,YO1 6DH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,22-01-2020,PFI Service Payments,OPERATIONS DIRECTORATE,CONNECT PLUS (M25) LTD,782544," £23,893,981.69 ",Operate Roads PFI Service Payments,EN6 3NP,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,01/01/2020,Basic Franchise Rec,DG_Rail - Passenger Services,Arriva Rail North Limited,2000020163," £19,171,632.13 ",2010 Wk4 Northern Franchise Subsidy 2019/20 P10 -,M1 2NF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,29/01/2020,Basic Franchise Rec,DG_Rail - Passenger Services,Arriva Rail North Limited,2000022333," £19,171,632.13 ",2011 Wk4 Northern Franchise Subsidy 2019/20 P11 -,M1 2NF,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,07/01/2020,P10060 - Phase 1,AUC - Phase 1,ALIGN JOINT VENTURE,#," £18,808,477.37 ",(LM/RD) MWCC Stage One Contract C1 ,,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,15/01/2020,000000 AUC - Phase 1,AUC - Phase 1,LM JOINT VENTURE,#," £16,571,915.39 ",1EW04 Uplift February 2019,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,01/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,FIRST GREATER WESTERN,2000020161," £16,386,145.13 ",2010 Wk4 Franchise Subsidy FM v12 2010 - FIRST GRE,SN1 1HL,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,06/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,FIRST GREATER WESTERN,1500000012," £16,386,145.13 ",2010 Wk4 Franchise Subsidy FM v12 2010 - FIRST GRE,SN1 1HL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY VINCI JOINT VENTURE,781371," £14,910,336.32 ",SR13 Smart Motorway Scheme,WR9 8FA,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,07/01/2020,Cap Grt NDPBs & CG,Corporate Finance,HMRC,2000020536," £13,607,576.00 ",#,CF14 5XZ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,31/01/2020,CurrGrtOth to NDPBs,Rail NDPB's,Network Rail Istre (Capital Grants),2000022501," £13,570,501.00 ",Network Rail Grant - Ref CP003 (SR 9000773809),NW1 2DN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Grt Aid to NDPBs,Rail NDPB's,Network Rail Istre (Capital Grants),2000021118," £12,877,000.00 ",#,NW1 2DN,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,14/01/2020,000000 AUC - Phase 1,AUC - Phase 1,COSTAIN SKANSKA EW SOUTH JOINT VENTURE,#," £12,723,134.50 ",1EW02 - Area South EWC,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Cap Grt Loc Auth,Local,Portsmouth City Council,2000021192," £12,491,215.00 ",Stubbington Bypass - Additional Payment,PO1 2AL,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,09/01/2020,000000 AUC - Phase 1,AUC - Phase 1,BALFOUR BEATTY VINCI JV - HS2 (N1),#," £12,444,377.12 ",MWCC Stage One TP ,,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,03/01/2020,000000 AUC - Phase 1,AUC - Phase 1,FUSION JOINT VENTURE,#," £11,589,966.95 ",EWC Work Packages and CMO,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,03/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,First Trenitalia West Coast,2000020282," £10,826,454.00 ",#,NW1 5DH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,29/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,First Trenitalia West Coast,2000022364," £10,706,553.00 ",2011 Wk4 Estimated revisions (SDC) payment on acco,NW1 5DH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,08/01/2020,Eurocontrol Contr,Aviation,EUROCONTROL,2000020539," £10,664,089.45 ",Eurocontrol - Quarterly Contributions (9000768642),96 B-1130,,,,,,,,,,,,,,,,,,,
