Transaction Date,Transaction Reference,Merchant,Total,,,,,
03/08/2020,BIS212213,Amazon Web Services EMEA SARL,868.09,,,,,
03/08/2020,BIS213404,Park Retail Ltd,4897.61,,,,,
04/08/2020,BIS213273,Park Retail Ltd,3801.13,,,,,
04/08/2020,BIS213273,Park Retail Ltd,3167.61,,,,,
04/08/2020,BIS213272,Park Retail Ltd,3118.88,,,,,
06/08/2020,BIS213155,Kingfisher Direct Ltd       ,746.03,,,,,
06/08/2020,BIS216624,Park Retail Ltd,682.25,,,,,
06/08/2020,BIS216624,Park Retail Ltd,682.25,,,,,
10/08/2020,BIS216624,Park Retail Ltd,925.91,,,,,
11/08/2020,BIS215610,Eventbrite Inc. ,1190.00,,,,,
12/08/2020,BIS216624,Park Retail Ltd,6457.05,,,,,
12/08/2020,BIS216625,Park Retail Ltd,1998.03,,,,,
14/08/2020,BIS216625,Park Retail Ltd,804.08,,,,,
27/08/2020,BIS215610,Hampshire Flag Company Ltd,662.95,,,,,
28/08/2020,BIS213636,Frankfurt School of Finance & Management,1201.09,,,,,
