Minister,Date,Name of organisation or individual,Purpose of meeting,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-04-16,"Northern Powerhouse Partnership (NPP); Birtish Chamber of Commerce (BCC); West and North Yorkshire Chamber; Doncaster Chamber; East Lancashire Chamber; North & West Lancashire Chamber; Greater Manchester Chamber; Transport Forum, Sheffield Chamber of Commerce & Industry; Sheffield Chamber; North East England Chamber; Siemens Mobility Ltd; Hitachi Rail; Cumbria Chamber; Appliances Online (AO World); TalkTalk Telecom Group plc; Arcadis; Bruntwood; Associated British Ports; Manchester Airport Group (MAG); Relentless Group Ltd",To discuss concerns raised by northern businesses around Covid-19 and thank workers keeping essential services running,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-04-16,P&O Ferries,To discuss response to Covid-19,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-04-17,P&O Ferries,To discuss response to Covid-19,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-04-29,High Speed 2 (HS2) Ltd,To discuss HS2 board governance and the upcoming Ministerial oversight meeting,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-05-07,Citymapper; Microsoft Corporation; Amazon Web Services; Zipabout; Google Cloud; techUK; Trainline; INRIX; Moovit; ITO World Ltd; Satellite Applications Catapults; Connected Places Catapult; SkedGo; (NHSX); Apple Inc.; Digital Catapult,To discuss development of travel apps to support travel during Covid-19,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-05-13,Confederation of Passenger Transport UK (CPT); Go Ahead; First Group; National Express; Arriva; Transport for London (TfL);  Association of Local Bus Company Managers (ALBUM); Stagecoach,To discuss and develop ideas to support the easing of the lockdown in the context of buses e.g. encourgaging contactless payment,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-05-13,Airport Operators' Association (AOA); Regional and Business Airports Group (RABA); Heathrow Airport; Gatwick Airport; Manchester Airport Group (MAG); London Stansted Airport; Aberdeen Airport; Glasgow Airport; Southampton Airport; Edinburgh Airport; East Midlands Airport; Birmingham Airport; Luton Airport; Swissport,To discuss response to Covid-19,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-05-13,Airlines UK; Board of Airline Representatives in the UK (BAR UK); International Air Transport Association (IATA); ADS Group; British Airways/ International Airlines Group; easyJet; Loganair; Jet2; Ryanair; TUI; Virgin Atlantic; Airport Operators' Assocaition (AOA); Authentic Travel Company,To discuss response to Covid-19,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-05-18,"Trades Union Congress (TUC); National Union of Rail, Maritime and Transport Workers (RMT); Associated Society of Locomotive Engineers and Firemen (ASLEF); Transport Salaried Staffs' Association (TSSA); Unite the Union; Prospect; Nautilus International; British Airline Pilots Association (BALPA); General, Municipal, Boilermakers (GMB)",To discuss response to Covid-19,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-05-20,National Infrastructure Commission (NIC),To discuss the Integrated Rail Plan and the NIC's rail needs assessment,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-05-20,The Society of Motor Manufacturers and Traders Ltd (SMMT) ,For SMMT to provide an update on the impact of Covid-19 on the auto sector,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-05-21,BGA; FLARM Technology Ltd; Light Aircraft Association; British Microloght Aircraft Association (BMAA); PilotAware,Roundtable with manufacturers of electronic conspicuity devices,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-06-02,McKinsey & Company,To discuss the future of the aviation and aerospace industry,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-06-09,British Airways/ International Airlines Group,To discuss the Government's approach to the recovery of the aviation sector and to understand British Airways' plans,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-06-10,Airlines UK,To discuss the implementation of the borders announcement,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-06-10,Airport Operators' Association (AOA),To discuss the implementation of the borders announcement,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-06-10,easyJet,To discuss the implementation of the borders announcement,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-06-11,Jet2,To discuss the implementation of the borders announcement,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-06-11,Gatwick ,To discuss the implementation of the borders announcement,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-06-11,Heathrow,To discuss the implementation of the borders announcement,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-06-15,ABTA,To discuss response to Covid-19,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-06-25,"National Union of Rail, Maritime and Transport Workers (RMT)",To discuss the following covid related issues: rail – latest social distancing announcement; bus – new funding package and future engagement; employment legislation covering seafarers,,,,,,,,,,,,,,,,,,,,,,
Grant Shapps,2020-06-30,Aviation Ambassadors Roundtable (Kate McWilliams; Jo Salter; James Ketchell; Arthur Williams; Kirsty Murphy; Patricia Mawuli Porter; Jonathan Porter; Liz Sparrow; Claudia Hill;  Jake Brattle; Ayala Truelove),To discuss the challenges of Covid-19 for aviation skills and the future pipeline of talent,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-01,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-01,Meeting with Rail Freight Group,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-01,Meeting with Northern Rail,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-02,Meeting with Transpennine Express,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-03,Meeting with CrossCountry trains,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-06,Meeting with Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-06,Meeting with Greater Anglia,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
