Transaction Date,Transaction Reference,Merchant,Total,,,
01/03/2021,BIS227041,Park Retail Ltd,901.54,,,
02/03/2021,BIS227007,"PayPal (Europe) S.à r.l. et Cie, S.C.A.               ",645.00,,,
03/03/2021,BIS227007,Amazon Web Services EMEA SARL,614.22,,,
03/03/2021,BIS225990,Park Retail Ltd,2436.62,,,
04/03/2021,BIS225990,Park Retail Ltd,1340.13,,,
05/03/2021,BIS230800,Addison Lee Ltd,3700.57,,,
05/03/2021,BIS228670,Park Retail Ltd,5604.22,,,
09/03/2021,BIS229765,The Scaling Good Services Training Course,714.00,,,
09/03/2021,BIS228670,Park Retail Ltd,1851.83,,,
09/03/2021,BIS228671,Park Retail Ltd,7919.02,,,
10/03/2021,BIS228670,Park Retail Ltd,2534.09,,,
12/03/2021,BIS229649,Park Retail Ltd,1218.31,,,
12/03/2021,BIS229649,Park Retail Ltd,2616.93,,,
17/03/2021,BIS229649,Park Retail Ltd,5945.36,,,
19/03/2021,BIS231064,Balsamiq SRL                ,594.86,,,
19/03/2021,BIS229650,Park Retail Ltd,2046.76,,,
22/03/2021,BIS229686,Park Retail Ltd,3362.54,,,
23/03/2021,BIS229595,Hirst Magnetic Instruments Ltd,981.60,,,
23/03/2021,BIS229687,Park Retail Ltd,9332.26,,,
23/03/2021,BIS229650,Park Retail Ltd,5214.37,,,
26/03/2021,BIS558575,Harvard Business School ONLINE ,1312.95,,,
26/03/2021,BIS229651,Park Retail Ltd,1203.68,,,
30/03/2021,BIS230805,Bar Standards Board,899.00,,,
31/03/2021,BIS229651,Park Retail Ltd,3094.50,,,
,,,,,,
