Senior Officials Name,Start date of trip,Duration of Visit (Days )Please round this up to the no of days,"Destination - Format must be City, Country","Purpose of trip - Please clearly state the purpose of each trip in detail, ie External meeting must be External meeting with ABC INCORPORATED",Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given) - Any other costs of the trip,"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Alan Over,22/11/2022,1,"Doncaster,UK",RETURN JOURNEY FOLLOWING MEETING WITH LEEDS UNIVERSITY AND EXTERNAL STAKEHOLDERS,Rail,Standard,Nil Return,Nil Return,28.5,Nil Return
Alan Over,22/11/2022,1,"Leeds,UK",ACCOMPANIED  MINISTER ON A SITE VISIT TO OLD OAK COMMON,Rail,Standard,Nil Return,Nil Return,137.5,Nil Return
Alan Over,22/11/2022,1,"London,UK","OUTBOUND JOURNEY, LONDON TO LEEDS. MEETING WITH LEEDS UNIVERSITY AND EXTERNAL STAKEHOLDERS",Rail,Standard,Nil Return,Nil Return,6.3,Nil Return
Alan Over,30/11/2022,1,"Crewe,UK",SITE VISIT TO CREWE RAILWAY STATION AND LOCAL AREA FOLLOWED BY A CREWE SENIOR LEADERS MEETING WITH EXTERNAL STAKEHOLDERS,Rail,Standard,Nil Return,Nil Return,100.3,Nil Return
Alan Over,01/12/2022,1,"Birmingham,UK",CURZON STREET SITE VISIT,Rail,Standard,Nil Return,Nil Return,81.1,Nil Return
Amanda Roper,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Amanda Rowlatt,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Annelies Look,12/10/2022,2,"London,UK",INTERNAL MEETING,Rail,Standard,156,Nil Return,392.25,Nil Return
Annelies Look,18/11/2022,1,"London,UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,232.55,Nil Return
Annelies Look,21/11/2022,2,"London,UK",INTERNAL MEETING,Rail,Standard,161.25,Nil Return,397.5,Nil Return
Annelies Look,28/11/2022,2,"London,UK",INTERNAL MEETING,Rail,Standard,161,Nil Return,399.6,Nil Return
Annelies Look,08/12/2022,1,"London,UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,232.55,Nil Return
Benjamin Smith,08/11/2022,2,"Newquay,UK",MEETING WITH EXTERNAL  BODIES - UK SPACE AGENCY VIP EVENT - EDEN PROJECT,"Flight,Taxi",Standard,187.3,Nil Return,349.4,Nil Return
Benjamin Smith,10/11/2022,1,"London,UK",MEETING WITH EXTERNAL BODIES - Visiting Birmingham Office,Rail,Standard,Nil Return,Nil Return,129.9,Nil Return
Benjamin Smith,16/11/2022,1,"Gatwick,UK ",MEETING WITH EXTERNAL BODIES - Civil Aviation Authority,"Taxi,Rail",Standard,Nil Return,Nil Return,57.85,Nil Return
Benjamin Smith,28/11/2022,2,"Farnborough,UK",Travelling to Farnborough on 29th November for meeting with Air Accident Investigation Branch,Rail,Standard,Nil Return,Nil Return,52.8,Nil Return
Benjamin Smith,06/12/2022,1,"London,UK",CONFERENCE ATTENDANCE - Aviation Impact Accelerator - Dinner - Cambridge,Rail,Standard,76.22,Nil Return,133.52,Nil Return
Bernadette Kelly,21/10/2022,1,"Bradford,UK",Meeting with CEO Bradford City Council,Rail,Standard,Nil Return,Nil Return,241.42,Nil Return
Bernadette Kelly,18/11/2022,1,"Cambridge,UK ",Policy Fellowship Event,Rail,Standard,Nil Return,Nil Return,55,Nil Return
Bernadette Kelly,16/11/2022,1,"Leeds,UK",Meeting with CEO of Leeds City Council,Rail,Standard,Nil Return,Nil Return,172.05,Nil Return
Caroline Botwood,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Caroline Low,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Cavendish Elithorn,23/11/2022,1,"Derby,UK",MEETING WITH EXTERNAL BODIES: Chaired Midland MainLine (East Mids) Programme Board ,Rail,Standard,Nil Return,Nil Return,175.75,Nil Return
Christian Cubitt,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Christina Duncan,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Christopher White-Horne,02/11/2022,2,"London,UK",INTERNAL MEETING,Rail,Standard,186.14,Nil Return,425.19,Nil Return
Christopher White-Horne,28/11/2022,2,"London,UK",INTERNAL MEETING,Rail,Standard,161,Nil Return,259,Nil Return
Christopher White-Horne,06/12/2022,1,"London,UK",INTERNAL MEETING,Rail,Standard,7,Nil Return,190.35,Nil Return
Claire Gibbs,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Claire Wren,06/10/2022,1,"London,UK",Energy Intelligence Conference,Bike,Standard,Nil Return,Nil Return,2.2,Nil Return
Clive Maxwell,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Conrad Bailey,31/10/2022,2,"Leeds,UK",Internal Meetings as Leeds Champion,Rail,Standard,85,Nil Return,376.25,Nil Return
Conrad Bailey,16/11/2022,1,"York,UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,124.4,Nil Return
Dan Moore,16/11/2022,2,"Leeds,UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,139.7,Nil Return
Darren Shirley,02/11/2022,1,"Birmingham,UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,158,Nil Return
David Buttery,25/11/2022,1,"Ebbsfleet,UK",SITE VISIT to Lower Thames Crossing,Rail,Standard,Nil Return,Nil Return,17.4,Nil Return
David Hughes,18/10/2022,1,"Basingstoke,UK",Site visit of the Northumberland Line rail works and meeting Northumberland County Council. ,Car,Standard,7.15,Nil Return,42.15,Nil Return
David Hughes,29/11/2022,5,"Oxford,UK ",Orchestrating Major Projects Residential Course,Rail,Standard,Nil Return,Nil Return,87,Nil Return
David Hughes,08/12/2022,1,"Newcastle Upon Tyne,UK ",Site visit of the Northumberland Line rail works.,Rail,Standard,89.96,Nil Return,89.96,Nil Return
David Silk,14/11/2022,1,"Birmingham,UK",Internal DFT meeting and visit to Birmingham Airport,Rail,Standard,Nil Return,Nil Return,150.2,Nil Return
David Silk,22/11/2022,1,"Leeds,UK",Internal DfT meeting and meetings with Jet2 and Leeds-Bradford Airport,Rail,Standard,Nil Return,Nil Return,171.8,Nil Return
Elisabeth Cuthbertson,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Emma Ward,18/10/2022,1,"Swansea,UK",Visit to Driver Vehicle Licensing Agency and Driver Vehicles Standard Agency,Train,Standard,Nil Return,Nil Return,180.1,Nil Return
Emma Ward,01/11/2022,1,"Birmingham,UK",Speaking engagement at Highways UK conference. ,Train,Standard,303.39,Nil Return,303.39,Nil Return
Fiona White,03/10/2022,1,"London,UK",Attended the Railway Study Forum Gala Dinner at the Oval,Nil Return,Nil Return,102.41,Nil Return,102.41,Nil Return
