Minister,Date,Person or organisation that offered hospitality,Type of hospitality received,"Accompanied by spouse, family member(s) or friend?"
Mark Harper,10/05/2023,Airlines UK,Dinner,No
Mark Harper,18/05/2023,JetBlue,Breakfast,No
Richard Holden,Nil Return,Nil Return,Nil Return,Nil Return
Jesse Norman,Nil Return,Nil Return,Nil Return,Nil Return
Charlotte Vere,Nil Return,Nil Return,Nil Return,Nil Return
Huw Merriman,09/05/2023,Rail Partners,Dinner,Yes
Huw Merriman,10/05/2023,York Railway Museum,Dinner,Yes
Huw Merriman,15/05/2023,Railway Industry Association,Drinks reception,Yes
Huw Merriman,08/06/2023,Uber,Drinks reception,Yes
Huw Merriman,29/06/2023,Railway Industry Association,Dinner,Yes
