"Spend over £25,000 - Publication template",,,,,,,,,,,,,
,,,,,,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode - Vol,Supplier Type - Vol ,Contract Number - Vol,Project Code Vol,Expenditure Type - Vol 
Forestry Commission ,Forest Research ,12/09/2023,COMPUTER COSTS.,IT,ESRI (UK) LTD,20019641,39422.736,Software configuration and support,,,,,
Forestry Commission ,Forest Research ,19/09/2023,ASSET SUSPENSE ACCOUNT,Building,Faithful + Gould Ltd,20019741,38015.82,Capital Expenditure - Building Cost,,,,,
Forestry Commission ,Forest Research ,19/09/2023,ASSET SUSPENSE ACCOUNT,Building,Faithful + Gould Ltd,20019742,28415.51,Capital Expenditure - Building Cost,,,,,
Forestry Commission ,Forest Research ,19/09/2023,ASSET SUSPENSE ACCOUNT,Building,Faithful + Gould Ltd,20019742,52883.63,Capital Expenditure - Building Cost,,,,,
Forestry Commission ,Forest Research ,19/09/2023,ASSET SUSPENSE ACCOUNT,Building,Faithful + Gould Ltd,20019742,61775.72,Capital Expenditure - Building Cost,,,,,
Forestry Commission ,Forest Research ,19/09/2023,ASSET SUSPENSE ACCOUNT,Building,BSL Interiors Ltd,20019749,33237.49,Capital Expenditure - Building Cost,,,,,
Forestry Commission ,Forest Research ,26/09/2023,ASSET SUSPENSE ACCOUNT,Building,Prime Build Solutions,20019854,27218.28,Capital Expenditure - Building Cost,,,,,
Forestry Commission ,Forest Research ,12/09/2023,ASSET SUSPENSE ACCOUNT,Building,ITC Concepts Limited,20019663,376113.65,Capital Expenditure - Building Cost,,,,,
Forestry Commission ,Forest Research ,28/09/2023,ASSET SUSPENSE ACCOUNT,Building,Kone Public Limited Company,20019898,32190.12,Capital Expenditure - Building Cost,,,,,
Forestry Commission ,Forest Research ,07/09/2023,CONTRACT SURVEYS.,Scientific,Imperial College of Science Technology and Medicine,20019524,37500,Research Services,,,,,
Forestry Commission ,Forest Research ,26/09/2023,ASSET SUSPENSE ACCOUNT,Building,Land Technology Limited,20019850,43432.96,Capital Expenditure - Building Cost,,,,,
,,,,,,,770205.916,,,,,,
