Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,
Abigail Hayes,20/11/2023,2,"Birmingham, UK",External meeting at University of Birmingham with RSSB,Rail,Standard,112.7,Nil Return,211.7,Nil Return,
Alan Over,02/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,03/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,04/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,5,Nil Return,Cancellation Fee
Alan Over,04/10/2023,1,"Peterborough, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,68.1,Nil Return,
Alan Over,05/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,06/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,5,Nil Return,Cancellation Fee
Alan Over,06/10/2023,1,"Peterborough, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,5,Nil Return,Cancellation Fee
Alan Over,10/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,11/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,12/10/2023,1,"Peterborough, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,5,Nil Return,Cancellation Fee
Alan Over,12/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,5,Nil Return,Cancellation Fee
Alan Over,17/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,24/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,25/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,31/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,01/11/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,03/11/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,07/11/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,09/11/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,10/11/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,14/11/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,5,Nil Return,Cancellation Fee
Alan Over,14/11/2023,1,"Peterborough, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,5,Nil Return,Cancellation Fee
Alan Over,15/11/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,16/11/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,23/11/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,26/11/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,01/12/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,05/12/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,07/12/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,12/12/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,97.9,Nil Return,
Alan Over,13/12/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,97.9,Nil Return,
Alan Over,14/12/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Alan Over,19/12/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,97.9,Nil Return,
Alistair Cormack,01/11/2023,1,"Leeds, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,227.3,Nil Return,
Alistair Cormack,05/12/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,140.4,Nil Return,
Alistair Cormack,06/12/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,10,Nil Return,Cancellation Fee
Alistair Cormack,12/12/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,140.4,Nil Return,
Amanda Roper,12/10/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,94.4,Nil Return,
Amanda Roper,21/11/2023,1,"Leeds, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,122.8,Nil Return,
Amanda Roper,07/12/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,133,Nil Return,
Amanda Roper,12/12/2023,2,"York, UK",ATTENDING TRAINING,Rail,Standard,Nil Return,Nil Return,228.7,Nil Return,
Amanda Rowlatt,28/11/2023,1,"Hastings, UK",TEAM MEETING,Rail,Standard,Nil Return,Nil Return,40.2,Nil Return,
Amanda Rowlatt,28/11/2023,1,"Barnes, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,26.25,Nil Return,
Amanda Rowlatt,11/12/2023,1,"Leeds, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,105.75,Nil Return,
Amanda Rowlatt,11/12/2023,1,"York, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,5.7,Nil Return,
Amanda Rowlatt,12/12/2023,1,"Birmingham, UK",INTERVIEW/ASSESMENTS,Rail,Standard,Nil Return,Nil Return,55.5,Nil Return,
Amanda Rowlatt,12/12/2023,1,"London, UK",INTERVIEW/ASSESMENTS,Rail,Standard,Nil Return,Nil Return,30.35,Nil Return,
Andrew Gregory,11/12/2023,4,"Montreal, Canada ",Meeting with Canadian Authorities,Air Travel,Economy,Nil Return,Nil Return,400,Nil Return,Including refund -574.31
Andrew Gregory,11/12/2023,1,"Gatwick, UK",Meeting with Canadian Authorities,Rail,Standard,Nil Return,Nil Return,62.4,Nil Return,
Anit Chandarana,17/10/2023,1,"Birmingham, UK",Rail Forum Annual Conference,Rail,Standard,Nil Return,Nil Return,49.6,Nil Return,
Anit Chandarana,17/10/2023,1,"Watford, UK",Rail Forum Annual Conference,Rail,Standard,Nil Return,Nil Return,45.6,Nil Return,
Anit Chandarana,18/10/2023,1,"Manchester, UK",Greater Manchester - Great British Railways Partnership Oversight Group,Rail,Standard,Nil Return,Nil Return,184.7,Nil Return,
Anit Chandarana,18/10/2023,1,"Watford, UK",Greater Manchester - Great British Railways Partnership Oversight Group,Rail,Standard,Nil Return,Nil Return,184.7,Nil Return,
Anit Chandarana,10/11/2023,1,"Gatwick, UK",Site visit to Gatwick Station Project,Rail,Standard,Nil Return,Nil Return,33.6,Nil Return,
Anit Chandarana,21/11/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,49.6,Nil Return,
Anit Chandarana,21/11/2023,1,"Watford, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,88.2,Nil Return,
Anit Chandarana,28/11/2023,2,"Leeds, UK",Leeds Office Visit,Rail,Standard,82,Nil Return,147,Nil Return,
Anit Chandarana,28/11/2023,2,"Leeds, UK",Leeds Office Visit,Rail,Standard,Nil Return,Nil Return,5,Nil Return,Cancellation Fee
Anit Chandarana,28/11/2023,1,"Leeds, UK",Leeds Office Visit,Rail,Standard,Nil Return,Nil Return,160.3,Nil Return,
Anit Chandarana,29/11/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,67,Nil Return,
Anit Chandarana,04/12/2023,1,"Manchester, UK and Stalybridge, UK",Ravensthorpe Site Visit with Minister Merriman,Rail,Standard,Nil Return,Nil Return,175,Nil Return,
Anit Chandarana,04/12/2023,1,"Stalybridge, UK and Manchester, UK",Ravensthorpe Site Visit with Minister Merriman,Rail,Standard,Nil Return,Nil Return,198.5,Nil Return,
Anit Chandarana,04/12/2023,1,"Ravensthorpe, UK and Leeds, UK",Ravensthorpe Site Visit with Minister Merriman,Rail,Standard,Nil Return,Nil Return,160.3,Nil Return,
Anit Chandarana,04/12/2023,1,"Leeds, UK and Ravensthorpe, UK",Ravensthorpe Site Visit with Minister Merriman,Rail,Standard,Nil Return,Nil Return,160.3,Nil Return,
Anit Chandarana,07/12/2023,1,"Birmingham, UK",TEAM MEETING,Rail,Standard,Nil Return,Nil Return,88.2,Nil Return,
Anit Chandarana,07/12/2023,1,"Watford, UK",TEAM MEETING,Rail,Standard,Nil Return,Nil Return,88.2,Nil Return,
Anit Chandarana,11/12/2023,2,"Hastings, UK",INTERNAL MEETING,Rail,Standard,99,Nil Return,147.9,Nil Return,
Anit Chandarana,11/12/2023,2,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,48.9,Nil Return,
Anit Chandarana,13/12/2023,1,"Birmingham, UK",TEAM MEETING,Rail,Standard,Nil Return,Nil Return,42.4,Nil Return,
Anit Chandarana,13/12/2023,1,"Watford, UK",TEAM MEETING,Rail,Standard,Nil Return,Nil Return,88.2,Nil Return,
Anthony N Bisson,09/10/2023,1,"Leeds, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,236.1,Nil Return,
Anthony N Bisson,12/10/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,65.8,Nil Return,
Anthony N Bisson,18/10/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,123.8,Nil Return,
Anthony N Bisson,30/10/2023,1,"Warrington, Liverpool, Manchester UK","External meeting - Warrington Borough Council, Manchester Airports Group, Licerpool City Region, Greater Manchester Combined Authority",Rail,Standard,Nil Return,Nil Return,301.1,Nil Return,
Anthony N Bisson,09/11/2023,1,"Rotherham, UK",Meeting with External bodies - South Yorkshire Combined Authority,Rail,Standard,Nil Return,Nil Return,124.8,Nil Return,
Anthony N Bisson,22/11/2023,2,"Manchester, UK","External and internal meetings, Greater Manchester Combined Authority",Rail,Standard,138,Nil Return,409.2,Nil Return,
Anthony N Bisson,04/12/2023,1,"Manchester, UK","MEETING WITH EXTERNAL BODIES - business roundtable, hosted by Addleshaw Goddard",Rail,Standard,Nil Return,Nil Return,147.9,Nil Return,
Anthony N Bisson,05/12/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Anthony N Bisson,07/12/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,136.2,Nil Return,
Anthony N Bisson,13/12/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,147.2,Nil Return,
Anthony N Bisson,14/12/2023,1,"Manchester, UK",External Meeting - Transport for the North,Rail,Standard,Nil Return,Nil Return,361.5,Nil Return,Excludes additional ticket returned for refund
Benjamin Smith,21/11/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,169.4,Nil Return,Includes refund -£65
Bernadette Kelly,12/12/2023,2,"Charlbury, UK",TEAM MEETING,Rail,Standard,Nil Return,Nil Return,64.5,Nil Return,
Bernadette Kelly,13/12/2023,1,"London, UK",TEAM MEETING,Rail,Standard,Nil Return,Nil Return,40,Nil Return,
Caroline Low,05/10/2023,1,"London, UK",Bromley Chargepoints,Rail,Standard,Nil Return,Nil Return,13.9,Nil Return,
Caroline Low,01/12/2023,1,"Milton Keynes, UK",Visit to Cranfield University for a UK-Sweden roundtable,Rail,Standard,Nil Return,Nil Return,41.1,Nil Return,
Caroline Low,03/12/2023,5,"Dubai, UAE",COP28 attedance,Air Travel,Economy,922.49,Nil Return,"1,512.00",Nil Return,
Cavendish Elithorn,04/10/2023,2,"Guildford, UK","Training: Forward Institute 
(Residential 3)",Accommodation Booking,N/A,187.98,Nil Return,225.03,Nil Return,
Cavendish Elithorn,06/10/2023,1,"Farnham, UK","Site visit to various sites 
along the proposed East West Rail Line (Huntingdon-Alconbury Housing Development & St Ives Park & Ride)

Meetings with Cambridgeshire & Peterborough Combined Authority, Transport East and the Greater Cambridge Partnership",Rail,Standard,Nil Return,Nil Return,61.1,Nil Return,
Cavendish Elithorn,12/10/2023,1,"Huntingdon, UK","Meeting with Hampshire 
Fire Service (Linked with Shantha Dickinson through the Civil Service Coffee Club)",Rail,Standard,Nil Return,Nil Return,4.5,Nil Return,
Cavendish Elithorn,12/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,140.4,Nil Return,
Cavendish Elithorn,12/10/2023,1,"Cambridge, UK","Meeting with East West
Rail Company",Bus,Standard,Nil Return,Nil Return,28.55,Nil Return,
Cavendish Elithorn,06/11/2023,1,"Alton, UK",MEETING WITH EXTERNAL BODIES,Rail,Standard,Nil Return,Nil Return,4.5,Nil Return,
Cavendish Elithorn,07/12/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,140.4,Nil Return,
