Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,04/09/2023,Travel & Subsistence,Corporate,Clarity Travel Management,MHRA0088,"73,103.70 ",197694731
Dept of Health,MHRA,04/09/2023,"Service, Integration & Management (SIAM)",Digital and Technology,VERACITY OSI UK Limited,INV-00001703,"33,240.00 ",178448953
Dept of Health,MHRA,04/09/2023,"Service, Integration & Management - Enterprise Architecture",Digital and Technology,VERACITY OSI UK Limited,INV-00001706,"73,158.00 ",178448953
Dept of Health,MHRA,04/09/2023,Contracted Out Services Miscellaneous,Digital and Technology,VERACITY OSI UK Limited,INV-00001708,"43,215.00 ",178448953
Dept of Health,MHRA,04/09/2023,Help desk and end user support,Digital and Technology,XMA LIMITED,LE51335,"132,327.28 ",115091937
Dept of Health,MHRA,06/09/2023,Application Services and Maintenance,Digital and Technology,Accenture (UK) Limited,3003621962,"85,618.38 ",788629066
Dept of Health,MHRA,06/09/2023,Contracted Out Services Miscellaneous,Digital and Technology,VERACITY OSI UK Limited,INV-00001681,"67,458.00 ",178448953
Dept of Health,MHRA,06/09/2023,"Service, Integration & Management - Enterprise Architecture",Digital and Technology,VERACITY OSI UK Limited,INV-00001682,"79,296.00 ",178448953
Dept of Health,MHRA,06/09/2023,Contracted Out Services Miscellaneous,Digital and Technology,VERACITY OSI UK Limited,INV-00001685,"56,454.00 ",178448953
Dept of Health,MHRA,11/09/2023,Assets Under Construction - Land & Buildings,Corporate,Parker Air Conditioning Ltd,INV26348,"60,180.00 ",506700965
Dept of Health,MHRA,11/09/2023,Software & Licences,Digital and Technology,Trustmarque Solutions Limited,2368359,"243,135.67 ",394593601
Dept of Health,MHRA,11/09/2023,Contracted Out Services Miscellaneous,Safety and Surveillance,Red Ant Digital Ltd,INV-09334,"120,000.00 ",123388322
Dept of Health,MHRA,11/09/2023,Application Services and Maintenance,Safety and Surveillance,Redrock Consulting Ltd,11423,"54,777.06 ",862247715
Dept of Health,MHRA,13/09/2023,Infrastructure Services and Maintenance,Digital and Technology,Trustmarque Solutions Limited,2368431,"141,248.56 ",394593601
Dept of Health,MHRA,13/09/2023,Contracted Out Services Miscellaneous,Enablement,NLA Media Access,Q508063,"25,682.40 ",661865215
Dept of Health,MHRA,18/09/2023,Assets Under Construction - Land & Buildings,Corporate,Tyco Fire and Intergrated Solutions (UK) Limited,TY038788,"30,000.00 ",413633086
Dept of Health,MHRA,20/09/2023,Gas,Corporate,TotalEnergies,313750684/23,"45,842.10 ",689638949
Dept of Health,MHRA,20/09/2023,Help desk and end user support,Digital and Technology,XMA LIMITED,LE61759,"31,484.40 ",115091937
Dept of Health,MHRA,20/09/2023,Help desk and end user support,Digital and Technology,XMA LIMITED,LE63517,"80,202.00 ",115091937
Dept of Health,MHRA,25/09/2023,Cleaning,Corporate,Churchill Contract Services Ltd,555174,"42,084.70 ",467281425
Dept of Health,MHRA,25/09/2023,Security,Corporate,CIS Security Limited,61000,"121,839.50 ",206193092
Dept of Health,MHRA,25/09/2023,Assets Under Construction - Land & Buildings,Corporate,Detail Design Engineering LTD,14949,"48,000.00 ",561067355
Dept of Health,MHRA,25/09/2023,Assets Under Construction - Plant & Equipment,Corporate,VWR International,5065493439,"41,960.00 ",823853225
Dept of Health,MHRA,25/09/2023,Contracted Out Services Miscellaneous,Digital and Technology,Adatis Consulting Limited,16450,"60,228.00 ",887761165
Dept of Health,MHRA,25/09/2023,Software & Licences,Digital and Technology,Oracle Corporation UK Limited,460116357,"205,305.36 ",391313073
Dept of Health,MHRA,25/09/2023,Contracted Out Services Miscellaneous,Digital and Technology,VERACITY OSI UK Limited,INV-00001705,"95,508.00 ",178448953
Dept of Health,MHRA,25/09/2023,"Advertising, publicity & promotion",Enablement,Health Unlimited Limited,170406809,"28,671.58 ",156008918
Dept of Health,MHRA,25/09/2023,Contracted Out Services Miscellaneous,Safety and Surveillance,Cardiff and Vale University Local Health Board,576664,"42,000.00 ",654439756
Dept of Health,MHRA,25/09/2023,Application Services and Maintenance,Safety and Surveillance,Fat Media Limited,224-079,"40,200.00 ",280066907
Dept of Health,MHRA,25/09/2023,Infrastructure Services and Maintenance,Safety and Surveillance,Fat Media Limited,224-099,"62,400.00 ",280066907
Dept of Health,MHRA,25/09/2023,Laboratory Consumables,"Scientific, Research and Innovation",Adelphi Healthcare Packaging,112351,"87,553.36 ",768809568
Dept of Health,MHRA,25/09/2023,Laboratory Consumables,"Scientific, Research and Innovation",Roche Diagnostics Limited,6571787189,"43,357.90 ",684424418
Dept of Health,MHRA,27/09/2023,Travel & Subsistence,Corporate,Clarity Travel Management,MHRA0089,"96,139.89 ",197694731
Dept of Health,MHRA,27/09/2023,Application Services and Maintenance,Digital and Technology,Cloud Kubed Ltd,INV-0132,"171,120.00 ",383555470
Dept of Health,MHRA,27/09/2023,Contracted Out Services Miscellaneous,Digital and Technology,Global Resourcing Limited,SI-1595,"26,400.00 ",739705601
Dept of Health,MHRA,27/09/2023,Infrastructure Services and Maintenance,Digital and Technology,NSC Global Ltd,SI-UK-170273,"26,718.82 ",645777591
Dept of Health,MHRA,27/09/2023,Infrastructure Services and Maintenance,Digital and Technology,NSC Global Ltd,SI-UK-170274,"26,593.30 ",645777591
Dept of Health,MHRA,27/09/2023,Infrastructure Services and Maintenance,Digital and Technology,NTT Data UK Ltd,4025830,"854,336.58 ",159334590
Dept of Health,MHRA,27/09/2023,Infrastructure Services and Maintenance,Digital and Technology,NTT Data UK Ltd,4025831,"221,691.84 ",159334590
Dept of Health,MHRA,27/09/2023,Infrastructure Services and Maintenance,Digital and Technology,NTT Data UK Ltd,4025832,"226,797.00 ",159334590
Dept of Health,MHRA,27/09/2023,Infrastructure Services and Maintenance,Digital and Technology,NTT Data UK Ltd,4025833,"63,671.46 ",159334590
Dept of Health,MHRA,27/09/2023,Contracted Out Services Miscellaneous,Digital and Technology,Redrock Consulting Ltd,11442,"115,260.00 ",862247715
Dept of Health,MHRA,27/09/2023,Contracted Out Services Miscellaneous,Digital and Technology,Redrock Consulting Ltd,11446,"194,051.40 ",862247715
Dept of Health,MHRA,29/09/2023,Electricity,Corporate,EDF Energy,16465946,"26,122.74 ",523041202
Dept of Health,MHRA,29/09/2023,Electricity,Corporate,EDF Energy,16473611,"151,695.38 ",523041202
Dept of Health,MHRA,29/09/2023,Accommodation Rates,Corporate,Hertsmere Borough Council,Business Rates Bill: 2023/2024 September,"86,016.00 ",230640406
