Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
17/07/2023,Secure Documents Unit,Corporate Services - Commercial & Operations,Ethos Communication Solutions Ltd,527805,126,SCOPE Intelligence-Secure Documents Unit,EC3V 1LT,VENDOR
19/07/2023,Other Professional Services,Corporate Services - Commercial & Operations,Government Legal Department,527803,62.2,Shared Function CS Admin-Other Professional Services,SW1H 9JS,VENDOR
06/07/2023,Professional Subscriptions,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",525533,144,MF Devolved Admin-Professional Subscriptions,,EMPLOYEE
18/07/2023,Mileage Allowance UK,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",527893,72.45,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
18/07/2023,Mileage Allowance UK,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",527893,72.45,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
18/07/2023,Professional Subscriptions,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",527928,102.2,MF Devolved Admin-Professional Subscriptions,,EMPLOYEE
24/07/2023,Guarding and Security Services,Corporate Services - Commercial & Operations,SPS UK and I Ltd,529031,6540.57,MF Devolved Admin-Guarding and Security Services,TW9 1DL,VENDOR
24/07/2023,Taxi Services UK,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",529081,8.4,MF Devolved Admin-Taxi Services UK,,EMPLOYEE
11/07/2023,Mileage Allowance UK,Corporate Services - Implementation and Delivery Directorate,"Personal Expense, Name Withheld",526439,180,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
20/07/2023,Mileage Allowance UK,Corporate Services - Implementation and Delivery Directorate,"Personal Expense, Name Withheld",528441,73,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
21/07/2023,Stationery,Corporate Services - Implementation and Delivery Directorate,Banner Group Ltd,528944,15.83,MF Devolved Admin-Stationery,S9 1XT,VENDOR
21/07/2023,Stationery,Corporate Services - Implementation and Delivery Directorate,Banner Group Ltd,528944,60.7,MF Devolved Admin-Stationery,S9 1XT,VENDOR
25/07/2023,Mileage Allowance UK,Corporate Services - Implementation and Delivery Directorate,"Personal Expense, Name Withheld",529472,33.3,DESNZ Corporate Services Admin-Mileage Allowance UK,,EMPLOYEE
25/07/2023,Mileage Allowance UK,Corporate Services - Implementation and Delivery Directorate,"Personal Expense, Name Withheld",529472,33.3,DESNZ Corporate Services Admin-Mileage Allowance UK,,EMPLOYEE
19/07/2023,CA - Clarity Travel Management,"Corporate Services - Digital, Data & Technology",Corporate Travel Management (North) Ltd,528074,-24288.39,Default-CA - Clarity Travel Management,BD1 5HQ,VENDOR
19/07/2023,CA - Clarity Travel Management,"Corporate Services - Digital, Data & Technology",Corporate Travel Management (North) Ltd,528074,106.17,Default-CA - Clarity Travel Management,BD1 5HQ,VENDOR
19/07/2023,CA - Clarity Travel Management,"Corporate Services - Digital, Data & Technology",Corporate Travel Management (North) Ltd,528074,128.5,Default-CA - Clarity Travel Management,BD1 5HQ,VENDOR
19/07/2023,CA - Clarity Travel Management,"Corporate Services - Digital, Data & Technology",Corporate Travel Management (North) Ltd,528075,21.4,Default-CA - Clarity Travel Management,BD1 5HQ,VENDOR
19/07/2023,CA - Clarity Travel Management,"Corporate Services - Digital, Data & Technology",Corporate Travel Management (North) Ltd,528075,1297.62,Default-CA - Clarity Travel Management,BD1 5HQ,VENDOR
19/07/2023,CA - Clarity Travel Management,"Corporate Services - Digital, Data & Technology",Corporate Travel Management (North) Ltd,528075,712350.34,Default-CA - Clarity Travel Management,BD1 5HQ,VENDOR
04/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524790,4.99,MF Devolved Admin-Subsistence UK,,EMPLOYEE
04/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524790,15.2,MF Devolved Admin-Subsistence UK,,EMPLOYEE
04/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524790,19.2,MF Devolved Admin-Subsistence UK,,EMPLOYEE
