Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,01/07/2024,Tribunal appellant costs,Solicitor's Office & Legal Services,Euromoney Institutional Investor PLC,1900153679,"161,000.00",Costs awarded against department,E14 5GL,,,,
HMRC,HMRC,01/07/2024,Conferences,Fraud Investigation Service,CALDER CONFERENCES LTD,1900157236,"38,941.20",Conferences,LS16 6RF,,,,
HMRC,HMRC,01/07/2024,Minor Wrks Irrec VAT,Estates,OCS UK&I LIMITED,5100019032,"106,693.20",Minor Wrks Irrec VAT,IP28 6LG,,,,
HMRC,HMRC,01/07/2024,Services waste,Estates,IRON MOUNTAIN UK PLC,5100019051,"23,400.40",Services waste,EH54 5DL,,,,
HMRC,HMRC,01/07/2024,SW Lic Sup Off shlf,CDIO - Core,RUNTIME COLLECTIVE T/A BRANDWATCH,5100019064,"61,775.76",SW Lic Sup Off shlf,BN1 1UJ,,,,
HMRC,HMRC,01/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,EVIDEN TECHNOLOGY SERVICES LIMITED,5100019113,"33,235.94",IT Testing contractor costs ,WC1V 6EA,,,,
HMRC,HMRC,01/07/2024,PROJECT Mandays Supp,CDIO - Core,CGI IT UK LTD,5100019114,"313,306.25",PROJECT Mandays Supp,CF31 9AP,,,,
HMRC,HMRC,01/07/2024,Minor Wrks Irrec VAT,Estates,OCS UK&I LIMITED,5100019115,"148,859.99",Minor Wrks Irrec VAT,IP28 6LG,,,,
HMRC,HMRC,01/07/2024,PROJECT Mandays Supp,Change Delivery DG & Programme Office,EVIDEN TECHNOLOGY SERVICES LIMITED,5100019119,"53,732.34",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,01/07/2024,PROJECT Mandays HMRC,Change Delivery DG & Programme Office,COGNIZANT Technology Solutions,5100019124,"176,477.40",Delivery Phase of eSSBBP,EC2M 4AG,,,,
HMRC,HMRC,01/07/2024,PROJECT Mandays HMRC,Change Delivery DG & Programme Office,COGNIZANT Technology Solutions,5100019125,"190,690.20",CAA Delivery,EC2M 4AG,,,,
HMRC,HMRC,01/07/2024,Minor Wrks Irrec VAT,Estates,Senator International Ltd,5100019127,"34,851.72",Minor Wrks Irrec VAT,BB5 5YE,,,,
HMRC,HMRC,01/07/2024,Counsel Fee VAT Irre,Solicitor's Office & Legal Services,HUI LING MCCARTHY KC,5100019132,"37,944.00",Counsel Fees,WC2A 3QB,,,,
HMRC,HMRC,01/07/2024,Consultancy - Legal,Unity Business Services,TLT LLP,5100019136,"44,460.05",Legal Consultancy Services,BS1 6TP,,,,
HMRC,HMRC,01/07/2024,Consultancy - Legal,Unity Business Services,TLT LLP,5100019137,"51,288.24",Legal Consultancy Services,BS1 6TP,,,,
HMRC,HMRC,01/07/2024,Cons ad imp (Ir VAT),Change Delivery DG & Programme Office,ERNST & YOUNG LLP,5100019142,"56,748.00",Cons ad imp (Ir VAT),SE1 2AF,,,,
HMRC,HMRC,01/07/2024,Research (VAT rec),Knowledge Analysis & Intelligence,IPSOS (market research) Ltd,5100019148,"43,947.00",Research Services,SE1 1PY,,,,
HMRC,HMRC,01/07/2024,PROJECT Mandays Supp,CDIO - Core,ACCENTURE (UK) LTD,5100019150,"43,532.08",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,01/07/2024,Consultancy - P&C,CFO Transformation Programmes,Mott MacDonald,5100019153,"24,912.67",Consultancy - P&C,SE1 9LZ,,,,
HMRC,HMRC,01/07/2024,Consultancy - P&C,CFO Transformation Programmes,Mott MacDonald,5100019154,"70,706.00",Consultancy - P&C,SE1 9LZ,,,,
HMRC,HMRC,01/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,EQUAL EXPERTS UK LTD,5100019165,"456,171.88",Customs Declaration Service Contractor Costs,AL1 5HE,,,,
HMRC,HMRC,01/07/2024,PROJECT Mandays Supp,Change Delivery DG & Programme Office,EVIDEN TECHNOLOGY SERVICES LIMITED,5100019172,"31,503.56",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,01/07/2024,PROJECT Mandays Supp,Programme and Operational Delivery,EVIDEN TECHNOLOGY SERVICES LIMITED,5100019175,"22,755.00",IT contractors,WC1V 6EA,,,,
HMRC,HMRC,01/07/2024,PROJECT Mandays Supp,Programme and Operational Delivery,EVIDEN TECHNOLOGY SERVICES LIMITED,5100019176,"23,417.57",IT contractors,WC1V 6EA,,,,
HMRC,HMRC,02/07/2024,Tribunal appellant costs,Solicitor's Office & Legal Services,English National Ballet,1900159281,"88,000.00",Costs awarded against department,E14 0SY,,,,
HMRC,HMRC,02/07/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900159401,"30,511.11",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,02/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900159402,"45,405.44",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,02/07/2024,Consultancy - Techni,CDIO - Core,SYNYEGA LTD,5100019178,"154,000.00",Consultancy - Techni,BL9 7HR,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100019179,854.15,Customs Declaration Service Contractor Costs,EC3M 3BD,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100019179,"312,442.33",Customs Declaration Service Contractor Costs,EC3M 3BD,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100019180,"278,602.67",Customs Declaration Service Contractor Costs,EC3M 3BD,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100019183,819.00,IT contractors costs,EC3M 3BD,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays Supp,CDIO - Core,ACCENTURE (UK) LTD,5100019183,"29,605.50",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays HMRC,CDIO - Core,COGNIZANT Technology Solutions,5100019188,"122,235.60",PROJECT Mandays HMRC,EC2M 4AG,,,,
HMRC,HMRC,02/07/2024,Forensic Services,Fraud Investigation Service,EUROFINS FORENSIC SERVICES LTD,5100019195,"114,082.00",Forensic Services,WV9 5GB,,,,
HMRC,HMRC,02/07/2024,OHS,HR,HEALTH PARTNERS GROUP LIMITED,5100019223,"211,186.33",OHS,TN22 5AA,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays Supp,Programme and Operational Delivery,EVIDEN TECHNOLOGY SERVICES LIMITED,5100019357,"36,592.55",IT contractors,WC1V 6EA,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays Supp,CDIO - Core,ACCENTURE (UK) LTD,5100019358,"53,138.19",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays Supp,CDIO - Core,ACCENTURE (UK) LTD,5100019361,"36,149.00",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,02/07/2024,Cons ad imp (Ir VAT),Change Delivery DG & Programme Office,Posterity Milestone Consortium,5100019479,"56,700.00",Cons ad imp (Ir VAT),FY8 4QZ,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays HMRC,Change Delivery DG & Programme Office,COGNIZANT Technology Solutions,5100019481,"132,422.40",Q1 Resource,EC2M 4AG,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays HMRC,Change Delivery DG & Programme Office,COGNIZANT Technology Solutions,5100019483,"110,424.00",Q1 & Q2 Ops Led,EC2M 4AG,,,,
HMRC,HMRC,02/07/2024,Grant in Aid Funding,Intermediaries,TAXAID,5100019486,"117,516.00",Grant in Aid Funding,SW1P 2AP,,,,
HMRC,HMRC,02/07/2024,Grant in Aid Funding,Intermediaries,TAX VOLUNTEERS,5100019487,"80,000.00",Grant in Aid Funding,DT6 5DB,,,,
HMRC,HMRC,02/07/2024,Counsel Fee VAT Irre,Solicitor's Office & Legal Services,MR DAVID MILNE KC,5100019500,"41,175.00",Counsel Fees,WC1R 4EF,,,,
HMRC,HMRC,02/07/2024,Cons ad imp (Ir VAT),ETG Business Architecture,ERNST & YOUNG LLP,5100019504,"132,552.00",Cons ad imp (Ir VAT),SE1 2AF,,,,
HMRC,HMRC,02/07/2024,Counsel Fee VAT Irre,Solicitor's Office & Legal Services,ELENI MITROPHANOUS KC,5100019506,"55,674.00",Counsel Fees,WC1R 5LN,,,,
HMRC,HMRC,02/07/2024,Prop. Man. (Ir VAT),Estates,GOVERNMENT PROPERTY AGENCY,5100019507,"4,003.50",Prop. Man. (Ir VAT),SW1H 0NN,,,,
HMRC,HMRC,02/07/2024,Facility rental,Estates,GOVERNMENT PROPERTY AGENCY,5100019507,"24,110.00",Facility rental,SW1H 0NN,,,,
HMRC,HMRC,02/07/2024,Property mgmt. ser.,Estates,GOVERNMENT PROPERTY AGENCY,5100019507,"33,148.62",Property mgmt. ser.,SW1H 0NN,,,,
HMRC,HMRC,02/07/2024,Soft FM Services,Estates,SODEXO LTD,5100019510,"142,230.79",Soft FM Services,M50 2UE,,,,
HMRC,HMRC,02/07/2024,Soft FM Services,Estates,SODEXO LTD,5100019511,"148,331.51",Soft FM Services,M50 2UE,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays Supp,CDIO - Core,ACCENTURE (UK) LTD,5100019516,"22,188.00",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,02/07/2024,Soft FM Services,Estates,SODEXO LTD,5100019517,"677,036.76",Soft FM Services,M50 2UE,,,,
HMRC,HMRC,02/07/2024,Soft FM Services,Estates,SODEXO LTD,5100019520,"149,487.46",Soft FM Services,M50 2UE,,,,
HMRC,HMRC,02/07/2024,SW Lic Sup Bespkd,Change Delivery DG & Programme Office,COMPUTACENTER (UK) LTD,5100019526,"1,589,005.00",SW Lic Sup Bespkd,AL10 9TW,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays HMRC,CDIO - Core,FUJITSU SERVICES LTD,5100019541,"25,384.11",PROJECT Mandays HMRC,WA3 6GD,,,,
HMRC,HMRC,02/07/2024,PROJECT Mandays Supp,CDIO - Core,FUJITSU SERVICES LTD,5100019542,"24,598.50",PROJECT Mandays Supp,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,Utility Payments - electricity,Estates,Inspired Energy plc,1700002607,"-51,240.37",Utility Payments - electricity,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Accommodation,Surge & ODP,REDFERN TRAVEL LTD,1700005356,"-72,204.00",Accommodation,BD1 5HQ,,,,
HMRC,HMRC,03/07/2024,Utility Payments - water,Estates,Inspired Energy plc,1900025520,"42,564.93",Utility Payments - water,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Utility Payments - electricity,Estates,Inspired Energy plc,1900145208,"26,484.37",Utility Payments - electricity,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Utility Payments - electricity,Estates,Inspired Energy plc,1900145215,"43,369.76",Utility Payments - electricity,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Utility Payments - electricity,Estates,Inspired Energy plc,1900145217,"40,084.04",Utility Payments - electricity,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Utility Payments - electricity,Estates,Inspired Energy plc,1900145218,"49,882.15",Utility Payments - electricity,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Utility Payments - electricity,Estates,Inspired Energy plc,1900145238,"51,234.78",Utility Payments - electricity,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Utility Payments - electricity,Estates,Inspired Energy plc,1900145243,"27,793.39",Utility Payments - electricity,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Utility Payments - electricity,Estates,Inspired Energy plc,1900145245,"160,825.70",Utility Payments - electricity,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Utility Payments - electricity,Estates,Inspired Energy plc,1900145249,"29,832.60",Utility Payments - electricity,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Utility Payments - electricity,Estates,Inspired Energy plc,1900145251,"31,978.42",Utility Payments - electricity,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Utility Payments - electricity,Estates,Inspired Energy plc,1900145258,"37,374.84",Utility Payments - electricity,PR4 2TZ,,,,
HMRC,HMRC,03/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900159447,"224,627.83",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900159449,"67,684.26",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900159548,"52,216.21",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900159549,"91,797.80",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900159550,"23,238.98",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,IT Software Licenses and Support,CDIO - Core,FUJITSU SERVICES LTD,1900159551,"1,195,503.04",IT Software Licenses and Support,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,Non-IT Contingent Labour,CDIO - Core,ACCENTURE (UK) LTD,1900159596,"52,080.50",Non-IT Contingent Labour,EC3M 3BD,,,,
HMRC,HMRC,03/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900161149,"794,078.02",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900162671,"177,732.91",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900162672,"303,502.62",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900162673,"95,101.41",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900162674,"77,239.05",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900162675,"78,789.90",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900162677,"77,321.18",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900162680,"54,038.00",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900162681,"183,222.63",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900162684,"1,549,202.39",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900162686,"28,800.36",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900162688,"41,525.09",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,Virtual Hosting and Infrastructure,Border Delivery Group,Amazon Web Services UK,1900357600,"25,465.49",Virtual Hosting and Infrastructure,EC2A 2FA,,,,
HMRC,HMRC,03/07/2024,Govt dept services,CFO Transformation Programmes,AECOM LTD,5100017236,"48,000.00",Govt dept services,G2 7ER,,,,
HMRC,HMRC,03/07/2024,Govt dept services,CFO Transformation Programmes,AECOM LTD,5100017342,"27,799.20",Govt dept services,G2 7ER,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100019556,354.32,Customs Declaration Service Contractor Costs,EC3M 3BD,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100019556,"481,044.67",Customs Declaration Service Contractor Costs,EC3M 3BD,,,,
HMRC,HMRC,03/07/2024,CHURN,CFO Transformation Programmes,RESTORE HARROW GREEN T/AS HARROW,5100019607,"34,601.05",CHURN,E16 2BZ,,,,
HMRC,HMRC,03/07/2024,Disposal Seized Gds,Fraud Investigation Service,ADLER AND ALLAN LTD,5100019617,"32,226.72",Disposal Seized Gds,HG1 1HQ,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,Change Delivery DG & Programme Office,DELOITTE LLP (L),5100019624,"205,903.63",PROJECT Mandays Supp,MK9 1FD,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,Change Delivery DG & Programme Office,DELOITTE LLP (L),5100019624,"205,903.63",PROJECT Mandays Supp,MK9 1FD,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,Change Delivery DG & Programme Office,DELOITTE LLP (L),5100019625,"31,158.50",PROJECT Mandays Supp,MK9 1FD,,,,
HMRC,HMRC,03/07/2024,Soft Licen Integral,CDIO Transformation Programmes,SAP (UK) LTD,5100019645,"129,045.48",Soft Licen Integral,TW14 8HD,,,,
HMRC,HMRC,03/07/2024,Ad campaign ser.,HMRC Communications,MANNING GOTTLIEB OMD A DIVISION OF,5100019646,"24,159.41",Marketing Services,SE1 0SW,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,CDIO - Core,EQUAL EXPERTS UK LTD,5100019651,"32,141.06",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,03/07/2024,File archive storage,Estates,IRON MOUNTAIN UK PLC,5100019779,"70,581.00",File archive storage,EH54 5DL,,,,
HMRC,HMRC,03/07/2024,File archive storage,Estates,IRON MOUNTAIN UK PLC,5100019780,"72,335.81",File archive storage,EH54 5DL,,,,
HMRC,HMRC,03/07/2024,Physical Hosting,CDIO - Core,CAPGEMINI,5100019781,"25,173.54",Physical Hosting,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,SW Lic Sup mngd Serv,CDIO - Core,BOXXE LTD,5100019782,"163,239.81",SW Lic Sup mngd Serv,YO31 7RE,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,Automation Logic,5100019783,"99,126.39",Customs Declaration Service Contractor Costs,EC3V 1LP,,,,
HMRC,HMRC,03/07/2024,SW Lic Sup mngd Serv,CDIO - Core,BOXXE LTD,5100019787,"118,230.78",SW Lic Sup mngd Serv,YO31 7RE,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,Automation Logic,5100019789,"108,730.00",Customs Declaration Service Contractor Costs,EC3V 1LP,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,Automation Logic,5100019794,"169,450.00",Customs Declaration Service Contractor Costs,EC3V 1LP,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,Change Delivery DG & Programme Office,FUJITSU SERVICES LTD,5100019802,"28,943.18",PROJECT Mandays Supp,WA3 6GD,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,CDIO - Core,EQUAL EXPERTS UK LTD,5100019814,"230,128.50",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100019816,"14,369.75",IT contractors,EC3M 3BD,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100019816,"14,369.76", IT contractor costs,EC3M 3BD,,,,
HMRC,HMRC,03/07/2024,Virtual Hosting,CDIO - Core,SAS SOFTWARE LTD,5100019820,"1,760,445.00",Virtual Hosting,SL7 2EB,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,CDIO - Core,CAPGEMINI,5100019836,"88,051.17",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,Maintenance fees,Debt Management,CAPGEMINI,5100019837,"27,581.45",Maintenance fees,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,CDIO - Core,Pennant International Limited,5100019844,"133,275.75",PROJECT Mandays Supp,GL51 6TL,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,CDIO - Core,CAPGEMINI,5100019848,"35,993.38",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,Change Delivery DG & Programme Office,CAPGEMINI,5100019853,"60,583.10",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,Minor Wrks Irrec VAT,Estates,MACE LTD,5100019860,"29,306.02",Minor Wrks Irrec VAT,EC2M 6XB,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays HMRC,Change Delivery DG & Programme Office,CAPGEMINI,5100019861,"25,312.80",Client Side Resource,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,Change Delivery DG & Programme Office,CAPGEMINI,5100019864,"27,296.36",CAA VAT Delivery ETMP 24/25,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,Change Delivery DG & Programme Office,CAPGEMINI,5100019865,"20,845.67",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100019871,"25,387.38",IT contractors,TF3 3BD,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,Change Delivery Making Tax Digital,EVIDEN TECHNOLOGY SERVICES LIMITED,5100019880,"36,515.64",PROJECT Mandays HMRC,WC1V 6EA,,,,
HMRC,HMRC,03/07/2024,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100019939,"25,587.38",IT contractors,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900166475,"48,856.37",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900166476,"36,383.54",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900166564,"110,977.70",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900166565,"40,411.51",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900166567,"28,242.67",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900166571,"94,620.87",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900166575,"659,673.15",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900166577,"795,711.40",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/07/2024,Project Development,CDIO - Core,CAPGEMINI,1900166612,"26,502.58",Project Development,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900166613,"44,061.59",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900166614,"372,554.01",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,Virtual Hosting and Infrastructure,CDIO - Core,Amazon Web Services UK,1900166633,"4,399,775.01",Virtual Hosting and Infrastructure,EC2A 2FA,,,,
HMRC,HMRC,04/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900166680,"480,875.23",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/07/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900166681,"38,153.72",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900166685,"198,167.12",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,System Maintenance,CDIO - Core,CAPGEMINI,1900166688,"23,437.03",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,Contin Labor Run,HMRC Security,BSI CYBERSECURITY AND INFORMATION,5100019066,"31,500.00",Contin Labor Run,MK5 8PP,,,,
HMRC,HMRC,04/07/2024,Contin Labor Run,HMRC Security,BSI CYBERSECURITY AND INFORMATION,5100019067,"39,600.00",Contin Labor Run,MK5 8PP,,,,
HMRC,HMRC,04/07/2024,Contin Labor Run,HMRC Security,BSI CYBERSECURITY AND INFORMATION,5100019104,"-29,287.50",Contin Labor Run,MK5 8PP,,,,
HMRC,HMRC,04/07/2024,PROJECT Mandays Supp,Change Delivery DG & Programme Office,CAPGEMINI,5100019885,"22,386.76",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,PROJECT Mandays Supp,Change Delivery DG & Programme Office,CAPGEMINI,5100019887,"51,005.77",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,PROJECT Mandays HMRC,CDIO Transformation Programmes,Baringa Partners LLP,5100019894,"26,400.00",PROJECT Mandays HMRC,SW1E 6AJ,,,,
HMRC,HMRC,04/07/2024,PROJECT Mandays HMRC,CDIO Transformation Programmes,North Highland UK Limited,5100019897,"110,904.00",PROJECT Mandays HMRC,EC1N 2TD,,,,
HMRC,HMRC,04/07/2024,PROJECT Mandays HMRC,CDIO Transformation Programmes,North Highland UK Limited,5100019909,"45,012.00",PROJECT Mandays HMRC,EC1N 2TD,,,,
HMRC,HMRC,04/07/2024,PROJECT Mandays HMRC,CDIO Transformation Programmes,North Highland UK Limited,5100019910,"46,200.00",PROJECT Mandays HMRC,EC1N 2TD,,,,
HMRC,HMRC,04/07/2024,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100019913,"164,406.67",IT contractors,TF3 3BD,,,,
HMRC,HMRC,04/07/2024,PROJECT Mandays HMRC,CDIO Transformation Programmes,Baringa Partners LLP,5100019914,"120,300.00",PROJECT Mandays HMRC,SW1E 6AJ,,,,
HMRC,HMRC,04/07/2024,PROJECT Mandays Supp,B&T DG Finance & Risk,CAPGEMINI,5100019915,"42,550.78",PROJECT Mandays Supp,TF3 3BD,,,,
