Invoice No.,Payment Date,Supplier,Supplier's Invoice Number, Line Amount Spend , Invoice Amount Spend ,Spend Type,Directorate,Cost Centre Type
SIV-000627,05/10/2023,The Stationery Office Ltd,36164046," 24,565 "," 30,025 ",Infrastructure/Platform development,Digital,Programme
SIV-000627,05/10/2023,The Stationery Office Ltd,36164046," 5,460 "," 30,025 ",Infrastructure/Platform development,Digital,Programme
SIV-000754,10/10/2023,Cabinet Office,3832085," 40,800 "," 40,800 ",Security,Corporate Services,Programme
SIV-000786,10/10/2023,Zaizi Limited,INV-097081," 53,215 "," 53,215 ",ICT Systems AUC,Digital,Programme
SIV-000792,05/10/2023,CRAYON LTD,2303026902," 18,000 "," 181,885 ",Infrastructure/Platform development,Digital,Programme
SIV-000792,05/10/2023,CRAYON LTD,2303026902," 163,885 "," 181,885 ",PSI Website Hosting,Digital,Programme
SIV-000809,05/10/2023,Ivy Rock Partners Limited,1717," 3,882 "," 15,529 ",Agency Staff,Corporate Services,Administration
SIV-000809,05/10/2023,Ivy Rock Partners Limited,1717," 3,882 "," 15,529 ",Agency Staff,Corporate Services,Administration
SIV-000809,05/10/2023,Ivy Rock Partners Limited,1717," 3,882 "," 15,529 ",Agency Staff,Corporate Services,Administration
SIV-000809,05/10/2023,Ivy Rock Partners Limited,1717," 3,882 "," 15,529 ",Agency Staff,Corporate Services,Administration
SIV-000817,05/10/2023,London Borough Of Richmond,210009486 -Oct-2023," 340,480 "," 340,480 ",Business Rates,Corporate Services,Programme
SIV-000818,05/10/2023,The Stationery Office Ltd,36164054," 10,560 "," 10,560 ",Product/Service Research,Digital,Programme
SIV-000819,05/10/2023,Leidos Pty Ltd,INV04-000177015," 26,793 "," 26,793 ",Product/Service Development,Digital,Programme
SIV-000826,10/10/2023,CERIUM LEVEL 5 LTD,0268/0168," 19,800 "," 19,800 ",Contingent Labour (Contractor) Project,Digital,Programme
SIV-000839,01/10/2023,B W Interiors Limited,16545," 13,051 "," 13,051 ",Plant & Equipment,Corporate Services,Programme
SIV-000844,31/10/2023,Insight Direct (UK) Ltd,2100726684," 6,343 "," 206,521 ",IT Maintenance & Support - Software,Corporate Services,Administration
SIV-000844,31/10/2023,Insight Direct (UK) Ltd,2100726684," 57,329 "," 206,521 ",IT Maintenance & Support - Software,Corporate Services,Administration
SIV-000844,31/10/2023,Insight Direct (UK) Ltd,2100726684," 10,330 "," 206,521 ",IT Maintenance & Support - Software,Corporate Services,Administration
SIV-000844,31/10/2023,Insight Direct (UK) Ltd,2100726684," 63,430 "," 206,521 ",IT Maintenance & Support - Software,Corporate Services,Administration
SIV-000844,31/10/2023,Insight Direct (UK) Ltd,2100726684," 57,329 "," 206,521 ",IT Maintenance & Support - Software,Corporate Services,Administration
SIV-000844,31/10/2023,Insight Direct (UK) Ltd,2100726684," 11,760 "," 206,521 ",Contracted Services,Corporate Services,Administration
