Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Post Code
Department of Health,NHS Business Services Authority,03/03/2023,IT Hardware Purchases,Technology,COMPUTACENTER (UK) LTD,80137739,"16,160.04",Apple MBP13 M2 SG 8C/10C 16GB/512GB SSD,AL10 9TW
Department of Health,NHS Business Services Authority,03/03/2023,IT Hardware Purchases,Technology,COMPUTACENTER (UK) LTD,80137739,"91,430.10","Apple MacBook Pro 16.2"" M1 Pro 16GB ",AL10 9TW
Department of Health,NHS Business Services Authority,03/03/2023,PC Purchases,"Digital, Data & Technology",COMPUTACENTER (UK) LTD,80137739,"3,711.18",Apple Magic Mouse mouse Bluetooth,AL10 9TW
Department of Health,NHS Business Services Authority,03/03/2023,PC Purchases,"Digital, Data & Technology",COMPUTACENTER (UK) LTD,80137739,"4,651.02",Apple Magic Keyboard Keyboard Qwerty UK,AL10 9TW
Department of Health,NHS Business Services Authority,10/03/2023,IT Hardware Purchases,Technology,COMPUTACENTER (UK) LTD,80137918,"165,533.40",Product: :NBSA:Dell Latitude 5430 8gb  ,AL10 9TW
Department of Health,NHS Business Services Authority,24/03/2023,IT Hardware Purchases,Technology,COMPUTACENTER (UK) LTD,80138298,"55,177.80",Product: :NBSA:Dell Latitude 5430 8gb  ,AL10 9TW
Department of Health,NHS Business Services Authority,24/03/2023,IT Hardware Purchases,Technology,COMPUTACENTER (UK) LTD,80138299,"55,177.80",Product: :NBSA:Dell Latitude 5430 8gb  ,AL10 9TW
Department of Health,NHS Business Services Authority,24/03/2023,PC Purchases,Operations,COMPUTACENTER (UK) LTD,80138339,"40,459.20",Dell Docking Station WD19S docking,AL10 9TW
Department of Health,NHS Business Services Authority,24/03/2023,PC Purchases,"Digital, Data & Technology",COMPUTACENTER (UK) LTD,80138339,"5,057.40",Dell Docking Station WD19S docking,AL10 9TW
Department of Health,NHS Business Services Authority,14/03/2023,Rent,"Finance, Commercial & Estates",EMERSON MANAGEMENT SERVICES,80137987,"83,368.20",RIDGEWAY HOUSE QTR RENT 25/3/22-23/6/23,SK9 7LF
Department of Health,NHS Business Services Authority,14/03/2023,Rent,"Finance, Commercial & Estates",EMERSON MANAGEMENT SERVICES,80137988,"42,429.60",RIDGEWAY HSE QTR RENT 25/03/23-23/06/23,SK9 7LF
Department of Health,NHS Business Services Authority,03/03/2023,Professional Fees,"Finance, Commercial & Estates",GOVERNMENT ACTUARY'S DEPARTMENT,80137657,"37,392.30",ACTUARIAL SERVICES PE 31 JAN 2023,EC4A 1AB
Department of Health,NHS Business Services Authority,21/03/2023,IBM - Baseline,Operations,IBM UK LTD,80137869,"56,223.29",IBM ESR Service Charges FY21-25,PO6 3AU
Department of Health,NHS Business Services Authority,21/03/2023,IBM - Baseline,Operations,IBM UK LTD,80137870,"96,382.78",IBM ESR Service Charges FY21-25,PO6 3AU
Department of Health,NHS Business Services Authority,21/03/2023,IBM - Baseline,Operations,IBM UK LTD,80137871,"39,583.73",IBM ESR Service Charges FY21-25,PO6 3AU
Department of Health,NHS Business Services Authority,21/03/2023,IBM - Baseline,Operations,IBM UK LTD,80137894,"2,927,960.25",IBM ESR Service Charges FY21-25,PO6 3AU
Department of Health,NHS Business Services Authority,21/03/2023,IBM - Baseline,Operations,IBM UK LTD,80137895,"75,901.44",IBM ESR Service Charges FY21-25,PO6 3AU
Department of Health,NHS Business Services Authority,21/03/2023,Oracle Maintenance,"Digital, Data & Technology",ORACLE CORPORATION UK LTD,80137823,"360,000.01",Oracle Corporation UK Limited,RG6 1RA
Department of Health,NHS Business Services Authority,21/03/2023,Oracle Maintenance,"Digital, Data & Technology",ORACLE CORPORATION UK LTD,80137824,"360,000.01",Oracle Corporation UK Limited,RG6 1RA
Department of Health,NHS Business Services Authority,21/03/2023,Oracle Maintenance,"Digital, Data & Technology",ORACLE CORPORATION UK LTD,80137825,"360,000.01",Oracle Corporation UK Limited,RG6 1RA
Department of Health,NHS Business Services Authority,31/03/2023,Oracle Maintenance,Primary Care Services,ORACLE CORPORATION UK LTD,80138272,"76,337.74",Oracle Program Technical Support ,RG6 1RA
Department of Health,NHS Business Services Authority,31/03/2023,Oracle Maintenance,"Digital, Data & Technology",ORACLE CORPORATION UK LTD,80138273,"25,876.78",Oracle Security Software Licences and ,RG6 1RA
Department of Health,NHS Business Services Authority,31/03/2023,Oracle Maintenance,"Digital, Data & Technology",ORACLE CORPORATION UK LTD,80138273,"49,063.82",Oracle Program Technical Support ,RG6 1RA
Department of Health,NHS Business Services Authority,17/03/2023,Professional Fees,COVID 19,PRICEWATERHOUSE COOPERS LLP,80137649,"314,485.00",Deed of Novation in relation to ,SE1 2RD 
Department of Health,NHS Business Services Authority,03/03/2023,Postage Charges,Operations,ROYAL MAIL,80137477,"1,382.78",A/C 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,03/03/2023,Postage Charges,Operations,ROYAL MAIL,80137477,"42,017.00",A/C 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,03/03/2023,Postage Charges,Operations,ROYAL MAIL,80137535,"16,872.92",A/C 0526762000,S49 1HQ
Department of Health,NHS Business Services Authority,03/03/2023,Postage Charges,Operations,ROYAL MAIL,80137535,"4,218.23",A/C 0526762000,S49 1HQ
Department of Health,NHS Business Services Authority,03/03/2023,Postage Charges,Operations,ROYAL MAIL,80137562,"56,584.30",A/C 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,03/03/2023,Postage Charges,Operations,ROYAL MAIL,80137562,282.2,A/C 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,03/03/2023,Postage Charges,Operations,ROYAL MAIL,80137577,"21,411.49",A/C 0526762000,S49 1HQ
Department of Health,NHS Business Services Authority,03/03/2023,Postage Charges,Operations,ROYAL MAIL,80137577,"5,352.87",A/C 0526762000,S49 1HQ
Department of Health,NHS Business Services Authority,14/03/2023,Postage Charges,Operations,ROYAL MAIL,80137780,"33,549.99",A/C 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,14/03/2023,Postage Charges,Operations,ROYAL MAIL,80137797,21.78,A/C 0526762000,S49 1HQ
Department of Health,NHS Business Services Authority,14/03/2023,Postage Charges,Operations,ROYAL MAIL,80137797,"19,500.25",A/C 0526762000,S49 1HQ
Department of Health,NHS Business Services Authority,14/03/2023,Postage Charges,Operations,ROYAL MAIL,80137797,"4,875.06",A/C 0526762000,S49 1HQ
Department of Health,NHS Business Services Authority,14/03/2023,Postage Charges,Operations,ROYAL MAIL,80138035,"18,528.59",A/C 0526762000,S49 1HQ
Department of Health,NHS Business Services Authority,14/03/2023,Postage Charges,Operations,ROYAL MAIL,80138035,"4,632.15",A/C 0526762000,S49 1HQ
Department of Health,NHS Business Services Authority,21/03/2023,Postage Charges,Operations,ROYAL MAIL,80138058,"37,962.55",AC 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,21/03/2023,Postage Charges,Operations,ROYAL MAIL,80138058,3.5,AC 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,21/03/2023,Postage Charges,Operations,ROYAL MAIL,80138058,968.24,AC 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,17/03/2023,Postage Charges,Operations,ROYAL MAIL,80138116,"24,245.85",A/C 0006456045,S49 1HQ
Department of Health,NHS Business Services Authority,17/03/2023,Postage Charges,Operations,ROYAL MAIL,80138116,"5,366.37",A/C 0006456045,S49 1HQ
Department of Health,NHS Business Services Authority,17/03/2023,Postage Charges,Operations,ROYAL MAIL,80138116,"7,891.09",A/C 0006456045,S49 1HQ
Department of Health,NHS Business Services Authority,21/03/2023,Postage Charges,Operations,ROYAL MAIL,80138177,"18,069.99",A/C 0526762000,S49 1HQ
Department of Health,NHS Business Services Authority,21/03/2023,Postage Charges,Operations,ROYAL MAIL,80138177,"4,517.50",A/C 0526762000,S49 1HQ
Department of Health,NHS Business Services Authority,24/03/2023,Postage Charges,Operations,ROYAL MAIL,80138206,"1,291.03",A/C 0912819048,S49 1HQ
Department of Health,NHS Business Services Authority,24/03/2023,Postage Charges,Operations,ROYAL MAIL,80138206,"24,529.60",A/C 0912819048,S49 1HQ
Department of Health,NHS Business Services Authority,24/03/2023,Postage Charges,Operations,ROYAL MAIL,80138207,"59,087.34",A/C 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,28/03/2023,Postage Charges,Operations,ROYAL MAIL,80138423,197.6,A/C 0912819049,S49 1HQ
