"PAYMENTS OVER £25,000",,,,,,
Payment Date,Expense Type,Expense Area,Supplier Name,Transaction Ref,Line No,Line Value
20130131,software,Corporate Systems,Micad Systems UK Ltd,176659,1,31059.6
20130131,External Data Contracts,Estates Maintenance,Micad Systems UK Ltd,176659,2,2145.6
20130131,External Data Contracts,Estates Maintenance,Micad Systems UK Ltd,176659,3,5145.6
20130131,Conferences And Seminars,Estates Maintenance,Micad Systems UK Ltd,176659,4,13680
20130131,Legal/Prof Fees,Estates - Professional Fees,Micad Systems UK Ltd,176659,5,36000
20130131,bldg-fittings,Brooklands Business Case,Harrabin Construction Ltd,176663,1,85532.48
20130131,Data Lines,IT Services,BT Payment Services Ltd,176764,1,26785.93
20130131,Computer Network Costs,IT Services,ANS Group,175874,1,37855.52
20130131,Continence Products,Continence,Abena UK  Limited,175478,1,1089.57
20130131,Continence Products,Continence,Abena UK  Limited,175478,2,38957.2
20130128,Lease Rents,Estates,Coventry Primary Care Trust,175994,1,254061
20130128,Rates,Estates,Coventry Primary Care Trust,175994,2,33921
20130128,Telephone Rental and call char,Estates,Coventry Primary Care Trust,175994,3,11173
20130128,Legal/Prof Fees,Estates,Coventry Primary Care Trust,175994,4,2564
20130128,Service Charge,Estates,Coventry Primary Care Trust,175994,5,20011
20130128,Contract : Premises Security,Estates,Coventry Primary Care Trust,175994,6,12761
20130128,Insurance Costs,Estates,Coventry Primary Care Trust,175994,7,4502
20130128,Other Utility Fuels,Estates,Coventry Primary Care Trust,175994,8,28386
20130128,bldg-fittings,Male Low Secure,Arthur M Griffiths & Son Ltd,175735,1,89438.39
20130128,Other General Supplies & Servi,Corporate - Dir Of Finance,Warwickshire PCT,175988,1,48015.55
20130128,non - healthcare - nhs trusts,Unscheduled Care,West Midlands Ambulance Service NHS Trust,175983,1,29439.42
20130124,Data Lines,IT Services,BT Global Services,175543,1,26609
20130124,software,IT Strategy,Mckesson,176339,1,30000
20130124,Purchase of H'Care Vol Sector,Fast Response,Methodist Homes,173921,1,36645.5
20130124,Purchase of H'Care Vol Sector,Fast Response,Methodist Homes,173922,1,35463.43
20130121,Contract : Other External,Caludon Centre PFI,The Cov & Rugby Hospital Company PLC,175996,1,82939.5
20130117,bldg-fittings,Hawkesbury Lodge Locked Rehab,Key Construction Ltd,174255,1,105196.78
20130117,software,Unscheduled Care,Advanced Health & Care,174503,1,2955.91
20130117,software,Unscheduled Care,Advanced Health & Care,174503,2,32322.23
20130114,Contract : Other External,Caludon Centre PFI,The Cov & Rugby Hospital Company PLC,175612,1,320753.58
20130114,Contract : Other External,Caludon Centre PFI,The Cov & Rugby Hospital Company PLC,175612,2,3259.35
20130114,Lease Charges,Caludon Centre PFI,The Cov & Rugby Hospital Company PLC,175612,3,585190.31
20130114,Interest Payable,Caludon Centre PFI,The Cov & Rugby Hospital Company PLC,175612,4,215397.63
20130114,Finance Lease Liabilities Curr,Creditors - PFI,The Cov & Rugby Hospital Company PLC,175612,5,95103.9
20130114,FP10'S,Palliative Care,Coventry Primary Care Trust,174991,1,1772
20130114,FP10'S,Unscheduled Care,Coventry Primary Care Trust,174991,2,26456
20130114,FP10'S,Integrated Sexual Health Servi,Coventry Primary Care Trust,174991,3,404
20130114,FP10'S,Child Development Unit,Coventry Primary Care Trust,174991,4,37077
20130114,FP10'S,Fast Response,Coventry Primary Care Trust,174991,5,4341
20130114,FP10'S,Clinical Assessment Services,Coventry Primary Care Trust,174991,6,12807
20130114,FP10'S,LD ChildrenCommunityTeam-Wark,Coventry Primary Care Trust,174991,7,2253
20130114,FP10'S,CAMHS - Management,Coventry Primary Care Trust,174991,8,161317
20130114,FP10'S,Director of Op Management,Coventry Primary Care Trust,174991,9,347428
20130114,FP10'S,Pharmacy South Warwickshire,Coventry Primary Care Trust,174991,10,86981
20130114,FP10'S,LD - Medical,Coventry Primary Care Trust,174991,11,34900
20130114,FP10'S,MH Management,Coventry Primary Care Trust,174991,12,63275
20130114,FP10'S,Solihull LD - Ivy Lodge,Coventry Primary Care Trust,174991,13,13378
20130114,hardware,Corporate Systems,Dell Incorporated,175174,1,30888
20130110,Lease Rents,Utilities,Hortons' Estate Limited,172700,1,37500
20130110,Service Charge,Utilities,Hortons' Estate Limited,172700,2,27388.69
20130110,Mental Health Matters,Director of Op Management,Mental Health Matters,175203,1,36750.75
20130107,electricity,Caludon Building Costs SLA,University Hosp Cov&Warwick NHS Trust,174283,1,14667
20130107,electricity,Caludon Building Costs SLA,University Hosp Cov&Warwick NHS Trust,174283,2,2000
