Entity,GL Date,Merchant name,Amount,Description
Kew,04/05/2015,HILTON ST LOUIS BALLPARK,517.15,"Accommodation for one person for five nights at the Hilton in St Louis, America to attend the Botanic Gardens Conservation International (BCGI) congress - 28 April-3 May 2015 "
Kew,04/05/2015,HILTON ST LOUIS BALLPARK,776.65,Accommodation for one person for seven nights at the Hilton in St Louis to attend the Botanic Gardens Conservation International (BCGI) congress - 28 April-3 May 2015 
CCW,04/05/2015,ECLIPSE NETWORKING LIM   0148260282,804.54,Monthly Broadband Charges for Network Connections - April-May 2015
JNCC,01/05/2015,University of Oxford,500,Contribution to the project for the conservation of the Balearic Shearwater 
JNCC,15/05/2015,Ortra Ltd Conferences & Events Organisers,788.19,"Accommodation for one person for six nights to attend the 28th meeting of the Animals Committee of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) in Tel Aviv, Israel"
JNCC,18/05/2015,Citrix Systems UK Ltd,835.2, 'GoToMeeting' Video conferencing and meeting service (25 attendee version) - 15 May 2015-14 May 2016
JNCC,15/05/2015,Ortra Ltd Conferences & Events Organisers,1050.92,"Accommodation for one person for eight nights to attend the 28th meeting of the Animals Committee of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) in Tel Aviv, Israel"
JNCC,04/05/2015,Hotel Mencey,1141.08,"Accommodation for two people for seven nights to attend the Fifth Session of the Meeting of the Parties (MoP5) to the Agreement on the Conservation of Albatrosses and Petrels (ACAP) held in Santa Cruz de Tenerife, Canary Islands - 4–8 May 2015"
JNCC,08/05/2015,Haymarket Publishing,1294.8,Annual subscription to the Europe Environmental News and Information Service (ENDs Europe)
JNCC,22/05/2015,Great Northern Hotel,1413,"Overnight accommodation for three staff members and six committee members for one night. Dinner for five staff members, 11 committee members and 4 guests from British Trust for Ornithology and hire of a projector for the One Hundred and third meeting of the Joint Nature Conservation Committee Meeting held on 4 June held at Monkstone House, Peterborough"
RPA,15/05/2015,SOFTCAT PLC,1092.31,Four Ethernet cards for servers (An Ethernet card is a device that computers use to talk to a computer in another part of a network)
RPA,27/05/2015,SOFTCAT PLC,1378.3,Six Ilo software licenses for Hewlett Packard servers
NE,05/05/2015,MCVEIGH PARKER & CO LTD,2307.6,Six access gates for fenced Dedication Pathway for Parsonage Down National Nature Reserve
NE,05/05/2015,WWW.BBOFFICESUPPLIES.CO.UK,901.8,Specialist office equipment and furniture for specific health and safety requirements
NE,06/05/2015,BROOK STREET (BUREAU),2742.49,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),2744.46,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),78619.4,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),84664.25,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),83924.16,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),83645.36,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),64677.53,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),63178.78,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),3023.57,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),-1178.3,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),2870.74,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),1893.88,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),2841.9,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),4294.91,Agency staff costs
NE,06/05/2015,BROOK STREET (BUREAU),599.99,Agency staff costs
NE,06/05/2015,DHL EXPRESS(UK)LTD,516.66,Customs duty and VAT for shipment of two satellite tags for Basking Shark tagging project
NE,06/05/2015,ROYAL MAIL GROUP,3990.36,Postage costs for Newcastle office - 27 February-12 March 2015
NE,06/05/2015,STANTON HOPE LTD,632.4,One Chainsaw to replace old equipment for Collyweston Great Wood National Nature Reserve
NE,06/05/2015,WWW.AES.AC.UK,503,Attendance for one person for three days including two nights accommodation for Agricultural Economics Society Conference - 13-15 April 2015
NE,06/05/2015,WWW.NEOPOST.CO.UK,2060,Franking machine Top-up Reading office - 30 March 2015
NE,08/05/2015,BROOKSBY MELTON COLLEGE,1725,Training only fee for ten people for two days for Safe Use of Pesticides training
NE,08/05/2015,BVSC ENTERPRISE LIMITED,737.94,Staff training and subsistence for 18 people for two days for New Team Leaders Workshop
NE,08/05/2015,BVSC ENTERPRISE LIMITED,722.8,Staff training and subsistence for 18 people for two days for New Team Leaders Workshop
NE,08/05/2015,FERA,2162.4,"Disease screening for quarantined imported Swedish Short-haired Bumblebees, for re-introduction programme at Dungeness"
NE,08/05/2015,FRANCOTYP,1048,Franking machine Top-up Crewe office - 2 April 2015
NE,08/05/2015,FRANCOTYP,1048,Franking machine Top-up Crewe office - 24 April 2015
NE,08/05/2015,FRANCOTYP,1048,Franking machine Top-up Crewe office - 24 April 2015
NE,08/05/2015,FRANCOTYP,1048,Franking machine Top-up Crewe office - 16 April 2015
NE,08/05/2015,FRANCOTYP,1048,Franking machine Top-up Crewe office - 13 April 2015
