Entity,Posted Date,Merchant name, Amount ,Description
Core Defra,01/01/2012,DRI LENOVO               LENOVO.COM   ,"£2,275.58",Purchase of stand alone laptop to develop specialist and innovative economic modelling software
Core Defra,01/01/2012,HILTON LAC-LEAMY FRNT DSKHULL         ,£649.28,"Accommodation for one person, for three nights attending the Global research Alliance Inventories and Monitoring Cross-Cutting Steering Group meeting, Ottawa. "
Core Defra,01/01/2012,HILTON LAC-LEAMY FRNT DSKHULL         ,£671.45,"Accommodation for one person, for three nights attending the Global research Alliance Inventories and Monitoring Cross-Cutting Steering Group meeting, Ottawa. "
Core Defra,01/01/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,899.54",Return air fare for one to Rio+20 Intersessional conference in Washington
Core Defra,01/01/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,304.44",Return air fare for 2 people to United Nations Framework Convention on Climate Change meeting Durban
Core Defra,01/01/2012,REDFERN TRAVEL LTD       BRADFORD     ,£680.47,Return air fare for one person attending EU Water Directors' meeting in Warsaw.
Core Defra,01/01/2012,MOONFLEET MANOR HOTEL LT WEYMOUTH     ,£679.05,Accommodation for six people for four nights for officials visit
Core Defra,01/01/2012,BEST WESTERN VILLE MARIE MONTREAL     ,£794.97,Accommodation for one person for eight nights attending an intergovernmental meeting in Montreal .
Core Defra,01/01/2012,BEST WESTERN VILLE MARIE MONTREAL     ,£563.34,"Accommodation for one person for six nights attending the 15th meeting of the Subsidiary Body on Scientific, Technical and Technological Advice (SBSTTA15) of the Convention on Biological Diversity in Montreal "
Core Defra,01/01/2012,REDFERN TRAVEL LTD       BRADFORD     ,£777.44,Return air fare for two officials London-Luxembourg for attending Environment Council
Core Defra,01/01/2012,R.H.S MEDIA              PETERBOROUGH ,"£1,170.00",Facilities and refreshments for twenty five people to attend ACHS (Advisory Committee on Hazardous Substances) meeting.
Core Defra,01/01/2012,CHURCH HOUSE CONFERENCE        LONDON       ,£957.90,Facilities hire for meeting to explain the changes to the planning rules to water companies and other stakeholders.
Core Defra,04/01/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,003.42",Air Fare for one to Brazil for several inter-governmental meetings including Rio+20 preparation event ahead of conference in June 2012.
Core Defra,05/01/2012,TRIBE HOTEL LTD          NAIROBI      ,"£1,066.27",Accommodation for one week for four people to attend the Intergovernmental Negotiation Committee conference on mercury in Nairobi
Core Defra,11/01/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£808.78,Rail fare for three people to London to attend the Annual Reports and Accounts and other meetings in London. 
Core Defra,11/01/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£519.31,Rail fare for two people to attend Team Sites Meeting/Training
Core Defra,11/01/2012,EUROSTAR INTERNET        LONDON       ,£580.00,Return rail fare for two people to attend meetings in Brussels on ecodesign for professional refrigeration 
Core Defra,13/01/2012,DOD`S PARLIAMENTARY CO   LONDON  SE1  ,£576.00,Training course for two people
Core Defra,13/01/2012,E OF ENGLAND AMB         01603 422724 ,£586.80,Training course event fees for one
Core Defra,13/01/2012,E OF ENGLAND AMB         01603 422724 ,£586.80,Training course event fees for one
Core Defra,13/01/2012,E OF ENGLAND AMB         01603 422724 ,£586.80,Training course Event fees for one
Core Defra,13/01/2012,REDFERN TRAVEL LTD       BRADFORD     ,£650.30,Rail fare for two staff to meet the EU Commission in Brussels
Core Defra,13/01/2012,SPRINGHILL SUITES-PHOENIXPHOENIX      ,£728.87,Accommodation for one person for six nights attending a meeting on water ways in America
Core Defra,13/01/2012,WWW.ILXGROUP.COM         01270 615653 ,"£2,028.00",Training course for two people
Core Defra,13/01/2012,THORNTON VARE            01603 890446 ,£798.00,Training course for seven people
