Entity,Transaction Posting Date,Merchant Name,Amount,Description
CCW,02/08/2013,ECLIPSE NETWORKING LIM   0148260282,£924.04,Telecommunication Services - monthly broadband charges for July
Defra,19/08/2013,Hotel Novotel            Luxembourg   ,£523.32,Accommodation for three nights for one person attending the Common Agriculture Council
Defra,19/08/2013,Hotel Sofitel            Luxembourg   ,£664.91,Hospitality for twelve people attending a meeting on the Common Agricultural Policy
Defra,19/08/2013,"DEFRA, NOBEL HOUSE       SMITH SQ, LON",£529.20,Hospitality for fifty external stakeholders attending a meeting to identify further opportunities to introduce earned recognition into farm inspections
Defra,23/08/2013,WWW.ROYALMAIL.COM        INTERNET     ,£937.00,Pre-paid postage envelopes for the office
Defra,09/08/2013,DECC WHITEHALL PLACE     LONDON       ,£659.10,Hospitality for 55 people attending Managing Risk in Habitats Regulations Assessment workshop for Local Planning Authorities
Defra,01/08/2013,REDFERN TRAVEL LTD       BRADFORD     ,£714.41,Return flights to Copenhagen for one person attending Danish Presidency informal meeting on nanomaterials
Defra,13/08/2013,"DEFRA, NOBEL HOUSE       SMITH SQ, LON",£555.00,Hospitality for fifty people attending Flood Insurance Summit on 18th July
Defra,19/08/2013,THE ELIOTT HOTEL         GIBRALTAR    ,£716.00,Accommodation for four staff for four nights attending the Drinking Water Regulators (ENDWARE) Conference.  The accommodation was negotiated  by the Gibraltar Environment Agency.
Defra,19/08/2013,QA-IQ LTD                SLOUGH       ,"£1,554.00",One person attending specialist certificated IT training
Defra,19/08/2013,THE ELIOTT HOTEL         GIBRALTAR    ,£864.00,Room hire for Drinking Water Regulators (ENDWARE) 33rd Conference for 40 people
Defra,19/08/2013,ROCK HOTEL LTD           GIBRALTAR    ,"£2,771.00","Travel, transfer and hospitality for 40 people attending the 33rd European Network of Drinking Water Regulators (ENDWARE) Conference"
Defra,01/08/2013,MARRIOTT                 WARSZAWA     ,£693.60,Accommodation for seven nights for two people attending Intergovernmental Negotiating Committee (INC) meeting to agree a Legally Binding Agreement on Forests in Europe 
Defra,01/08/2013,BRITISH A   1252486493959LUXEMBURG    ,"£1,337.65",Flights for two people to return from October 2012 Fisheries Council in Luxembourg.  The original flight was Luxembourg to London City and was changed to fly to Heathrow because London City airport was fog-bound.
Defra,09/08/2013,LEXISNEXIS UK            LONDON       ,£670.83,Stones Justice Manual and CD - 2013 set
Defra,29/08/2013,AMTRAK .COM 1771131532694WASHINGTON   ,"£1,013.08",Rail transfer for four people from New York to Washington attending the United States Trade Promotion and Bilateral Exchanges with the United States Administration.
KEW,29/08/2013,ACT TDWG ANNUAL,£533.61,Registration fee for International Union of Biological Sciences Annual Conference
KEW,12/08/2013,MERCURE CREOLIA,"£1,196.90",Conference fee for ten days and accommodation for nine nights for two people attending the 5th International Orchid Conservation Congress
RPA,07/08/2013,Trustmarque Solutions Ltd,"£2,532.50",A Safe Feature Manipulation Engine (FME) licence renewal - software used for testing purposes.
RPA,09/08/2013,Trustmarque Solutions Ltd,£934.11,"A Symantec Netbackup (NBU) licence - software licence for Netbackup, required to back up server data. "
