Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",203,187.31,563,540.72,1776,1699.77,1086,1041.68,127,122.85,14,14,3769,3606.33,104,86.1,20,15.74,350,316.28,6,5.26,480,423.38,4249,4029.71,12553926,48438,33448,57482,2527121,1286048,16506463,4203850.318,76044.52,4279894.838,20786357.84,
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",747,689.75794,546,503.35044,762,725.93447,171,167.62785,5,5,0,0,2231,2091.6707,78,78,0,0,36,36,0,0,114,114,2345,2205.6707,5211647.08,78101.38,3275,72286.6,1099998.35,522264.08,6987572.49,269683.06,0,269683.06,7257255.55,
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",79,74.81,141,130.93,295,280.26,111,101.62,3,3,0,0,629,590.62,0,0,0,0,0,0,0,0,0,0,629,590.62,1540242.39,46152.14,0,22196.73,323744.55,164532.98,2096868.79,0,0,0,2096868.79,
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",598,510.31,472,429.29,427,402.35,88,87.37,6,6,0,0,1591,1435.32,173,173,13,13,0,0,0,0,186,186,1777,1621.32,3239940.67,3839.37,0,81304.09,666471.49,312366.87,4303922.49,362833.42,141563.26,504396.68,4808319.17,
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",31,29.52,25,24.07,52,50.62,49,48.19,3,3,0,0,160,155.4,7,6.4,0,0,0,0,0,0,7,6.4,167,161.8,490467,12753,0,12045,105464,54834,675563,30924,0,30924,706487,
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.)
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.)
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,479,459,479,459,2,2,0,0,0,0,0,0,2,2,481,461,1440557.52,50890.2,0,0,125443.16,160535.46,1777426.34,4323.98,0,4323.98,1781750.32,AHDB is funded through a levy paid by farmers and others in the agricultural supply chain. No funding towards staffing or other running costs is received from the government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",10,9.19,26,25.57,19,17.73,11,10.81,6,5.6,0,0,72,68.9,2,1.6,0,0,0,0,1,0.17,3,1.77,75,70.67,192185.48,1985.28,0,901.28,39965.81,19697.88,254735.73,1769.2,525,2294.2,257029.93,
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1673,1565.27,2473,2314.48,3104,2906.95,1840,1756.5,89,87.77,906,893.39,10085,9524.36,225,217.25,42,40.49,9,6.94,309,271.41,585,536.09,10670,10060.45,25487170.42,291739.76,77.23,1235509.14,3706658.74,2749437.06,33470592.35,649093.99,5135279.2,5784373.19,39254965.54,
Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,8.3,26,25.21,123,116.64,26,24.8,2,2,8,1.11,194,178.06,0,0,1,1,0,0,0,0,1,1,195,179.06,471535.01,15750.75,250,513.46,99734.12,48128.16,635911.5,10282.6,0,10282.6,646194.1,
Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",27,25.22,113,110.55,121,117.67,45,44.51,8,7.19,0,0,314,305.14,13,13,0,0,12,11.5,0,0,25,24.5,339,329.64,796250.51,0,0,10977.08,167265.71,163091.35,1137584.65,111409.5,0,111409.5,1248994.15,
National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1,1,5,3.56,17,15.5,3,3,1,1,0,0,27,24.06,0,0,0,0,0,0,0,0,0,0,27,24.06,71006.75,0,9090.75,595.32,15162.33,8444.29,104299.44,0,0,0,104299.44,
Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",237,217.78,461,437.44,1417,1319.16,175,168.5,16,15.9,13,12.44,2319,2171.22,360,351.79,0,0,0,0,0,0,360,351.79,2679,2523.01,5330491.94,39914.85,800,79818.93,1101148.28,521035.35,7073209.35,827779.9,0,827779.9,7900989.25,
"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",289,244.18,187,151.38,207,200.09,70,67.54,9,9,57,57,819,729.19,12,11,3,3,9,9,0,0,24,23,843,752.19,1871449.91,6248.47,0,39998.2,368887.22,187840.35,2474424.15,120640.52,41841.18,162481.7,2636905.85,
Sea Fish Industry Authority,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",26,23,35,35,21,21,5,5,1,1,0,0,88,85,0,0,0,0,0,0,0,0,0,0,88,85,288801.2,11394.62,0,0,43686.33,29431.96,373314.11,0,0,0,373314.11,Bulk of staff do not fall into specified categories.
