Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Environment Food & Rural Affairs ,Ministerial Department,"Department for Environment, Food & Rural Affairs",321,302.87,341,329.55,831,807.24,474,454.87,103,100.08,100,97.57,"2,170","2,092",20,20,12,12,37,37,5,5,74,74,"2,244","2,166","£6,568,781.00",£0.00,"£30,495.00","£33,630.00","£1,400,171.00","£576,882.00","£8,609,959.00","£642,633.66","£58,017.96","£700,651.62","£9,310,610.62",
Animal Health & Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food & Rural Affairs",1034,946.71,593,562.96,539,509.53,358,336.47,9,9,0,0,"2,533","2,365",81,81,3,3,29,24.84,2,0.9,115,109.74,"2,648","2,474","£5,553,699.12","£109,390.24","£1,800.00","£108,387.07","£1,074,644.49","£439,455.59","£7,287,376.51","£354,785.00","£10,157.00","£364,942.00","£7,652,318.51",
Centre for Environment Fisheries & Aquaculture Science,Executive Agency,"Department for Environment, Food & Rural Affairs",107,98.31,133,126.92,235,218.5,75,71.3,4,4,0,0,554,519,,,,,7,7,,,7,7,561,526,"£1,228,919.00","£23,948.00",,"£23,181.00","£232,160.00","£90,750.00","£1,598,958.00","£14,583.33",,"£14,583.33","£1,613,541.33",
Food & Environment Research Agency,Executive Agency,"Department for Environment, Food & Rural Affairs",201,186,216,201.3,354,333.3,93,89.9,5,5,19,19,888,835,3,0,,,2,0,,,5,0,893,835,"£1,946,581.18","£29,876.99","£20,000.00","£8,729.77","£143,669.93","£360,644.23","£2,509,502.10",,"£33,010.40","£33,010.40","£2,542,512.50",Fera does not record the FTE of non-payroll staff
Rural Payments Agency,Executive Agency,"Department for Environment, Food & Rural Affairs",1228,1102.74,720,669.52,469,452.09,109,108.59,13,12.88,0,0,"2,539","2,346",26,26,7,7,17,16.5,0,0,50,49.5,"2,589","2,395","£4,827,663.00","£42,262.37","£2,600.00","£105,735.00","£877,471.00","£353,074.00","£6,208,805.37","£86,579.16",,"£86,579.16","£6,295,384.53",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food & Rural Affairs",45,42.24,33,31.49,37,35.57,38,37.81,3,3,,,156,150,6,5.38,,,3,1.2,,,9,6.58,165,157,"£441,450.24","£5,752.47",,"£2,552.24","£89,133.25","£37,885.48","£576,773.68","£32,097.37",,"£32,097.37","£608,871.05",
Agricultural Wages Board for England & Wales,Executive Non-Departmental Public Body,"Department for Environment, Food & Rural Affairs",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,The Agricultural Wages Board has no staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food & Rural Affairs",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,The Agricultural Wages Committees have no staff
