name,borough_name,website,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing
52 Ossory Llp,Southwark,http;//ossory.com,2.00E+11,E09000028,52 Ossory,52 Ossory Road,,Old Kent Road,E05011109,-0.071278223,51.48360739,533795.7211,177944.6347
Artichoke,Lambeth,www.facebook.com/artichokeprintmaking/,1.00E+11,E09000022,Artichoke Print Workshop,Unit S1,245a Coldharbour Lane,Coldharbour,E05000420,-0.102955985,51.46471787,531651.2798,175787.0651
Bainbridge Print,Lambeth,www.bainbridgeprint.com,10008789269,E09000022,,1 Sydenham Place,Lansdowne Hille,Knight's Hill,E05000424,-0.104528928,51.43439246,531629.3345,172412.6929
Bainbridge Print,Southwark,www.bainbridgeprint.com,10090286107,E09000028,Bainbridge Print,Units 7-9 Taplow House,Thurlow St,Faraday,E05011102,-0.086002326,51.4879437,532761.0533,178399.9167
Black And White Basement,Westminster,http://www.bwbasement.com,1.00E+11,E09000033,Black And White Basement,16 Blenheim Terrace, St Johns Wood,Abbey Road,E05000630,-0.182172022,51.53521621,525955.5308,183485.5155
Blackhorse Workshop,Waltham Forest,www.blackhorseworkshop.co.uk/,10091186505,E09000031,Blackhorse Workshop,1–2 Sutherland Rd Path,,Higham Hill,E05000600,-0.038737955,51.59204955,535731.1175,190060.9822
Building Bloqs,Enfield,buildingbloqs.wordpress.com/,207188012,E09000010,Building Bloqs Meridian Works,Meridian Works,Silver St,Town,E05000210,-0.079701642,51.65451498,532711.948,196930.6004
Camden Town Shed,Camden,www.camdentownshed.org/,5022268,E09000007,Camden Town Shed,Maiden Lane Community Centre,156 St Paul’s Crescent,Cantelowes,E05000131,-0.128815104,51.54133776,529637.7196,184259.4325
Centa,Camden,http://centa.co.uk/creative/hatton-garden-jewellery-centre/,5087772,E09000007,Hatton Garden Jewellery Centre,Arundel House,43 Kirby Street,Holborn and Covent Garden,E05000138,-0.107481411,51.5199076,531178.3459,181914.8812
Ceramics Studio Co-Op,Lewisham,ceramicsstudio.coop,1.00E+11,E09000023,Ceramics Studio Co-Op,"Unit 14 And 17, Block C",Juno Way,New Cross,E05000449,-0.045605733,51.48308312,535579.3063,177933.5955
Clapham Pottery,Lambeth,www.northstreetpotters.com/,1.00E+11,E09000022,Clapham Pottery,4a Rectory Grove,Clapham,Clapham Town,E05000419,-0.139123731,51.46819321,529129.841,176108.9908
Craft Central,Tower Hamlets,www.craftcentral.org.uk,6653025,E09000030,The Forge,397-411 Westferry Road,,Island Gardens,E05009324,-0.019150991,51.48879392,537398.483,178617.8494
Create,Newham,www.createlondon.org,10008995499,E09000025,Old Manor Park Library,835 Romford Road,,Little Ilford,E05000487,0.053754443,51.55312932,542257.6628,185909.8836
Create Space London,Barnet,www.createspacelondon.org/,200160294,E09000003,Create Space London,80 Daws Lane,Mill Hill,Mill Hill,E05000057,-0.238795818,51.61526637,521814.9861,192289.5819
Create Space London,Brent,www.createspacelondon.org/,202086681,E09000005,Create Space London,Former Willesden Green Police Station,,Willesden Green,E05000105,-0.230689673,51.54717167,522559.3165,184732.2486
Creative Nature,Greenwich,https://www.creativenature.info/,10010245468,E09000011,Creative Nature,Tw08 Thames-Side Studios,Harrington Way,Woolwich Riverside,E05000230,0.044292164,51.49485065,541782.9352,179412.2975
Double Negative Darkroom,Hackney,http://dndr.org.uk/,1.00E+11,E09000012,Double Negative Darkroom,"178a Glyn Road, Hackney",,King's Park,E05009379,-0.040656767,51.55311679,535714.3688,185728.9618
Down Lane Studios,Haringey,https://www.downlanestudios.com,1.00E+11,E09000014,Down Lane Studio,Ashley House,Ashley House,Tottenham Hale,E05000281,-0.062129225,51.58995636,534117.4432,189785.0791
East London Printmakers,Hackney,www.eastlondonprintmakers.co.uk,1.00E+11,E09000012,East London Printmakers,129 Mare Street,,London Fields,E05009381,-0.057553178,51.53844286,534586.6489,184066.2884
Fabpub,Tower Hamlets,https://fab.pub/about/,6716682,E09000030,Fabpub,1-2 Gossamer Gardens,,St. Peter's,E05009331,-0.05838648,51.5327554,534545.6612,183432.4429
Fashion Workspace,Brent,http://www.fashionworkspace.co.uk/our-space/,202191878,E09000005,Fashion Workspace,Kilburn Bridge House,69-71 Kilburn High Road,Kilburn,E05000094,-0.193144235,51.53741803,525188.7055,183711.465
Flux Studios,Southwark,http://www.fluxstudios.org/membership.html,2.00E+11,E09000028,Flux Jewellery Centre Of Excellence,2f Vanguard Court,,St. Giles,E05011115,-0.081434253,51.47249356,533123.1446,176690.4905
Fotofusion,Lambeth,www.photofusion.org,1.00E+11,E09000022,Fotofusion,17a Electric Lane,London,Coldharbour,E05000420,-0.113914086,51.46187314,530898.4692,175451.1348
Gipsy Hill Workshops,Croydon,http://www.gipsyhillworkshops.co.uk/Creatives-in-Crystal-Palace.aspx,1.00E+11,E09000008,Gipsy Hill Workshops,14 Paddock Gardens,,Crystal Palace & Upper Norwood,E05011467,-0.081950703,51.41938463,533241.9581,170784.9847
Goldfinger Factory,Kensington & Chelsea,www.goldfingerfactory.com,217034922,E09000020,Goldfinger Factory,Trellick Tower,13-15 Golborne Road,Golborne,E05009396,-0.205437435,51.52366817,524373.856,182161.7476
Hackney Fashion Hub,Hackney,http://hackneyfashionhub.co.uk/,10008240891,E09000012,Hackney Fashion Hub,116 Morning Lane,,Homerton,E05009376,-0.050178954,51.54700737,535072.5115,185032.0696
"Here Today, Here Tomorrow",Islington,http://www.heretoday-heretomorrow.com/,10023220837,E09000019,"Here Today, Here Tomorrow",30a Balls Pond Road,Dalston,Mildmay,E05000377,-0.077141096,51.54619381,533205.9301,184892.1776
Hired Woodwork Space (Hwws),Wandsworth,http://www.hirewoodworkspace.co.uk/index.cfm?sid=941&pid=13799,1.00E+11,E09000032,Hired Woodwork Space (Hwws),Unit 4 & 39 Drca Business Centre,Charlotte Despard Avenu,Queenstown,E05000620,-0.152407067,51.47405065,528191.0143,176736.8461
Imperial College London,Hammersmith & Fulham,https://www.imperial.ac.uk/white-city-campus/community/the-invention-rooms/,34126299,E09000013,The Invention Rooms,68 Wood Lane,White City,College Park and Old Oak,E05000253,-0.225162991,51.51352783,523033.1263,181000.9465
Institute Of Making,Camden,www.instituteofmaking.org.uk/,5148596,E09000007,Institute Of Making,Ucl,Malet Place,Bloomsbury,E05000129,-0.132398065,51.52357126,529439.7405,182277.7864
Kindred Studios,Westminster,http://kindredstudios.co.uk/new-studios/,1.00E+11,E09000033,Kindred Studios,18 Saltram Cresent,,Harrow Road,E05000635,-0.198761663,51.52954595,524820.7693,182826.6272
Light Factory Workshops,Hammersmith & Fulham,http://www.lightfactoryworkshops.co.uk,34119028,E09000013,Light Factory Workshops,6 Scrubs Lane,,College Park and Old Oak,E05000253,-0.238304181,51.53189092,522072.3744,183020.5506
Lime Wharf,Tower Hamlets,limewharf.org/,6021881,E09000030,Lime Wharf,Lime Wharf,Vinter Street,St. Peter's,E05009331,-0.056152615,51.53470733,534694.79,183653.5627
London Art Workshop,Hackney,www.londonartworkshop.com/,2.00E+11,E09000031,London Art Workshop,Unit 19 Roxwell Trading Park,Argall Avenue,Lea Bridge,E05000603,-0.037453264,51.57091376,535883.2509,187713.5651
London Centre For Book Arts,Tower Hamlets,http://londonbookarts.tumblr.com/,6180045,E09000030,London Centre For Book Arts,"Unit 18, Ground Floor Britannia Works",Dace Road,Bow East,E05009319,-0.022754214,51.53778211,537001.2783,184057.5187
London Fashion Studios,Brent,http://www.londonfashionstudios.co.uk/,202079338,E09000005,London Fashion Studios,"1st Floor, Kilburn Bridge House",69-71 Kilburn High Road,Kilburn,E05000094,-0.193144591,51.53740904,525188.7055,183710.4652
London Print Studio,Westminster,www.londonprintstudio.org.uk,10033589762,E09000033,London Print Studio,425 Harrow Rd,London,Harrow Road,E05000635,-0.205687758,51.5261,524349.8668,182431.6968
London Sculpture Workshop,Greenwich,http://londonsculptureworkshop.org/,10010245033,E09000011,London Sculpture Workshop,Unit Zero,Harrington Way,Woolwich Riverside,E05000230,0.042593181,51.49434564,541666.5971,179352.8621
London Southwest Workshops Ltd,Wandsworth,http://londonsouthwestworkshops.co.uk/,121031051,E09000032,London Sculpture Workshop,Culvert Court,105 Culvert Road,Latchmere,E05000617,-0.15616742,51.47114226,527938.084,176406.9123
Made By Ore,Waltham Forest,http://madebyore.com/,1.00E+11,E09000031,Made By Ore,City Studios Unit 2,30a Borwick Avenue,William Morris,E05000608,-0.028520497,51.58860521,536449.0356,189697.102
Main Yard Studios,Waltham Forest,https://mainyardstudios.co.uk/wimbledon/,10024423021,E09000031,Main Yard Studios,5 Argall Avenue,Walthamstow,Lea Bridge,E05000603,-0.040942099,51.57032453,535643.2855,187641.5657
Makerversity,Westminster,www.makerversity.co.uk/,1.00E+11,E09000033,Makerversity,Somerset House,Victoria Embankment,St. James's,E05000644,-0.117952415,51.51102034,530477.4889,180908.0533
Maze Hill Pottery,Greenwich,http://www.mazehillpottery.co.uk/,10010237788,E09000011,Maze Hill Pottery,The Old Ticket Office,Woodlands Park Road,Peninsula,E05000225,0.005857177,51.48289728,539152.1086,178009.5563
Workshop East,Newham,http://www.workshopeast.co.uk/,46251688,E09000025,Workshop East,Unit A2,107 High Street,Plaistow North,E05000489,0.023914481,51.52983552,540261.2688,183262.5341
Meanwhile Space,Lambeth,https://www.meanwhilespace.com/single-post/2017/08/16/Loughborough-Junction-Arches,1.00E+11,E09000022,Loughborough Junction Arches,Loughborough Junction Arches,Ridgeway Road,Coldharbour,E05000420,-0.102963824,51.46626477,531646.2783,175959.0331
No.w.here,Tower Hamlets,http://www.no-w-here.org.uk/,6018579,E09000030,No.w.here,316-318 Bethnal Green Rd,,St. Peter's,E05009331,-0.063979877,51.52635401,534176.6413,182710.4893
North London Darkroom,Haringey,http://www.londondarkroom.com,10003976077,E09000014,North London Darkroom,Unit 3d,Milmead Industrial Centre,Tottenham Hale,E05000281,-0.05780374,51.5915214,534412.366,189967.0191
Pangea Sculptors' Centre,Southwark,http://www.pangaeasculptorscentre.com/,2.00E+11,E09000028,Pangea Sculptors' Centre,133 Copeland Road,,Rye Lane,E05011113,-0.06573931,51.4700081,534220.1516,176442.8237
Parade Mews Pottery,Lambeth,www.parademewspottery.co.uk/,2.00E+11,E09000022,Parade Mews Pottery,7 Parade Mews,Tulse Hill,Streatham Hill,E05000430,-0.106937521,51.43981813,531446.3709,173011.5827
Peckham Print Studio,Southwark,http://peckhamprintstudio.com/,2.00E+11,E09000028,Peckham Print Studio,The Sunday Painter,12-16 Blenheim Grove,Rye Lane,E05011113,-0.069199648,51.46973315,533980.6928,176405.9159
Photochats,Hackney,http://www.chatspalace.com,1.00E+11,E09000012,Photochats,42-44 Brooksby's Walk,,King's Park,E05009379,-0.042683326,51.55026393,535582.403,185408.0194
Print Club London,Hackney,http://printclublondon.com,1.00E+11,E09000012,Print Club London,Unit 3,10-28 Millers Avenue,Shacklewell,E05009382,-0.074462503,51.55244302,533373.2985,185591.8314
Rapid Eye,Hackney,http://www.rapideye.uk.com,10008245856,E09000012,Rapid Eye,79 Leonard Street,,Hoxton East & Shoreditch,E05009377,-0.082698323,51.52481964,532882.9859,182505.7442
Rara,Hackney,www.r-a-r-a.com/,1.00E+11,E09000012,Rara,2 Grosvenor Way,,Lea Bridge,E05009380,-0.052539993,51.56536464,534854.4349,187068.6497
Sonsoles Print Stuido,Southwark,http://sonsolesprintstudio.co.uk/studio-facilities/,2.00E+11,E09000028,Sonsoles Print Stuido,"Unit 11, Print Village",Chadwick Road,Rye Lane,E05011113,-0.074090545,51.46813197,533645.7798,176218.9572
South London Makerspace,Southwark,www.southlondonmakerspace.org/,2.00E+11,E09000028,South London Maker Space,Bath Factory Estate,Norwood Road,Dulwich Village,E05011100,-0.100880656,51.45159069,531833.2573,174331.3331
Sugarhouse Studios,Southwark,www.sugarhousestudios.co.uk/,10094085505,E09000028,Sugarhouse Studios,19 Collett Road,,North Bermondsey,E05011106,-0.06349997,51.49619495,534298.6264,179358.3507
Sustainable Workspaces,Southwark,https://www.sustainableworkspaces.co.uk/bridges/,2.00E+11,E09000028,Sustainable Workspaces,29 Shand Street,,London Bridge & West Bermondsey,E05011104,-0.081216113,51.5028172,533049.9064,180062.2361
Swan Wharf Workshop,Tower Hamlets,www.swanwharf.org/,6151658,E09000030,Swan Wharf Workshop,60 Dace Road,Hackney,Bow East,E05009319,-0.021614621,51.53773476,537080.4302,184054.3944
Terrace Studios And Gallery,Hackney,https://www.facebook.com/TERRACE.STUDIOS.GALLERY/,10008240683,E09000012,,4-17 Frederick Terrace,,London Fields,E05009381,-0.075777387,51.53954391,533319.9195,184155.3416
Thames Barrier Print Studio,Greenwich,http://www.thamesbarrier-printstudio.co.uk/,10010229620,E09000011,Thames Barrier Print Studio,"Thames Barrier Print Studio, Second Floor Studios & Arts",Unit 4 Harrington Way,Woolwich Riverside,E05000230,0.043457944,51.49493929,541724.7684,179420.5363
The Camera Club,Lambeth,www.thecameraclub.co.uk,1.00E+11,E09000022,The Camera Club,16 Bowden Street,,Prince's,E05000427,-0.110646583,51.48766563,531051.3378,178324.5518
The Carpentry Club,Tower Hamlets,https://www.oxfordhouse.org.uk/the-carpentry-club-at-oxford-house/,6089004,E09000030,The Carpentry Club,Oxford House,Derbyshire Street,St. Peter's,E05009331,-0.061484047,51.52636805,534349.6854,182716.6301
The Fashion Box,Haringey,https://www.thefashionbox.co.uk/contact,1.00E+11,E09000014,The Fashion Box,Unit 4,718-722 Seven Sister Road,St. Ann's,E05000277,-0.078036318,51.5804164,533043.7618,188695.3811
The Goodlife Centre,Southwark,www.thegoodlifecentre.co.uk/,10013527006,E09000028,The Goodlife Centre,122 Webber Street,Southwark,Borough & Bankside,E05011095,-0.099776622,51.50070036,531768.1865,179793.2767
The Remakery,Lambeth,www.remakery.org/,10001110677,E09000022,The Remakery,4-20 Paulet Road,Loughborough Junction,Vassall,E05000436,-0.103232488,51.47054969,531615.2757,176434.9421
The School Of Stuff,Hackney,www.theschoolofstuff.co.uk/,10008320329,E09000012,The School Of Stuff,73-75 Shacklewell Lane,,Shacklewell,E05009382,-0.071181865,51.55274138,533599.7999,185630.9885
The Talent Factory,Lewisham,http://capitaltalent.co.uk/the-talent-factory,1.00E+11,E09000023,The Talent Factory,"The Talent Factory, Unit 8, Barmeston Road, London",,Catford South,E05000440,-0.02091507,51.43892739,537425.8853,173070.5115
Turning Earth Ceramics,Hackney,http://turningearthceramics.co.uk,10008243885,E09000012,Turning Earth E2,Railway Arches 361-362,Whiston Road,Haggerston,E05009375,-0.075648017,51.53440706,533343.9116,183584.4782
Turning Earth Ceramics,Waltham Forest,http://turningearthceramics.co.uk,1.00E+11,E09000031,Turning Earth E10,Top Floor,11 Argall Avenue,Lea Bridge,E05000603,-0.039244046,51.57054799,535760.269,187669.5669
Wood Street Walls Cic,Waltham Forest,www.woodstreetwalls.co.uk,10093559731,E09000031,Wood Street Walls,Wood Street Studios,Barrett Road,Wood Street,E05000609,-0.003507516,51.58518778,538191.6944,189364.187
Dome View Yard,Greenwich,https://assemblestudio.co.uk/workspace/sugarhouse-studios,10010266827,E09000011,269 Tunnel Avenue ,,,Peninsula,E05000225,0.000308581,51.49845,538944.1521,179619.9221
London Hackspace,Brent,https://london.hackspace.org.uk/ ,10091987448,E09000005,Ujima House,388 High Road,,Wembley Central,E05000104,-0.28996936,51.553902,518652.3961,185275.7588
E5 Process ,Hackney,https://e5process.co.uk/,1.00021E+11,E09000012,178a Glyn Road,,,King's Park,E05009379,-0.041141499,51.553213,535904.1157,185631.8025
Peckham Levels,Southwark,https://www.peckhamlevels.org/about,2.00003E+11,E09000028,Level 1 To 6 Peckham Town Centre Car Park,95a Rye Lane,,Rye Lane,E05011113,-0.068232581,51.470741,534268.2198,176410.8463
Glass Academy London,Kensington and Chelsea,https://glassacademy.london/,217083545,E09000020,46B Stoneleigh Street,London,,Notting Dale,E05009399,-0.21625285,51.511278,523878.3477,180657.8444
Masbro Centre,Hammersmith and Fulham,https://www.upg.org.uk/,34034846,E09000013,87 Masbro Rd,Hammersmith,,Addison,E05000250,-0.21609445,51.500206,523919.3648,179426.8821
Kingsgate Workshops,Camden,https://www.kingsgateworkshops.org.uk/,5184848,E09000007,110 -116 Kingsgate Road,London,,Kilburn,E05000140,-0.19686082,51.544343,525133.2787,184367.7178
SLAUGHTERHAUS,Lambeth,https://vincentsyard.co.uk/join-us/slaughterhaus-print-studio/,10090201031,E09000022,23 Alphabet Mews,London,,Vassall,E05000436,-0.11416498,51.473872,531069.2365,176675.8339
Jealous Studio,Hackney,https://jealousgallery.com/pages/studio,1.00023E+11,E09000012,2A LUKE STREET,London,,Hoxton East & Shoreditch,E05009377,-0.080848097,51.524194,533236.1817,182331.7982
Richard Quinn Studio,Southwark,www.richardquinnstudio.co.uk,2.00003E+11,E09000028,"Unit 6, Astbury Business Park Station Passage",Queens Road Peckham,,Old Kent Road,E05011109,-0.0541718,51.482424,535210.2146,177735.8573
Richmond Makerlabs ,Richmond upon Thames,https://richmondmakerlabs.uk/,10094588041,E09000027,Little House,Ham Close,Ham,"Ham, Petersham and Richmond Riverside",E05000519,-0.3170403,51.437447,517073.4742,172282.0121
3rd Rail Print Space,Southwark,https://www.3rdrailprintspace.co.uk/,2.00003E+11,E09000028,"Unit 107, Peckham Levels",95a Rye Lane,London,Rye Lane,E05011113,-0.068232581,51.470741,534268.2198,176410.8463
