name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude
Bally Studios,HARINGEY,www.ballystudios.co.uk,1.00E+11,E09000014,Tottenham Hale,E05000281,Unit 16 Mill Mead Industrial Centre,Mill Mead Road,,534747,189906,-0.054592149,51.59139579
Ritz Rehearsal Studios,WANDSWORTH,,1.00E+11,E09000032,Thamesfield,E05000625,The Courtyard Esmond Street,Wandsworth,,524397,175191,-0.209135791,51.4615174
Arcola Studio 5,Hackney,https://www.arcolatheatre.com/about/hire/,,,,,24 Ashwin Street,,,533595.5903,184870.251,-0.073120342,51.54641223
Gillet Square  Studios,Hackney,,,,,,Unit 10 Gillett Square,,,533460.5494,185067.1242,-0.07499219,51.54821356
New River Studios,Harringay,https://newriverstudios.com/,,,,,199 Eade Rd,,,532594.7771,187952.8795,-0.086383752,51.57435312
Pirate Studios - Croydon DJ Studios,Croydon,http://piratestudios.co.uk,,,,,"Unit 8, New South Quarter",Purley Way,,531240.8494,165572.5781,-0.114227042,51.37352368
Pirate Studios - Earlsfield Rehearsal Studios,,http://piratestudios.co.uk,,,,,17 Lydden Road,,,525825.327,173547.7808,-0.189168691,51.44643224
Pirate Studios - Greenwich Rehearsal Studios,,http://piratestudios.co.uk,,,,,22 Bugsby's Way,,,540908.7194,178790.4512,0.029857854,51.48999518
Pirate Studios - Notting Hill West London Rehearsal Studios,,http://piratestudios.co.uk,,,,,Arches 56-59,Bard Road,White City,523638.53,180769.4294,-0.218095396,51.51182354
Crunch Studios,Sutton,http://www.crunchstudios.co.uk/,5870119991,E09000029,Carshalton Central,E05000558,Crunch Studio 39b,High Street,Sutton,528215.0001,164594.0001,-0.158033484,51.36541964
Scream Studios,Croydon,www.screamstudios.net,1.00E+11,E09000008,Fairfield,E05011468,20a South End,Croydon,,532411.0001,164775.0001,-0.097720467,51.36608353
Music Studios London,Sutton,www.musicstudioslondon.com,5870054132,E09000029,St. Helier,E05000562,43192 Rosehill Court Parade,St. Helier Avenue,Sutton,526087.0001,166732.0001,-0.187829465,51.38511291
Crown Lane Studio,Merton,www.crownlanestudio.co.uk,48130591,E09000024,Merton Park,E05000466,8b Crown Lane,Merton,,525618.0001,168522.0001,-0.193932924,51.40130581
Antenna Studios,Croydon,www.antennastudios.co.uk,10090383277,E09000008,Crystal Palace & Upper Norwood,E05011467,Bowyers Yard Haynes Lane,Croydon,,533380.0001,170526.0001,-0.081646512,51.41754463
Sw19,Merton,http://www.sw-19.net,48071997,E09000024,Wimbledon Park,E05000474,62 Weir Road,Merton,,525900.0001,172505.0001,-0.188465564,51.43704302
National Opera Studio,Wandsworth,http://www.nationaloperastudio.org.uk,0,E09000032,Southfields,E05000624,2 Chapel Yard Wandsworth High Stlondon ,,,525496.7115,174649.3821,-0.193504622,51.45640648
Octagon (formally known as Artspace Studio),Lambeth,www.artspacestudio.co.uk,1.00E+11,E09000022,Brixton Hill,E05000417,Flat 130,Brixton Hill,Lambeth,530629.0001,174330.0001,-0.119786443,51.45237478
Rms Rehearsal Studios,Hammersmith And Fulham,www.rmsstudios.co.uk,0,E09000013,Palace Riverside,E05000259,Arch 57 Putney Station Approach,,,524527.0001,176011.0001,-0.206976326,51.46885909
Super Unison Studios,Southwark,www.superunisonstudios.com,0,E09000028,Rye Lane,E05011113,Unit 2a 1 Copeland Park,133 Copeland Road,Peckham,534369.0001,176303.0001,-0.06523723,51.46923164
The Music Complex,Lewisham,www.musiccomplex.co.uk,1.00E+11,E09000023,Brockley,E05000439,20 Tanners Hill,Lewisham,,537150.0001,176917.0001,-0.024980921,51.47408247
