Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2017,VO Code,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR,S44a,S49,Local Discount,Occupied
4.05054E+13, AAA PEST CONTROL SERVICES LTD  ,                                ,13.02.2017                                               ,                                ,                                ,AAA PEST CONTROL SERVICES LTD      ,HENDERSON STREET                   ,LITTLEBOROUGH                   ,LANCS                           ,OL15 8DT,3250,IF3  ,Workshop and Premises                                       ,     ,                                                         , ,0,0,Y, , , , 
6.04276E+13,17TH ROCHDALE 1ST WARDLE SCOUTS ,C/O MRS ANGELA TAIT             ,01.04.2005                                               ,WARDLE SCOUT GROUP              ,                                ,RAMSDEN ROAD                       ,WARDLE                             ,ROCHDALE                        ,LANCASHIRE                      ,OL12 9NX,3500,LC3  ,SCOUT HEADQUARTERS                                          ,     ,                                                         ,Y,0,80, , , , , 
1.5679E+13,1860 GEL LIMITED                ,                                ,01.12.2016                                               ,                                ,                                ,UNIT 1B                            ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                        ,                                ,OL16 5LB,14000,CW   ,Warehouse and Premises                                      ,     ,                                                         , ,0,0, , , , , 
4.17743E+13,1ST CONTRACTS GROUP LIMITED     ,                                ,04.04.2017                                               ,GND FLR 84A                     ,                                ,WILLIAM STREET                     ,LITTLEBOROUGH                      ,LANCS                           ,                                ,OL15 8JP,2475,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
4.05088E+13,1ST CONTRACTS GROUP LTD         ,                                ,04.04.2017                                               ,                                ,                                ,84A WILLIAM STREET                 ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8JP,11750,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, , , , , 
4.05117E+13,1ST CONTRACTS GROUP LTD         ,                                ,04.04.2017                                               ,                                ,                                ,71A FEATHERSTALL ROAD              ,LITTLEBOROUGH                      ,LANCS                           ,                                ,OL15 8JZ,10750,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, , , , , 
3.09798E+13,20/20 INDUSTRIES LTD            ,                                ,01.04.2011                                               ,GF 12 OFFICE THE OLD POLICE     ,STATION BUSINESS CENTRE         ,HIND HILL STREET                   ,HEYWOOD                            ,LANCS                           ,                                ,OL10 1AQ,1650,CO   ,OFFICE                                                      ,     ,                                                         , ,0,0,Y, , , , 
1.10367E+13,21ST CENTURY TATTOO LTD         ,                                ,04.07.2008                                               ,                                ,                                ,1-5 CHEETHAM STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1PQ,6300,CO   ,TATOO STUDIO & PREMISES                                     ,     ,                                                         , ,0,0,Y, , , , 
1.54198E+13,27TH ROCHDALE LOWERPLACE SCOUTS ,                                ,01.04.2005                                               ,                                ,                                ,27TH RDALE (LOWERPLACE) SCOUT GROUP,WATKIN STREET                      ,ROCHDALE                        ,LANCASHIRE                      ,OL16 4HJ,2600,LC3  ,CLUBROOM & PREMISES                                         ,     ,                                                         ,Y,20,80, , , , , 
4.11923E+13,29TH ROCHDALE SCOUTS C/O J R    ,COLLINGE                        ,01.04.2005                                               ,                                ,                                ,120 NEW ROAD                       ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8NL,2250,LC3  ,HALL AND PREMISES                                           ,     ,                                                         ,Y,0,80, , , , , 
