UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Council Directorate
2,Rochdale Council,271501-Information Communication Technology : Services : ,CC Agilisys Contract,OJEU Tender,Contract,01-Jun-13,94,94,01-Apr-21,No,01-Apr-21,01-Apr-20,"£77,556.13","£607,523.07",Agilisys  Professional Services,SME,3571098,Rochdale- Neighbourhoods
47,Rochdale Council,271430-Information Communication Technology : Software : Commercial Off-The-Shelf,Authority Financials,Call Off (External),Contract,01-Apr-15,60,60,31-Mar-20,No,31-Mar-20,31-Mar-18,"£61,808.00","£309,040.00",Civica UK Ltd,Large,1628868,Rochdale- Resources
80,Rochdale Council,191411-Facilities & Management Services : Lifts : Repair & Maintenance,"Lifts, hoists and stair lifts service and maintenance",OJEU Tender,Framework Agreement,01-Aug-15,36,48,31-Jul-19,Yes,31-Jul-19,01-Oct-17,"£50,000.00","£200,000.00",Mears Limited,Large,5856213,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,Tender,Framework Agreement,01-Jan-14,48,63,31-Mar-19,Yes,31-Mar-19,01-Aug-18,"£2,496,742.00","£10,611,154.00",Various - See below,Various - See below,Various - See below,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Almond Villas,SME,7119778,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Aspirations Care,Large,5110576,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Blue Pits Housing Action,VCSE,7825886,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Breakthrough UK,Medium,3479742,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Comfort Call,Large,5763279,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,CRAEGMOOR PRIORY GROUP,Large,7480152,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Creative Support,VCSE,0027440IP,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,CVS,VCSE,700561,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Eldercare,SME,6200595,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Fernbank Rest Home,SME,Supplier does not have company number,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Freehold Cottage,Large,Supplier does not have company number,Rochdale- Adult
