ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,05/11/2018,RESOURCES,CRITIQOM LIMITED,05/11/2018,64.75 ,PRINTING,V001254629
ROCHDALE BOROUGH COUNCIL,07/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,REXEL UK LIMITED,07/11/2018,35.00 ,TRANSACTIONS-EXPENDITURE,V001284135
ROCHDALE BOROUGH COUNCIL,08/11/2018,PROPERTY AND HIGHWAYS,SYNTAX CONTROLS LIMITED,08/11/2018,172.00 ,CENTRAL HEATING,V001286616
ROCHDALE BOROUGH COUNCIL,22/11/2018,ECONOMY DIRECTORATE,LINK4LIFE CHARITY,22/11/2018,729.10 ,REPAIRS & ALTS OF BUILDINGS,V001286809
ROCHDALE BOROUGH COUNCIL,08/11/2018,PROPERTY AND HIGHWAYS,ACCESS DOOR SYSTEMS LTD,08/11/2018,380.00 ,PROPERTY - WORKS ELEMENT,V001287241
ROCHDALE BOROUGH COUNCIL,02/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,GAZPROM MARKETING AND TRADING RETAIL LTD,02/11/2018,-610.67 ,GAS,V001290896
ROCHDALE BOROUGH COUNCIL,30/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ROSS CARE,30/11/2018,87.56 ,REPAIRS & ALTS OF BUILDINGS,V001291879
ROCHDALE BOROUGH COUNCIL,02/11/2018,LEARNING DIS & MENTAL HEALTH,TORDAN HEALTHCARE,02/11/2018,468.80 ,PERSONAL BUDGETS - MANAGED,V001293538
ROCHDALE BOROUGH COUNCIL,08/11/2018,ECONOMY DIRECTORATE,ABC INDUSTRIAL DOORS LTD,08/11/2018,109.25 ,ELECTRICAL,V001297221
ROCHDALE BOROUGH COUNCIL,07/11/2018,ECONOMY DIRECTORATE,ARCUS CONSULTING LLP,07/11/2018,220.00 ,CONSULTANTS FEES,V001297269
ROCHDALE BOROUGH COUNCIL,07/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CALIBRATION ENGINEERING SERVICES LTD,07/11/2018,8016.75 ,MAINTENANCE,V001297461
ROCHDALE BOROUGH COUNCIL,08/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,BIFFA WASTE SERVICES LIMITED,08/11/2018,42.00 ,EXPENSES - GENERAL,V001298068
ROCHDALE BOROUGH COUNCIL,27/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,RIPON FARM SERVICES,27/11/2018,492.00 ,VEHICLE MAINTENANCE,V001298326
ROCHDALE BOROUGH COUNCIL,27/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,RIPON FARM SERVICES,27/11/2018,3775.87 ,VEHICLE MAINTENANCE,V001298326
ROCHDALE BOROUGH COUNCIL,19/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,TRAVIS PERKINS TRADING CO LTD,19/11/2018,6.13 ,VEHICLE MAINTENANCE,V001298660
