UID,Council,Contract Status,Classification,Name,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date, Annual Contract Value (average) , Value ,Supplier Name,Company Registration Number,Postcode,Supplier Type,Customer Name
11120,Rochdale Borough Council,Live (On-going),270000 - Information Communication Technology,School Budgeting Software - Rochdale,RBS - Low/Med - Simple (RFQ), Contract,01/11/2022,31/10/2024,-, - ,"£92,790.00",Access UK Ltd,-, CO7 6LZ,-,"STAR, RBC - Resources"
8739,Rochdale Borough Council,Live (On-going),270000 - Information Communication Technology,The Street manager system,Exemption, Contract,01/07/2020,30/06/2025,-,"£14,000.00","£70,000.00",Kainos Software Limited,NI019370,BT7 1NT,-,"Rochdale Borough Council, RBC - Neighbourhoods"
9330,Rochdale Borough Council,Live (On-going),190000 - Facilities & Management Services,"Boiler Servicing within various Educational Establishments, SLA Buildings and Public Buildings 2020-2022",Modification, Contract,28/06/2021,27/06/2024,-,"£58,374.83","£209,457.20",J C Mills & Son Ltd,5058262,OL16 4RP,-,"Rochdale Borough Council, RBC - Neighbourhoods"
8087,Rochdale Borough Council,Live (On-going),270000 - Information Communication Technology,Support and maintenance for the Revenues & Benefits Electronic Document Retrieval and Management System,Call Off (External), Call-off Contract,19/12/2020,18/12/2025,-,"£27,063.00","£135,315.00",Northgate Public Services (UK) Ltd,9338960,SK9 7RR,-,"Rochdale Borough Council, RBC - Neighbourhoods"
8030,Rochdale Borough Council,Live (On-going),131000 - Cleaning & Janitorial - Cleaning Materials,"Supply, Maintenance and Repair of Commercial Electrical Cleaning Equipment 3",OJEU Tender, Framework Agreement,29/01/2020,29/01/2022,-,"£25,000.00","£50,000.00",Shorrock Trichem Ltd,4179799,M46 9SD,-,"Rochdale Borough Council, RBC - Resources"
5205,Rochdale Borough Council,Live (On-going),249999 - Horticultural - Not Elsewhere Classified,Supply of Propane Gas,Call Off (External), Contract,01/04/2019,31/03/2024,-,"£1,660.00","£8,300.00",Flogas,13459847,WA9 2RF,-,"Rochdale Borough Council, RBC - Neighbourhoods"
427,Rochdale Borough Council,Live (On-going),181700 - Environmental Services - Street Lighting,Street Lighting PFI (Rochdale & Oldham),OJEU Tender, Contract,01/07/2011,01/07/2036,13/06/2023,"£480,000.00","£12,000,000.00",Community Lighting Partnership - EON,7538314,M1 1JB,-,"Rochdale Borough Council, RBC - Neighbourhoods"
9476,Rochdale Borough Council,Live (One Off),"390000 - Works - Construction, Repair & Maintenance, 399999 - Works - Construction, Repair & Maintenance - Not Elsewhere Classified",Installation of Alley Gates at various locations within the Borough of Rochdale 2021/24,RBS - Low/Med - Simple (RFQ), Contract,31/08/2021,31/03/2024,31/03/2024,"£38,816.75","£116,450.20",Groundwork Landscapes Limited,1339901,BL8 4NR,-,"Rochdale Borough Council, RBC - Neighbourhoods"
3882,Rochdale Borough Council,Live (On-going),182099 - Environmental Services - Waste Management - Not Elsewhere Classified,Purchase of Wheeled Bins,Mini Competition (External), Call-off Contract,28/07/2021,27/07/2024,27/07/2025,"£543,000.00","£1,629,666.00",IPL Plastics Inc.,-,S61 4RJ,-,"Rochdale Borough Council, RBC - Neighbourhoods"
9241,Rochdale Borough Council,Live (On-going),191411 - Facilities & Management Services - Lifts - Repair & Maintenance,Servicing of Roller Shutters and Automatic Sliding Doors to Education and Public Buildings within the Borough of Rochdale,RBS - Low/Med - Simple (RFQ), Contract,01/04/2021,31/03/2023,27/08/2021,"£53,519.00","£107,038.00",A&D Door Systems Ltd ,3027244,M33 7AY,-,Rochdale Borough Council
10235,Rochdale Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Best Interest Assessments for Deprivation of Liberty Safeguarding Services (DoLs),OJEU Tender, Contract,01/04/2021,31/03/2023,31/03/2023,"£334,000.00", £-   ,Action First,11643687,EC3N 2EX,-,"Rochdale Borough Council, RBC - Adult Services"
4786,Rochdale Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Short Breaks for Children with Disabilities - Holiday Club,RBS - Low/Med - Simple (RFQ), Contract,19/07/2019,30/09/2023,-,"£40,000.00","£110,125.00",Link4Life,-,x,-,"Rochdale Borough Council, RBC - Children's Services"
4836,Rochdale Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Short Breaks - Weekend Sports Activities,RBS - Low/Med - Simple (RFQ), Contract,01/10/2019,30/03/2023,-,"£6,165.00","£6,165.00",Sport Works (Manchester & Cheshire) Ltd,9269806,WA4 3DU,-,"Rochdale Borough Council, RBC - Children's Services"
