Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Holding Accounts,9436,Insurance,30/04/2020,0000224403,-2692.46,Holding Accounts,Aon Uk Limited,13593
Rushmoor Borough Council,Community,2561,Electricity,02/04/2020,0000226580,426.36,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1208,Electricity,02/04/2020,0000226583,541.01,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Environmental Health and Housing,6231,Contract Costs,16/04/2020,0000226864,5178.00,Capital,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,2551,Consultancy,30/04/2020,0000227110,43476.00,Revenue,Facultatieve Technologies Ltd,05289
Rushmoor Borough Council,Democratic Services,1304,Mayoral Charity Dinner Dance,02/04/2020,0000227175,379.17,Revenue,Sodexo Ltd,12261
Rushmoor Borough Council,Democratic Services,1327,Postages,02/04/2020,0000227312,2693.80,Revenue,Royal Mail,00821
Rushmoor Borough Council,Information Technology,3304,Azure,09/04/2020,0000227382,811.93,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Legal,1202,Counsels Fees,02/04/2020,0000227403,3679.00,Revenue,Freeths Llp,14893
Rushmoor Borough Council,Director of Community and Environment Services,2102,Consultancy,09/04/2020,0000227448,2600.00,Revenue,Herrington & Carmichael,01872
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,02/04/2020,0000227454,1996.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,02/04/2020,0000227458,3080.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,02/04/2020,0000227460,605.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,09/04/2020,0000227463,1320.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Community,2508,Promotions,02/04/2020,0000227493,1668.31,Revenue,Stephanie Twell/April Blossoms Ltd,15351
Rushmoor Borough Council,Community,2508,Promotions,02/04/2020,0000227523,4200.00,Revenue,Balance And Ride,15793
Rushmoor Borough Council,Community,2518,Licenses/Performing Rights,02/04/2020,0000227527,5031.00,Revenue,Pplprs Ltd,01021
Rushmoor Borough Council,Democratic Services,1304,Mayoral Charity Dinner Dance,02/04/2020,0000227530,8046.78,Revenue,H H Clark (Caterers) Ltd,01393
Rushmoor Borough Council,Information Technology,3304,Covid19,02/04/2020,0000227545,5246.00,Revenue,Insight Direct (Uk) Ltd,05302
Rushmoor Borough Council,Information Technology,3304,General Hardware,02/04/2020,0000227546,2623.00,Revenue,Insight Direct (Uk) Ltd,05302
Rushmoor Borough Council,Planning,2624,Southwood Golf Course SANG Setup,09/04/2020,0000227548,2994.40,Revenue,Arcadian Ecology And Consulting Ltd,15294
Rushmoor Borough Council,Information Technology,3304,Covid19,02/04/2020,0000227552,3313.44,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,02/04/2020,0000227554,1040.50,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Strategy and Communiations,1413,Economic Development Promotions,02/04/2020,0000227555,10000.00,Revenue,Chilmark Consulting Ltd,13093
Rushmoor Borough Council,Legal,1235,Water,16/04/2020,0000227557,285.93,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Strategy and Communiations,1415,In-house Training,02/04/2020,0000227559,1154.37,Revenue,Liz Goold Associates,14435
Rushmoor Borough Council,Community,2517,Southwood Projects,02/04/2020,0000227560,1040.00,Revenue,Charterhouse Tree Care,11919
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,02/04/2020,0000227562,1470.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,02/04/2020,0000227563,1470.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Chief Executive,1105,Training Expenses,02/04/2020,0000227565,661.30,Revenue,Professional Development Group,15728
Rushmoor Borough Council,Democratic Services,1310,Stationery,02/04/2020,0000227571,442.75,Revenue,Fdr Promotions,10246
Rushmoor Borough Council,Community,2517,Playground Apparatus,02/04/2020,0000227573,604.00,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Community,2517,Playground Apparatus,02/04/2020,0000227574,1442.85,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,02/04/2020,0000227576,407.50,Revenue,Brand Pest Control,03284
Rushmoor Borough Council,Community,2517,Tree Survey Works,02/04/2020,0000227577,1524.50,Revenue,Sapling Arboriculture Limited,09448
Rushmoor Borough Council,Community,6541,Contract Costs,02/04/2020,0000227583,1205.09,Capital,Places For People Leisure,04797
Rushmoor Borough Council,Information Technology,3303,Software Maintenance,02/04/2020,0000227586,5767.22,Revenue,Hornbill Service Management Limited,08904
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,02/04/2020,0000227588,1800.00,Revenue,Sgw Safety & Security Limited,14822
Rushmoor Borough Council,Planning,6608,Contract Costs,02/04/2020,0000227589,51412.75,Capital,Dcm Surfaces,12041
Rushmoor Borough Council,Planning,6608,Contract Costs,02/04/2020,0000227590,3129.00,Capital,Dcm Surfaces,12041
Rushmoor Borough Council,Community,2517,Playground Apparatus,02/04/2020,0000227591,1321.12,Revenue,Hags-Smp Ltd,04499
Rushmoor Borough Council,Legal,1203,Temporary Staff,09/04/2020,0000227593,610.50,Revenue,The Oyster Partnership Limited,13970
Rushmoor Borough Council,Information Technology,3305,Cleaning Materials,02/04/2020,0000227594,377.71,Revenue,Source Office Supplies Ltd,14253
Rushmoor Borough Council,Information Technology,3302,Application Software,09/04/2020,0000227595,5385.39,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Holding Accounts,9446,Community Safety Partnership,02/04/2020,0000227597,1650.00,Holding Accounts,Graffiti Removal (South) Limited,07403
Rushmoor Borough Council,Customer Services,3805,External Printing,02/04/2020,0000227598,5340.00,Revenue,Latcham Direct,14045
Rushmoor Borough Council,Customer Services,3805,Postages,02/04/2020,0000227598,11128.15,Revenue,Latcham Direct,14045
Rushmoor Borough Council,Democratic Services,1327,Postages,02/04/2020,0000227603,2518.93,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,09/04/2020,0000227604,1260.00,Revenue,Stb Cleaning Ltd,15805
Rushmoor Borough Council,Holding Accounts,9446,Community Safety Partnership,02/04/2020,0000227605,5000.00,Holding Accounts,Phoenix Theatre And Arts Centre,08225
Rushmoor Borough Council,Information Technology,3304,Covid19,02/04/2020,0000227606,37814.00,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Legal,1209,Vacant Property Inspections,02/04/2020,0000227607,420.00,Revenue,Secure Site (Uk) Ltd,14068
Rushmoor Borough Council,Community,2518,Publicity and Advertising,02/04/2020,0000227608,275.00,Revenue,Sign-Fx,04242
Rushmoor Borough Council,Community,2550,Electricity,02/04/2020,0000227610,449.03,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2551,Tree Maintenance,02/04/2020,0000227612,1500.00,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Information Technology,3304,Network Software,02/04/2020,0000227613,1410.05,Revenue,Specops Spftware Limited,11591
Rushmoor Borough Council,Community,2517,Playground Apparatus,02/04/2020,0000227616,445.00,Revenue,Broxap Ltd,03859
Rushmoor Borough Council,Community,2517,Tree Maintenance,02/04/2020,0000227619,1374.70,Revenue,P A Searle,00699
Rushmoor Borough Council,Community,2517,Tree Maintenance,02/04/2020,0000227620,4000.00,Revenue,P A Searle,00699
Rushmoor Borough Council,Financial Services,3403,Brokers Fees,02/04/2020,0000227625,4986.30,Revenue,Tradition (Uk) Ltd,06288
Rushmoor Borough Council,Community,2547,Alcohol Awareness Programme,02/04/2020,0000227626,2316.37,Revenue,Bond Solon Training Ltd,06084
Rushmoor Borough Council,Legal,1200,Hampshire County Council Searches,09/04/2020,0000227627,2184.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Legal,1202,Temporary Staff,09/04/2020,0000227629,1270.20,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Legal,1202,Temporary Staff,09/04/2020,0000227631,1985.40,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Community,2517,Playground Apparatus,02/04/2020,0000227632,1053.00,Revenue,Hags-Smp Ltd,04499
Rushmoor Borough Council,Community,2538,Computer Equipment and Software,09/04/2020,0000227634,975.00,Revenue,Imperial Civil Enforcement Solutions,13348
Rushmoor Borough Council,Control Accounts,9339,FLC Subscription,09/04/2020,0000227635,364.00,Control Accounts,Places For People Leisure,04797
Rushmoor Borough Council,Community,2515,Cleaning,02/04/2020,0000227636,391.85,Revenue,Ybc Cleaning Services Ltd,08389
Rushmoor Borough Council,Community,2560,General Repairs and Maintenance,02/04/2020,0000227637,2490.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2551,Operational Equipment,02/04/2020,0000227638,2950.00,Revenue,Clearskies Software Ltd,12304
Rushmoor Borough Council,Community,6522,Contract Costs,02/04/2020,0000227641,833.66,Capital,Hardcastle Electrical Limited,08301
Rushmoor Borough Council,Information Technology,3305,Cleaning Materials,02/04/2020,0000227644,476.23,Revenue,Source Office Supplies Ltd,14253
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,02/04/2020,0000227646,497.49,Revenue,Temple Lifts Limited,12997
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,02/04/2020,0000227654,1470.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Community,2549,Materials,02/04/2020,0000227657,341.00,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Chief Executive,1100,Consultancy,09/04/2020,0000227659,1000.00,Revenue,Cooper And Withycombe,13479
