"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"TOU15","Visitor Information Centre Footfall","NC","Number","2012/2013","2012-04-01","2013-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","33029.00 Number","Number","2013/2014_Apr","2013-04-01","2013-04-30","Monthly"
"TOU15","Visitor Information Centre Footfall","116925.00 Number","Number","2013/2014_Q1","2013-04-01","2013-06-30","Monthly"
"TOU15","Visitor Information Centre Footfall","481019.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","43038.00 Number","Number","2013/2014_May","2013-05-01","2013-05-31","Monthly"
"TOU15","Visitor Information Centre Footfall","40858.00 Number","Number","2013/2014_Jun","2013-06-01","2013-06-30","Monthly"
"TOU15","Visitor Information Centre Footfall","165649.00 Number","Number","2013/2014_Q2","2013-07-01","2013-09-30","Monthly"
"TOU15","Visitor Information Centre Footfall","57445.00 Number","Number","2013/2014_Jul","2013-07-01","2013-07-31","Monthly"
"TOU15","Visitor Information Centre Footfall","63245.00 Number","Number","2013/2014_Aug","2013-08-01","2013-08-31","Monthly"
"TOU15","Visitor Information Centre Footfall","44959.00 Number","Number","2013/2014_Sep","2013-09-01","2013-09-30","Monthly"
"TOU15","Visitor Information Centre Footfall","47832.00 Number","Number","2013/2014_Oct","2013-10-01","2013-10-31","Monthly"
"TOU15","Visitor Information Centre Footfall","110896.00 Number","Number","2013/2014_Q3","2013-10-01","2013-12-31","Monthly"
"TOU15","Visitor Information Centre Footfall","37144.00 Number","Number","2013/2014_Nov","2013-11-01","2013-11-30","Monthly"
"TOU15","Visitor Information Centre Footfall","25920.00 Number","Number","2013/2014_Dec","2013-12-01","2013-12-31","Monthly"
"TOU15","Visitor Information Centre Footfall","87549.00 Number","Number","2013/2014_Q4","2014-01-01","2014-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","23662.00 Number","Number","2013/2014_Jan","2014-01-01","2014-01-31","Monthly"
"TOU15","Visitor Information Centre Footfall","29250.00 Number","Number","2013/2014_Feb","2014-02-01","2014-02-28","Monthly"
"TOU15","Visitor Information Centre Footfall","34637.00 Number","Number","2013/2014_Mar","2014-03-01","2014-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","44751.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"TOU15","Visitor Information Centre Footfall","132812.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"TOU15","Visitor Information Centre Footfall","488643.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","43712.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"TOU15","Visitor Information Centre Footfall","44349.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"TOU15","Visitor Information Centre Footfall","169151.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"TOU15","Visitor Information Centre Footfall","60602.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"TOU15","Visitor Information Centre Footfall","62072.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"TOU15","Visitor Information Centre Footfall","46477.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"TOU15","Visitor Information Centre Footfall","105833.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"TOU15","Visitor Information Centre Footfall","47088.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"TOU15","Visitor Information Centre Footfall","33990.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"TOU15","Visitor Information Centre Footfall","24755.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"TOU15","Visitor Information Centre Footfall","19421.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Monthly"
"TOU15","Visitor Information Centre Footfall","80847.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","29199.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Monthly"
"TOU15","Visitor Information Centre Footfall","32227.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","431346.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","107326.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Monthly"
"TOU15","Visitor Information Centre Footfall","35702.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Monthly"
"TOU15","Visitor Information Centre Footfall","36317.00 Number","Number","2015/2016_May","2015-05-01","2015-05-31","Monthly"
"TOU15","Visitor Information Centre Footfall","35307.00 Number","Number","2015/2016_Jun","2015-06-01","2015-06-30","Monthly"
"TOU15","Visitor Information Centre Footfall","144914.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Monthly"
"TOU15","Visitor Information Centre Footfall","46209.00 Number","Number","2015/2016_Jul","2015-07-01","2015-07-31","Monthly"
"TOU15","Visitor Information Centre Footfall","56048.00 Number","Number","2015/2016_Aug","2015-08-01","2015-08-31","Monthly"
"TOU15","Visitor Information Centre Footfall","42657.00 Number","Number","2015/2016_Sep","2015-09-01","2015-09-30","Monthly"
"TOU15","Visitor Information Centre Footfall","103294.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Monthly"
"TOU15","Visitor Information Centre Footfall","48160.00 Number","Number","2015/2016_Oct","2015-10-01","2015-10-31","Monthly"
"TOU15","Visitor Information Centre Footfall","29673.00 Number","Number","2015/2016_Nov","2015-11-01","2015-11-30","Monthly"
"TOU15","Visitor Information Centre Footfall","25461.00 Number","Number","2015/2016_Dec","2015-12-01","2015-12-31","Monthly"
"TOU15","Visitor Information Centre Footfall","18584.00 Number","Number","2015/2016_Jan","2016-01-01","2016-01-31","Monthly"
"TOU15","Visitor Information Centre Footfall","57228.00 Number","Number","2015/2016_Q4","2016-01-01","2016-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","25922.00 Number","Number","2015/2016_Feb","2016-02-01","2016-02-29","Monthly"
"TOU15","Visitor Information Centre Footfall","31306.00 Number","Number","2015/2016_Mar","2016-03-01","2016-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","401206.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","105506.00 Number","Number","2016/2017_Q1","2016-04-01","2016-06-30","Monthly"
"TOU15","Visitor Information Centre Footfall","32934.00 Number","Number","2016/2017_Apr","2016-04-01","2016-04-30","Monthly"
"TOU15","Visitor Information Centre Footfall","35302.00 Number","Number","2016/2017_May","2016-05-01","2016-05-31","Monthly"
"TOU15","Visitor Information Centre Footfall","37270.00 Number","Number","2016/2017_Jun","2016-06-01","2016-06-30","Monthly"
"TOU15","Visitor Information Centre Footfall","125064.00 Number","Number","2016/2017_Q2","2016-07-01","2016-09-30","Monthly"
"TOU15","Visitor Information Centre Footfall","43083.00 Number","Number","2016/2017_Jul","2016-07-01","2016-07-31","Monthly"
"TOU15","Visitor Information Centre Footfall","44797.00 Number","Number","2016/2017_Aug","2016-08-01","2016-08-31","Monthly"
"TOU15","Visitor Information Centre Footfall","37184.00 Number","Number","2016/2017_Sep","2016-09-01","2016-09-30","Monthly"
"TOU15","Visitor Information Centre Footfall","99052.00 Number","Number","2016/2017_Q3","2016-10-01","2016-12-31","Monthly"
"TOU15","Visitor Information Centre Footfall","40461.00 Number","Number","2016/2017_Oct","2016-10-01","2016-10-31","Monthly"
"TOU15","Visitor Information Centre Footfall","30814.00 Number","Number","2016/2017_Nov","2016-11-01","2016-11-30","Monthly"
"TOU15","Visitor Information Centre Footfall","27777.00 Number","Number","2016/2017_Dec","2016-12-01","2016-12-31","Monthly"
"TOU15","Visitor Information Centre Footfall","19724.00 Number","Number","2016/2017_Jan","2017-01-01","2017-01-31","Monthly"
"TOU15","Visitor Information Centre Footfall","71584.00 Number","Number","2016/2017_Q4","2017-01-01","2017-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","24546.00 Number","Number","2016/2017_Feb","2017-02-01","2017-02-28","Monthly"
"TOU15","Visitor Information Centre Footfall","27314.00 Number","Number","2016/2017_Mar","2017-03-01","2017-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","36171.00 Number","Number","2017/2018_Apr","2017-04-01","2017-04-30","Monthly"
"TOU15","Visitor Information Centre Footfall","390681.00 Number","Number","2017/2018","2017-04-01","2018-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","102556.00 Number","Number","2017/2018_Q1","2017-04-01","2017-06-30","Monthly"
"TOU15","Visitor Information Centre Footfall","33602.00 Number","Number","2017/2018_May","2017-05-01","2017-05-31","Monthly"
"TOU15","Visitor Information Centre Footfall","32783.00 Number","Number","2017/2018_Jun","2017-06-01","2017-06-30","Monthly"
"TOU15","Visitor Information Centre Footfall","125201.00 Number","Number","2017/2018_Q2","2017-07-01","2017-09-30","Monthly"
"TOU15","Visitor Information Centre Footfall","41595.00 Number","Number","2017/2018_Jul","2017-07-01","2017-07-31","Monthly"
"TOU15","Visitor Information Centre Footfall","46814.00 Number","Number","2017/2018_Aug","2017-08-01","2017-08-31","Monthly"
"TOU15","Visitor Information Centre Footfall","36792.00 Number","Number","2017/2018_Sep","2017-09-01","2017-09-30","Monthly"
"TOU15","Visitor Information Centre Footfall","92473.00 Number","Number","2017/2018_Q3","2017-10-01","2017-12-31","Monthly"
"TOU15","Visitor Information Centre Footfall","37964.00 Number","Number","2017/2018_Oct","2017-10-01","2017-10-31","Monthly"
"TOU15","Visitor Information Centre Footfall","28914.00 Number","Number","2017/2018_Nov","2017-11-01","2017-11-30","Monthly"
"TOU15","Visitor Information Centre Footfall","25595.00 Number","Number","2017/2018_Dec","2017-12-01","2017-12-31","Monthly"
"TOU15","Visitor Information Centre Footfall","70451.00 Number","Number","2017/2018_Q4","2018-01-01","2018-03-31","Monthly"
"TOU15","Visitor Information Centre Footfall","18811.00 Number","Number","2017/2018_Jan","2018-01-01","2018-01-31","Monthly"
"TOU15","Visitor Information Centre Footfall","24599.00 Number","Number","2017/2018_Feb","2018-02-01","2018-02-28","Monthly"
"TOU15","Visitor Information Centre Footfall","27041.00 Number","Number","2017/2018_Mar","2018-03-01","2018-03-31","Monthly"
