"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2012/2013","2012-04-01","2013-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2013/2014","2013-04-01","2014-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2014/2015","2014-04-01","2015-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2015/2016","2015-04-01","2016-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","65.46 %","Percentage","2016/2017","2016-04-01","2017-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","64.00 %","Percentage","2016/2017_Q1","2016-04-01","2016-06-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2016/2017_Q2","2016-07-01","2016-09-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","65.46 %","Percentage","2016/2017_Q3","2016-10-01","2016-12-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2016/2017_Q4","2017-01-01","2017-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","70.51 %","Percentage","2017/2018_Q1","2017-04-01","2017-06-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","64.81 %","Percentage","2017/2018","2017-04-01","2018-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2017/2018_Q2","2017-07-01","2017-09-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","64.81 %","Percentage","2017/2018_Q3","2017-10-01","2017-12-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2017/2018_Q4","2018-01-01","2018-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","66.11 %","Percentage","2018/2019_Q1","2018-04-01","2018-06-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","72.52 %","Percentage","2018/2019","2018-04-01","2019-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2018/2019_Q2","2018-07-01","2018-09-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","72.52 %","Percentage","2018/2019_Q3","2018-10-01","2018-12-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2018/2019_Q4","2019-01-01","2019-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","71.52 %","Percentage","2019/2020_Q1","2019-04-01","2019-06-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","74.74 %","Percentage","2019/2020","2019-04-01","2020-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2019/2020_Q2","2019-07-01","2019-09-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","74.74 %","Percentage","2019/2020_Q3","2019-10-01","2019-12-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2019/2020_Q4","2020-01-01","2020-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2020/2021_Q1","2020-04-01","2020-06-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2020/2021","2020-04-01","2021-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2020/2021_Q2","2020-07-01","2020-09-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2020/2021_Q3","2020-10-01","2020-12-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2020/2021_Q4","2021-01-01","2021-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","68.75 %","Percentage","2021/2022","2021-04-01","2022-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","72.00 %","Percentage","2021/2022_Q1","2021-04-01","2021-06-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2021/2022_Q2","2021-07-01","2021-09-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","68.75 %","Percentage","2021/2022_Q3","2021-10-01","2021-12-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","NC","Percentage","2021/2022_Q4","2022-01-01","2022-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","68.05 %","Percentage","2022/2023_Q1","2022-04-01","2022-06-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","64.68 %","Percentage","2022/2023","2022-04-01","2023-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","64.68 %","Percentage","2022/2023_Q3","2022-10-01","2022-12-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","62.63 %","Percentage","2023/2024_Q1","2023-04-01","2023-06-30","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","72.24 %","Percentage","2023/2024","2023-04-01","2024-03-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","72.24 %","Percentage","2023/2024_Q3","2023-10-01","2023-12-31","Quarterly"
"TAP09a","% of panel confident they could find information on support available to help people live independently","63.42 %","Percentage","2024/2025_Q1","2024-04-01","2024-06-30","Quarterly"
