"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","1.94 Number","Number","2010/2011","2010-04-01","2011-03-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","1.04 Number","Number","2011/2012","2011-04-01","2012-03-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","1.19 Number","Number","2012/2013","2012-04-01","2013-03-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.98 Number","Number","2013/2014","2013-04-01","2014-03-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.50 Number","Number","2013/2014_Q1","2013-04-01","2013-06-30","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.50 Number","Number","2013/2014_Jun","2013-06-01","2013-06-30","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.55 Number","Number","2013/2014_Jul","2013-07-01","2013-07-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.56 Number","Number","2013/2014_Q2","2013-07-01","2013-09-30","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.57 Number","Number","2013/2014_Aug","2013-08-01","2013-08-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.56 Number","Number","2013/2014_Sep","2013-09-01","2013-09-30","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.55 Number","Number","2013/2014_Oct","2013-10-01","2013-10-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.64 Number","Number","2013/2014_Q3","2013-10-01","2013-12-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.54 Number","Number","2013/2014_Nov","2013-11-01","2013-11-30","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.64 Number","Number","2013/2014_Dec","2013-12-01","2013-12-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.69 Number","Number","2013/2014_Q4","2014-01-01","2014-03-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.64 Number","Number","2013/2014_Jan","2014-01-01","2014-01-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.64 Number","Number","2013/2014_Feb","2014-02-01","2014-02-28","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","0.69 Number","Number","2013/2014_Mar","2014-03-01","2014-03-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","1.03 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","1.05 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","2.05 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","1.07 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"CAN009","GRAFFITI - Average time taken to resolve non-offensive issues (Working days) - (YTD)","1.06 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
