"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","1760.00 £","Financial","2013/2014","2013-04-01","2014-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","2824.00 £","Financial","2014/2015_Q1","2014-04-01","2014-06-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","1341.00 £","Financial","2014/2015","2014-04-01","2015-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","2703.00 £","Financial","2014/2015_Q2","2014-07-01","2014-09-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","2166.00 £","Financial","2014/2015_Q3","2014-10-01","2014-12-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","1341.00 £","Financial","2014/2015_Q4","2015-01-01","2015-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","1904.00 £","Financial","2015/2016_Q1","2015-04-01","2015-06-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","944.00 £","Financial","2015/2016","2015-04-01","2016-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","1250.00 £","Financial","2015/2016_Q2","2015-07-01","2015-09-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","2137.00 £","Financial","2015/2016_Q3","2015-10-01","2015-12-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","944.00 £","Financial","2015/2016_Q4","2016-01-01","2016-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","1197.00 £","Financial","2016/2017_Q1","2016-04-01","2016-06-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","624.00 £","Financial","2016/2017","2016-04-01","2017-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","980.00 £","Financial","2016/2017_Q2","2016-07-01","2016-09-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","944.00 £","Financial","2016/2017_Q3","2016-10-01","2016-12-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","624.00 £","Financial","2016/2017_Q4","2017-01-01","2017-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","-46.00 £","Financial","2017/2018","2017-04-01","2018-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","986.00 £","Financial","2017/2018_Q1","2017-04-01","2017-06-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","796.00 £","Financial","2017/2018_Q2","2017-07-01","2017-09-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","772.00 £","Financial","2017/2018_Q3","2017-10-01","2017-12-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","-46.00 £","Financial","2017/2018_Q4","2018-01-01","2018-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","1845.00 £","Financial","2018/2019_Q1","2018-04-01","2018-06-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","1132.00 £","Financial","2018/2019","2018-04-01","2019-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","1567.00 £","Financial","2018/2019_Q2","2018-07-01","2018-09-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","1523.00 £","Financial","2018/2019_Q3","2018-10-01","2018-12-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","1132.00 £","Financial","2018/2019_Q4","2019-01-01","2019-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","2384.00 £","Financial","2019/2020_Q1","2019-04-01","2019-06-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","4149.00 £","Financial","2019/2020","2019-04-01","2020-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","2453.00 £","Financial","2019/2020_Q2","2019-07-01","2019-09-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","3948.00 £","Financial","2019/2020_Q3","2019-10-01","2019-12-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","4149.00 £","Financial","2019/2020_Q4","2020-01-01","2020-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","4636.00 £","Financial","2020/2021_Q1","2020-04-01","2020-06-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","2072.00 £","Financial","2020/2021","2020-04-01","2021-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","5426.00 £","Financial","2020/2021_Q2","2020-07-01","2020-09-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","6254.00 £","Financial","2020/2021_Q3","2020-10-01","2020-12-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","2072.00 £","Financial","2020/2021_Q4","2021-01-01","2021-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","8313.00 £","Financial","2021/2022_Q1","2021-04-01","2021-06-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","6028.00 £","Financial","2021/2022","2021-04-01","2022-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","8455.00 £","Financial","2021/2022_Q2","2021-07-01","2021-09-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","8397.00 £","Financial","2021/2022_Q3","2021-10-01","2021-12-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","6028.00 £","Financial","2021/2022_Q4","2022-01-01","2022-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","7284.00 £","Financial","2022/2023","2022-04-01","2023-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","10470.00 £","Financial","2022/2023_Q1","2022-04-01","2022-06-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","10617.00 £","Financial","2022/2023_Q2","2022-07-01","2022-09-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","10569.00 £","Financial","2022/2023_Q3","2022-10-01","2022-12-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","7284.00 £","Financial","2022/2023_Q4","2023-01-01","2023-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","7752.00 £","Financial","2023/2024_Q1","2023-04-01","2023-06-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","6261.00 £","Financial","2023/2024","2023-04-01","2024-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","6771.00 £","Financial","2023/2024_Q2","2023-07-01","2023-09-30","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","8192.00 £","Financial","2023/2024_Q3","2023-10-01","2023-12-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","6261.00 £","Financial","2023/2024_Q4","2024-01-01","2024-03-31","Quarterly"
"BPI108","Forecast Budget Outturn (£000s Overspent / -Underspent)","3896.00 £","Financial","2024/2025_Q1","2024-04-01","2024-06-30","Quarterly"
