"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","2.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","1.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","1.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","1.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","1.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","1.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2015/2016_Q4","2016-01-01","2016-03-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2016/2017_Q1","2016-04-01","2016-06-30","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2016/2017_Q2","2016-07-01","2016-09-30","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2016/2017_Q3","2016-10-01","2016-12-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2016/2017_Q4","2017-01-01","2017-03-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2017/2018_Q1","2017-04-01","2017-06-30","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2017/2018","2017-04-01","2018-03-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2017/2018_Q2","2017-07-01","2017-09-30","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2017/2018_Aug","2017-08-01","2017-08-31","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2017/2018_Sep","2017-09-01","2017-09-30","Monthly"
"RM86","School Ofsted Rating - Secondary: Requires improvement - numbers","0.00 Number","Number","2017/2018_Q3","2017-10-01","2017-12-31","Monthly"
