"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","87.10 %","Percentage","2008/2009","2008-04-01","2009-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","87.10 %","Percentage","2008/2009_Q3","2008-10-01","2008-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","87.20 %","Percentage","2009/2010","2009-04-01","2010-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","87.20 %","Percentage","2009/2010_Q3","2009-10-01","2009-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","87.50 %","Percentage","2010/2011","2010-04-01","2011-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","87.50 %","Percentage","2010/2011_Q3","2010-10-01","2010-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","89.00 %","Percentage","2011/2012","2011-04-01","2012-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","89.00 %","Percentage","2011/2012_Q3","2011-10-01","2011-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.60 %","Percentage","2012/2013","2012-04-01","2013-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.60 %","Percentage","2012/2013_Q3","2012-10-01","2012-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.60 %","Percentage","2012/2013_Dec","2012-12-01","2012-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","89.60 %","Percentage","2013/2014","2013-04-01","2014-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","89.60 %","Percentage","2013/2014_Q3","2013-10-01","2013-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","89.60 %","Percentage","2013/2014_Dec","2013-12-01","2013-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","91.80 %","Percentage","2014/2015","2014-04-01","2015-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","91.80 %","Percentage","2014/2015_Q3","2014-10-01","2014-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","91.80 %","Percentage","2014/2015_Dec","2014-12-01","2014-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","91.00 %","Percentage","2015/2016","2015-04-01","2016-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","91.00 %","Percentage","2015/2016_Q3","2015-10-01","2015-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","91.00 %","Percentage","2015/2016_Dec","2015-12-01","2015-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.60 %","Percentage","2016/2017","2016-04-01","2017-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.60 %","Percentage","2016/2017_Q3","2016-10-01","2016-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.60 %","Percentage","2016/2017_Dec","2016-12-01","2016-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","92.90 %","Percentage","2017/2018","2017-04-01","2018-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","92.90 %","Percentage","2017/2018_Q3","2017-10-01","2017-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","92.90 %","Percentage","2017/2018_Dec","2017-12-01","2017-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.50 %","Percentage","2018/2019","2018-04-01","2019-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.50 %","Percentage","2018/2019_Q3","2018-10-01","2018-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.50 %","Percentage","2018/2019_Dec","2018-12-01","2018-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","93.30 %","Percentage","2019/2020","2019-04-01","2020-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.90 %","Percentage","2020/2021","2020-04-01","2021-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.90 %","Percentage","2020/2021_Q3","2020-10-01","2020-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","90.90 %","Percentage","2020/2021_Dec","2020-12-01","2020-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","93.00 %","Percentage","2021/2022","2021-04-01","2022-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","93.00 %","Percentage","2021/2022_Q3","2021-10-01","2021-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","93.00 %","Percentage","2021/2022_Dec","2021-12-01","2021-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","94.80 %","Percentage","2022/2023","2022-04-01","2023-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","94.80 %","Percentage","2022/2023_Q3","2022-10-01","2022-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","94.80 %","Percentage","2022/2023_Dec","2022-12-01","2022-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","91.30 %","Percentage","2023/2024","2023-04-01","2024-03-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","91.30 %","Percentage","2023/2024_Q3","2023-10-01","2023-12-31","Annual"
"CJGE17a","% of working age population qualified - to at least L1 and above (New methodology from 2022/23)","91.30 %","Percentage","2023/2024_Dec","2023-12-01","2023-12-31","Annual"
