"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"BUR08","Number of Other Sector Non Domestic Rateable Properties","1870.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Annual"
"BUR08","Number of Other Sector Non Domestic Rateable Properties","1980.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Annual"
"BUR08","Number of Other Sector Non Domestic Rateable Properties","2030.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Annual"
"BUR08","Number of Other Sector Non Domestic Rateable Properties","2130.00 Number","Number","2017/2018","2017-04-01","2018-03-31","Annual"
"BUR08","Number of Other Sector Non Domestic Rateable Properties","2240.00 Number","Number","2018/2019","2018-04-01","2019-03-31","Annual"
"BUR08","Number of Other Sector Non Domestic Rateable Properties","2310.00 Number","Number","2019/2020","2019-04-01","2020-03-31","Annual"
"BUR08","Number of Other Sector Non Domestic Rateable Properties","2360.00 Number","Number","2020/2021","2020-04-01","2021-03-31","Annual"
"BUR08","Number of Other Sector Non Domestic Rateable Properties","2520.00 Number","Number","2021/2022","2021-04-01","2022-03-31","Annual"
"BUR08","Number of Other Sector Non Domestic Rateable Properties","2610.00 Number","Number","2022/2023","2022-04-01","2023-03-31","Annual"
"BUR08","Number of Other Sector Non Domestic Rateable Properties","2570.00 Number","Number","2023/2024","2023-04-01","2024-03-31","Annual"
