SiteId,SiteName,CalendarYear,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,BiasCorrectedAv(ppb),BiasCorrectedAv(ug/m3)
5,"Lampost 15 Forge Close, Jockey Lane (previously Parliament St)",2005,13,9,8,8,9,11,8,4,,14,8,13,11.52,22
6,Lampost top of Nunnery Lane Car Park (previously 60 tube survey),2005,19,21,17,7,22,12,9,6,16,15,11,11,16.69,31.89
7,Gillygate opposite Portland Street,2005,22,14,29,14,,13,,14,22,19,22,28,23.77,45.41
8,Portland Street,2005,13,9,9,4,9,12,9,4,3,8,5,18,9.98,19.07
9,Portland Street - duplicate,2005,15,13,3,9,10,10,8,7,6,8,8,12,10.56,20.18
10,Lincoln Street,2005,14,8,15,,11,9,8,3,5,6,7,17,10.89,20.8
11,Holly bank,2005,12,16,8,6,13,13,9,4,6,14,10,7,11.44,21.85
12,"Glebe Close, Strensall",2005,13,7,10,5,8,10,,,,,,,,
13,Papillion hotel - Gillygate,2005,22,18,28,7,,,8,11,17,14,14,7,17.62,33.65
14,Gillygate Surgery,2005,24,23,28,23,12,22,7,5,23,16,21,12,21.72,41.49
15,Lampost outside house closest to Tyre Shop on Foss Islands Rd,2005,22,10,14,11,19,10,16,10,17,21,25,37,21.32,40.72
16,Prices Lane,2005,21,17,10,12,15,10,18,13,16,17,23,23,19.61,37.46
17,Drainpipe of house 18 Queen St,2005,24,10,15,16,,12,11,9,7,,19,18,17.01,32.5
18,Lamp-post 4 Haxby Road,2005,14,14,15,6,9,13,10,5,13,14,9,16,13.88,26.51
19,Lamp-post 1 Feversham Crescent,2005,12,7,16,8,14,10,10,3,4,8,8,18,11.44,21.85
21,Nidd Close,2005,12,13,16,8,11,10,8,4,4,5,12,15,11.44,21.85
22,Copmanthorpe - Pike Hills,2005,16,10,15,10,9,12,,,,,,,,
23,Heworth Rd/East Parade junction,2005,16,11,19,5,9,13,7,7,7,14,12,27,14.78,28.24
24,"Top Lane, Copmanthorpe",2005,17,14,15,12,9,10,9,5,,12,15,22,15.36,29.34
25,Heworth Road - Lamppost 6,2005,19,11,11,6,14,11,9,11,13,10,13,20,14.88,28.43
26,Haleys Terrace (previously Longwood Road),2005,16,11,11,14,10,11,10,13,6,13,11,22,14.88,28.43
27,Blenheim Court,2005,12,6,5,9,10,14,7,3,7,11,7,16,10.37,19.81
29,Intake Ave/Lucas Ave,2005,13,8,9,8,9,10,9,3,7,11,13,19,11.53,22.03
30,Burton Stone Lane,2005,12,10,15,8,8,14,8,3,7,12,7,13,11.76,22.47
32,"St Helen's Road, Dringhouses",2005,12,8,17,10,11,,9,6,2,12,9,8,11.41,21.79
33,Haxby Road (nr Whitecross Rd),2005,16,15,17,,9,13,8,3,6,8,13,19,13.93,26.61
34,Lindley street,2005,14,6,14,9,9,11,7,3,5,9,12,23,11.82,22.59
35,Carr Lane,2005,14,10,10,12,9,17,7,10,4,12,12,22,13.98,26.7
36,New Earswick,2005,12,8,10,4,12,12,8,5,5,10,7,20,11.36,21.7
37,Jarvis Abbey Park,2005,16,11,22,7,9,13,13,7,7,9,9,30,15.38,29.39
39,Beckfield Lane,2005,10,8,16,4,13,10,7,3,7,13,10,10,11.16,21.32
40,Leeman Road,2005,14,11,17,10,10,9,7,4,5,10,14,14,12.57,24.01
44,Lampost 8 Monkgate Cloisters,2005,21,11,9,10,14,10,7,4,11,14,25,15,15.18,29
45,Clarence St,2005,19,13,23,8,9,9,8,5,14,12,11,26,15.79,30.16
46,St Georges Place,2005,18,13,10,10,15,22,7,5,3,12,19,16,15.08,28.81
47,Strensall Road,2005,16,16,10,6,10,14,10,5,11,9,13,16,13.67,26.12
48,Haxby Road (Haxby Gates),2005,12,6,9,8,11,9,7,2,5,12,9,16,10.66,20.36
49,Haxby Main Street,2005,,7,11,7,9,10,8,2,10,10,7,13,10.31,19.7
51,Wigginton Road,2005,14,6,20,8,9,14,10,9,4,10,16,26,14.68,28.04
53,Heath Croft,2005,12,5,12,9,12,8,8,,3,6,9,7,9.62,18.38
