"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","130.60 Number","Rate","2003/2004","2003-04-01","2004-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","119.30 Number","Rate","2004/2005","2004-04-01","2005-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","109.10 Number","Rate","2005/2006","2005-04-01","2006-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","99.40 Number","Rate","2006/2007","2006-04-01","2007-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","93.70 Number","Rate","2007/2008","2007-04-01","2008-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","85.80 Number","Rate","2008/2009","2008-04-01","2009-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","78.30 Number","Rate","2009/2010","2009-04-01","2010-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","77.00 Number","Rate","2010/2011","2010-04-01","2011-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","75.50 Number","Rate","2011/2012","2011-04-01","2012-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","72.10 Number","Rate","2012/2013","2012-04-01","2013-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","73.30 Number","Rate","2013/2014","2013-04-01","2014-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","69.40 Number","Rate","2014/2015","2014-04-01","2015-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","67.80 Number","Rate","2015/2016","2015-04-01","2016-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","65.10 Number","Rate","2016/2017","2016-04-01","2017-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","64.80 Number","Rate","2017/2018","2017-04-01","2018-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","67.50 Number","Rate","2018/2019","2018-04-01","2019-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","65.80 Number","Rate","2019/2020","2019-04-01","2020-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","66.80 Number","Rate","2020/2021","2020-04-01","2021-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","65.00 Number","Rate","2021/2022","2021-04-01","2022-03-31","Annual"
"PHOF49","Under 75 mortality rate from all cardiovascular diseases (per 100,000 population)","68.80 Number","Rate","2022/2023","2022-04-01","2023-03-31","Annual"
