"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","55.63 Number","Number","2010/2011","2010-04-01","2011-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","62.64 Number","Number","2011/2012","2011-04-01","2012-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","56.46 Number","Number","2012/2013","2012-04-01","2013-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","47.45 Number","Number","2013/2014","2013-04-01","2014-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","46.97 Number","Number","2014/2015","2014-04-01","2015-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","44.59 Number","Number","2015/2016","2015-04-01","2016-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","42.70 Number","Number","2016/2017","2016-04-01","2017-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","42.78 Number","Number","2017/2018","2017-04-01","2018-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","41.80 Number","Number","2018/2019","2018-04-01","2019-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","38.90 Number","Number","2019/2020","2019-04-01","2020-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","NA","Number","2020/2021_Q1","2020-04-01","2020-06-30","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","32.50 Number","Number","2020/2021","2020-04-01","2021-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","NA","Number","2020/2021_Q2","2020-07-01","2020-09-30","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","NA","Number","2020/2021_Q3","2020-10-01","2020-12-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","NA","Number","2021/2022_Q1","2021-04-01","2021-06-30","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","33.70 Number","Number","2021/2022","2021-04-01","2022-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","33.77 Number","Number","2022/2023","2022-04-01","2023-03-31","Annual"
"CAN028d","The maximum Nitrogen Dioxide concentration in Lawrence St (ug/m3) (Calendar Year)","30.90 Number","Number","2023/2024","2023-04-01","2024-03-31","Annual"
