Id,Indicator,CollectionFrequency,YearType,Year,Total,Apr,May,Jun,Q1,Jul,Aug,Sep,Q2,Oct,Nov,Dec,Q3,Jan,Feb,Mar,Q4,Polarity
APSE073,"Cemetery and Crematorium: Hectares of cemetery land maintained per 10,000 head of population (PI 18)",Annual,Financial Year,2013/2014,0,,,,,,,,,,,,,,,,,Neutral
APSE073,"Cemetery and Crematorium: Hectares of cemetery land maintained per 10,000 head of population (PI 18)",Annual,Financial Year,2014/2015,NC,,,,,,,,,,,,,,,,,Neutral
APSE073,"Cemetery and Crematorium: Hectares of cemetery land maintained per 10,000 head of population (PI 18)",Annual,Financial Year,2015/2016,0.05,,,,,,,,,,,,,,,,,Neutral
APSE073,"Cemetery and Crematorium: Hectares of cemetery land maintained per 10,000 head of population (PI 18)",Annual,Financial Year,2016/2017,0.05,,,,,,,,,,,,,,,,,Neutral
APSE073,"Cemetery and Crematorium: Hectares of cemetery land maintained per 10,000 head of population (PI 18)",Annual,Financial Year,2017/2018,0.05,,,,,,,,,,,,,,,,,Neutral
APSE073,"Cemetery and Crematorium: Hectares of cemetery land maintained per 10,000 head of population (PI 18)",Annual,Financial Year,2018/2019,0.05,,,,,,,,,,,,,,,,,Neutral
APSE073,"Cemetery and Crematorium: Hectares of cemetery land maintained per 10,000 head of population (PI 18)",Annual,Financial Year,2019/2020,0.05,,,,,,,,,,,,,,,,,Neutral
APSE073,"Cemetery and Crematorium: Hectares of cemetery land maintained per 10,000 head of population (PI 18)",Annual,Financial Year,2020/2021,0.05,,,,,,,,,,,,,,,,,Neutral
APSE073,"Cemetery and Crematorium: Hectares of cemetery land maintained per 10,000 head of population (PI 18)",Annual,Financial Year,2021/2022,0.05,,,,,,,,,,,,,,,,,Neutral
APSE073,"Cemetery and Crematorium: Hectares of cemetery land maintained per 10,000 head of population (PI 18)",Annual,Financial Year,2022/2023,NC,,,,,,,,,,,,,,,,,Neutral
APSE073,"Cemetery and Crematorium: Hectares of cemetery land maintained per 10,000 head of population (PI 18)",Annual,Financial Year,2023/2024,N/C,,,,,,,,,,,,,,,,,Neutral
ASC01b,% of contacts to ASC Community Team that are resolved with information/advice/guidance (IAG),Monthly,Financial Year,2016/2017,NC,,,,,,,,,,,,,,,,,Neutral
ASC01b,% of contacts to ASC Community Team that are resolved with information/advice/guidance (IAG),Monthly,Financial Year,2017/2018,NC,,,,,,,,,,,,,,,,NC,Neutral
ASC01b,% of contacts to ASC Community Team that are resolved with information/advice/guidance (IAG),Monthly,Financial Year,2018/2019,27.24,20.3,26.4,31.73,27.09,29.76,25.41,28.74,28.02,25.23,28.2,36.78,30.29,28.91,20.61,19.54,23.62,Neutral
ASC01b,% of contacts to ASC Community Team that are resolved with information/advice/guidance (IAG),Monthly,Financial Year,2019/2020,25.86,22.91,22.62,20.28,22.04,20.15,22.5,26.88,23.11,24.79,33.53,30.19,29.98,31.61,22.19,32.34,29.08,Neutral
ASC01b,% of contacts to ASC Community Team that are resolved with information/advice/guidance (IAG),Monthly,Financial Year,2020/2021,31.59,33.62,34.25,35.72,34.66,29.92,30.69,35.13,32.1,32.02,35.9,37.04,34.92,30.5,23.82,23.55,26.12,Neutral
ASC01b,% of contacts to ASC Community Team that are resolved with information/advice/guidance (IAG),Monthly,Financial Year,2021/2022,23.38,20.15,27.05,16.26,20.98,15.9,23.21,20.62,19.73,26.48,25.95,30.48,27.46,28.67,24.52,24.5,25.64,Neutral
ASC01b,% of contacts to ASC Community Team that are resolved with information/advice/guidance (IAG),Monthly,Financial Year,2022/2023,17.44,26.28,16.68,13.75,18.76,15.75,17.97,12.33,15.46,10.54,17.04,17.63,14.82,19.15,22.44,18.86,20.02,Neutral
ASC01b,% of contacts to ASC Community Team that are resolved with information/advice/guidance (IAG),Monthly,Financial Year,2023/2024,17.98,16.07,17.13,20.68,18.18,18.77,18.73,15.99,17.75,22.06,15.82,21.54,19.5,19.71,15.08,14.3,16.49,Neutral
ASC01b,% of contacts to ASC Community Team that are resolved with information/advice/guidance (IAG),Monthly,Financial Year,2024/2025,,13.09,8.33,13.14,11.49,,,,,,,,,,,,,Neutral
ASC01f,Percentage of reviews that result in a recommendation to reduce level of formal care and support (rolling 12 months),Monthly,Financial Year,2016/2017,NC,,,,,,,,,,,,,,,,,Up is Good
ASC01f,Percentage of reviews that result in a recommendation to reduce level of formal care and support (rolling 12 months),Monthly,Financial Year,2017/2018,NC,,,,,,,,,,,,,,,,,Up is Good
