"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","100.00 %","Percentage","2011/2012","2011-04-01","2012-03-31","Annual"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","69.80 %","Percentage","2012/2013","2012-04-01","2013-03-31","Annual"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","80.90 %","Percentage","2013/2014","2013-04-01","2014-03-31","Annual"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","81.50 %","Percentage","2014/2015","2014-04-01","2015-03-31","Annual"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","75.70 %","Percentage","2015/2016","2015-04-01","2016-03-31","Annual"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","79.25 %","Percentage","2016/2017","2016-04-01","2017-03-31","Annual"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","92.50 %","Percentage","2017/2018","2017-04-01","2018-03-31","Annual"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","83.00 %","Percentage","2018/2019","2018-04-01","2019-03-31","Annual"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","80.60 %","Percentage","2019/2020","2019-04-01","2020-03-31","Annual"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","84.80 %","Percentage","2020/2021","2020-04-01","2021-03-31","Annual"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","88.20 %","Percentage","2021/2022","2021-04-01","2022-03-31","Annual"
"ASCOF2B1","Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services","83.60 %","Percentage","2022/2023","2022-04-01","2023-03-31","Annual"
