"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","64.00 %","Percentage","2011/2012","2011-04-01","2012-03-31","Annual"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","65.80 %","Percentage","2012/2013","2012-04-01","2013-03-31","Annual"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","67.40 %","Percentage","2013/2014","2013-04-01","2014-03-31","Annual"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","67.10 %","Percentage","2014/2015","2014-04-01","2015-03-31","Annual"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","64.00 %","Percentage","2015/2016","2015-04-01","2016-03-31","Annual"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","62.40 %","Percentage","2016/2017","2016-04-01","2017-03-31","Annual"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","62.90 %","Percentage","2017/2018","2017-04-01","2018-03-31","Annual"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","63.80 %","Percentage","2018/2019","2018-04-01","2019-03-31","Annual"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","68.10 %","Percentage","2019/2020","2019-04-01","2020-03-31","Annual"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","72.30 %","Percentage","2020/2021","2020-04-01","2021-03-31","Annual"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","65.10 %","Percentage","2021/2022","2021-04-01","2022-03-31","Annual"
"ASCOF3A","Overall satisfaction of people who use services with their care and support","66.50 %","Percentage","2022/2023","2022-04-01","2023-03-31","Annual"
