"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","84.00 Number","Number","2008/2009_Q1","2008-04-01","2008-06-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","326.00 Number","Number","2008/2009","2008-04-01","2009-03-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","179.00 Number","Number","2008/2009_Q2","2008-07-01","2008-09-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","248.00 Number","Number","2008/2009_Q3","2008-10-01","2008-12-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","326.00 Number","Number","2008/2009_Q4","2009-01-01","2009-03-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","207.00 Number","Number","2009/2010","2009-04-01","2010-03-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","52.00 Number","Number","2009/2010_Q1","2009-04-01","2009-06-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","110.00 Number","Number","2009/2010_Q2","2009-07-01","2009-09-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","147.00 Number","Number","2009/2010_Q3","2009-10-01","2009-12-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","207.00 Number","Number","2009/2010_Q4","2010-01-01","2010-03-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","54.00 Number","Number","2010/2011_Q1","2010-04-01","2010-06-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","247.00 Number","Number","2010/2011","2010-04-01","2011-03-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","131.00 Number","Number","2010/2011_Q2","2010-07-01","2010-09-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","183.00 Number","Number","2010/2011_Q3","2010-10-01","2010-12-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","247.00 Number","Number","2010/2011_Q4","2011-01-01","2011-03-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","54.00 Number","Number","2011/2012_Q1","2011-04-01","2011-06-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","215.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","124.00 Number","Number","2011/2012_Q2","2011-07-01","2011-09-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","171.00 Number","Number","2011/2012_Q3","2011-10-01","2011-12-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","215.00 Number","Number","2011/2012_Q4","2012-01-01","2012-03-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","62.00 Number","Number","2012/2013_Q1","2012-04-01","2012-06-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","218.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","104.00 Number","Number","2012/2013_Q2","2012-07-01","2012-09-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","173.00 Number","Number","2012/2013_Q3","2012-10-01","2012-12-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","218.00 Number","Number","2012/2013_Q4","2013-01-01","2013-03-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","180.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","42.00 Number","Number","2013/2014_Q1","2013-04-01","2013-06-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","99.00 Number","Number","2013/2014_Q2","2013-07-01","2013-09-30","Quarterly"
"HOU251","Homelessness main duty (decision) - Total (New definition from 2018/19) - (YTD)","149.00 Number","Number","2013/2014_Q3","2013-10-01","2013-12-31","Quarterly"
