"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","102.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","69.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","25.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","42.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","69.00 Number","Number","2015/2016_Q4","2016-01-01","2016-03-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","107.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","26.00 Number","Number","2016/2017_Q1","2016-04-01","2016-06-30","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","46.00 Number","Number","2016/2017_Q2","2016-07-01","2016-09-30","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","79.00 Number","Number","2016/2017_Q3","2016-10-01","2016-12-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","107.00 Number","Number","2016/2017_Q4","2017-01-01","2017-03-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","189.00 Number","Number","2017/2018","2017-04-01","2018-03-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","25.00 Number","Number","2017/2018_Q1","2017-04-01","2017-06-30","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","63.00 Number","Number","2017/2018_Q2","2017-07-01","2017-09-30","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","136.00 Number","Number","2017/2018_Q3","2017-10-01","2017-12-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","189.00 Number","Number","2017/2018_Q4","2018-01-01","2018-03-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","32.00 Number","Number","2018/2019_Q1","2018-04-01","2018-06-30","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","147.00 Number","Number","2018/2019","2018-04-01","2019-03-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","68.00 Number","Number","2018/2019_Q2","2018-07-01","2018-09-30","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","107.00 Number","Number","2018/2019_Q3","2018-10-01","2018-12-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","147.00 Number","Number","2018/2019_Q4","2019-01-01","2019-03-31","Monthly"
"FOI03-02","FOI (Freedom of Information) - Requests responded to Out of time - (YTD)","72.00 Number","Number","2019/2020_Q1","2019-04-01","2019-06-30","Monthly"
