OrganisationName,OrganisationCode,EffectiveDate,Mandatory,Category,Data,Notes
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2016,Yes,"Number of occasions the council has used powers under the Prevention 
of Social Housing Fraud Act, or similar powers",184,"34 – Social Security Administration Act 1992
93 – Social Security Fraud Act 2001
57 – Prevention of Social Housing Fraud Act 2013
 0  – Council Tax Reduction Scheme Regulations 2013"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2016,Yes,Total number of employees undertaking investigations and prosecutions of fraud,11,"10 investigation staff employed by Veritau – a shared services company wholly owned by City of York Council and North Yorkshire County Council
1 prosecution solicitor – employed by the council
"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2016,Yes,FTE number of employees undertaking investigations and prosecutions of fraud,8.7,"8.5 FTE investigation staff
0.2 FTE solicitor"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2016,Yes,Total number of professionally accredited counter fraud specialists,9, 0  – Council Tax Reduction Scheme Regulations 2013
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2016,Yes,FTE number of professionally accredited counter fraud specialists,8.6,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2016,Yes,Total amount spent by the council on the investigation and prosecution of fraud (£),"263,905","£263,905 – annual cost of Veritau investigation team"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2016,Yes,Total number of fraud cases investigated,278,"61 benefit fraud cases
217 non-benefit fraud cases
Figures based on completed cases only
"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2016,No,Total number of occasions on which  fraud was identified,114,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2016,No,Total monetary value of the fraud that was detected (£),554000,"£265,000 housing benefit fraud
£289,000 non-benefit fraud"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2017,Yes,"Number of occasions the council has used powers under the Prevention of Social Housing Fraud Act, or similar powers",53,"31 – Prevention of Social Housing Fraud Act 2013
22 – Council Tax Reduction Scheme Regulations 2013"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2017,Yes,Total number of employees undertaking investigations and prosecutions of fraud,14,"13 investigation staff employed by Veritau – a shared services company wholly owned by City of York Council and North Yorkshire County Council
1 prosecution solicitor – employed by the council"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2017,Yes,FTE number of employees undertaking investigations and prosecutions of fraud,11.6,"11.4 FTE investigation staff
0.2   FTE solicitor"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2017,Yes,Total number of professionally accredited counter fraud specialists,13,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2017,Yes,FTE number of professionally accredited counter fraud specialists,11.4,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2017,Yes,Total amount spent by the council on the investigation and prosecution of fraud (£),"274,012","£274,012 - annual cost of Veritau investigation team"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2017,Yes,Total number of fraud cases investigated,152,Figures based on completed cases only
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2017,No,Total number of occasions on which  fraud was identified,73,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2017,No,Total monetary value of the fraud that was detected (£),241000,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2018,Yes,"Number of occasions the council has used powers under the Prevention of Social Housing Fraud Act, or similar powers",65,"7 – Prevention of Social Housing Fraud Act 2013
58 – Council Tax Reduction Scheme Regulations 2013"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2018,Yes,Total number of employees undertaking investigations and prosecutions of fraud,14,"13 investigation staff employed by Veritau – a shared services company wholly owned by City of York Council and North Yorkshire County Council
1 prosecution solicitor – employed by the council"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2018,Yes,FTE number of employees undertaking investigations and prosecutions of fraud,11.6,"11.4 FTE investigation staff
0.2 FTE solicitor"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2018,Yes,Total number of professionally accredited counter fraud specialists,13,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2018,Yes,FTE number of professionally accredited counter fraud specialists,11.4,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2018,Yes,Total amount spent by the council on the investigation and prosecution of fraud (£),"281,778","£281,778 – annual cost of Veritau investigation team"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2018,Yes,Total number of fraud cases investigated,235,Figures based on completed cases only
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2018,No,Total number of occasions on which  fraud was identified,129,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2018,No,Total monetary value of the fraud that was detected (£),"197,669",
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2019,Yes,"Number of occasions the council has used powers under the Prevention of Social Housing Fraud Act, or similar powers",93,"11 – Prevention of Social Housing Fraud Act 2013
82 – Council Tax Reduction Scheme Regulations 2013"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2019,Yes,Total number of employees undertaking investigations and prosecutions of fraud,14,"13 investigation staff employed by Veritau – a shared services company wholly owned by City of York Council and North Yorkshire County Council
1 prosecution solicitor – employed by the council"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2019,Yes,FTE number of employees undertaking investigations and prosecutions of fraud,11.6,"11.4 FTE investigation staff
0.2 FTE solicitor"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2019,Yes,Total number of professionally accredited counter fraud specialists,13,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2019,Yes,FTE number of professionally accredited counter fraud specialists,11.4,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2019,Yes,Total amount spent by the council on the investigation and prosecution of fraud (£),"269,543","£269,543 – annual cost of Veritau investigation team"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2019,Yes,Total number of fraud cases investigated,189,Figures based on completed cases only
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2019,No,Total number of occasions on which  fraud was identified,113,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2019,No,Total monetary value of the fraud that was detected (£),"327,152",
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2020,Yes,"Number of occasions the council has used powers under the Prevention of Social Housing Fraud Act, or similar powers",64,"13 – Prevention of Social Housing Fraud Act 2013, 51 – Council Tax Reduction Scheme Regulations 2013"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2020,Yes,Total number of employees undertaking investigations and prosecutions of fraud,15,"15 investigation staff employed by Veritau – a shared services company wholly owned by City of York Council and North Yorkshire County Council. 1 prosecution solicitor – employed by the council
"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2020,Yes,FTE number of employees undertaking investigations and prosecutions of fraud,13.7,"13.7 FTE investigation staff, 0.2 FTE solicitor"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2020,Yes,Total number of professionally accredited counter fraud specialists,13,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2020,Yes,FTE number of professionally accredited counter fraud specialists,11.7,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2020,Yes,Total amount spent by the council on the investigation and prosecution of fraud (£),270300,"£270,300 – annual cost of Veritau investigation team"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2020,Yes,Total number of fraud cases investigated,188,Figures based on completed cases only
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2020,No,Total number of occasions on which  fraud was identified,109,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2020,No,Total monetary value of the fraud that was detected (£),255185,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2021,Yes,"Number of occasions the council has used powers under the Prevention of Social Housing Fraud Act, or similar powers",62,"12 – Prevention of Social Housing Fraud Act 2013, 50 – Council Tax Reduction Scheme Regulations 2013"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2021,Yes,Total number of employees undertaking investigations and prosecutions of fraud,16,"16 investigation staff employed by Veritau – a shared services company wholly owned by City of York Council and North Yorkshire County Council. 1 prosecution solicitor – employed by the council
"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2021,Yes,FTE number of employees undertaking investigations and prosecutions of fraud,14.7,"14.7 FTE investigation staff, 0.2 FTE solicitor"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2021,Yes,Total number of professionally accredited counter fraud specialists,16,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2021,Yes,FTE number of professionally accredited counter fraud specialists,14.7,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2021,Yes,Total amount spent by the council on the investigation and prosecution of fraud (£),"281,960","£281,960 – annual cost of Veritau investigation team"
