"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"IG14na","% of LGSCO cases responded to 'In Time'","77.78 %","Percentage","2021/2022_Q1","2021-04-01","2021-06-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2021/2022_Apr","2021-04-01","2021-04-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","76.92 %","Percentage","2021/2022","2021-04-01","2022-03-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","66.67 %","Percentage","2021/2022_May","2021-05-01","2021-05-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","75.00 %","Percentage","2021/2022_Jun","2021-06-01","2021-06-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","70.00 %","Percentage","2021/2022_Q2","2021-07-01","2021-09-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2021/2022_Jul","2021-07-01","2021-07-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","50.00 %","Percentage","2021/2022_Aug","2021-08-01","2021-08-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2021/2022_Sep","2021-09-01","2021-09-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","75.00 %","Percentage","2021/2022_Q3","2021-10-01","2021-12-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","50.00 %","Percentage","2021/2022_Oct","2021-10-01","2021-10-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2021/2022_Nov","2021-11-01","2021-11-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2021/2022_Dec","2021-12-01","2021-12-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2021/2022_Q4","2022-01-01","2022-03-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2021/2022_Jan","2022-01-01","2022-01-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2021/2022_Feb","2022-02-01","2022-02-28","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2021/2022_Mar","2022-03-01","2022-03-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","50.00 %","Percentage","2022/2023_Apr","2022-04-01","2022-04-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","81.48 %","Percentage","2022/2023","2022-04-01","2023-03-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","83.33 %","Percentage","2022/2023_Q1","2022-04-01","2022-06-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2022/2023_May","2022-05-01","2022-05-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2022/2023_Jun","2022-06-01","2022-06-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","72.73 %","Percentage","2022/2023_Q2","2022-07-01","2022-09-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","60.00 %","Percentage","2022/2023_Jul","2022-07-01","2022-07-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2022/2023_Aug","2022-08-01","2022-08-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","66.67 %","Percentage","2022/2023_Sep","2022-09-01","2022-09-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","90.00 %","Percentage","2022/2023_Q3","2022-10-01","2022-12-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","75.00 %","Percentage","2022/2023_Oct","2022-10-01","2022-10-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2022/2023_Nov","2022-11-01","2022-11-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2022/2023_Dec","2022-12-01","2022-12-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2022/2023_Q4","2023-01-01","2023-03-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2022/2023_Jan","2023-01-01","2023-01-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2022/2023_Feb","2023-02-01","2023-02-28","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2022/2023_Mar","2023-03-01","2023-03-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","66.67 %","Percentage","2023/2024","2023-04-01","2024-03-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2023/2024_Apr","2023-04-01","2023-04-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","60.00 %","Percentage","2023/2024_Q1","2023-04-01","2023-06-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2023/2024_May","2023-05-01","2023-05-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2023/2024_Jun","2023-06-01","2023-06-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2023/2024_Jul","2023-07-01","2023-07-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","75.00 %","Percentage","2023/2024_Q2","2023-07-01","2023-09-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","50.00 %","Percentage","2023/2024_Aug","2023-08-01","2023-08-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2023/2024_Sep","2023-09-01","2023-09-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","66.67 %","Percentage","2023/2024_Q3","2023-10-01","2023-12-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","100.00 %","Percentage","2023/2024_Oct","2023-10-01","2023-10-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","50.00 %","Percentage","2023/2024_Nov","2023-11-01","2023-11-30","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2023/2024_Dec","2023-12-01","2023-12-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2023/2024_Jan","2024-01-01","2024-01-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2023/2024_Q4","2024-01-01","2024-03-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2023/2024_Feb","2024-02-01","2024-02-29","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2023/2024_Mar","2024-03-01","2024-03-31","Monthly"
"IG14na","% of LGSCO cases responded to 'In Time'","0.00 %","Percentage","2024/2025_Apr","2024-04-01","2024-04-30","Monthly"
