"Transactions over £25,000 Report to Treasury",Payment Date from:,01/02/2024,To:,29/02/2024,,,,
Department Family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Transaction  Number,£,VAT Reg
Department of Health,Dudley Group NHS FT,27/02/2024,Radiology Reporting,Medical Staff Radiology,4 WAYS HEALTHCARE,0021526493,"51,795.37 ",828833692
Department of Health,Dudley Group NHS FT,26/02/2024,Services Provided ,Medical Staff GU Medicine,90250 WALSALL HOSPITAL NHS TRUST,0050025253,"25,819.58 ",000000
Department of Health,Dudley Group NHS FT,26/02/2024,Services Provided ,Medical Staff Vascular,90250 WALSALL HOSPITAL NHS TRUST,0050025253,"57,792.86 ",000000
Department of Health,Dudley Group NHS FT,07/02/2024,Services Provided ,Chief Executive,95576 THE ROYAL WOLVERHAMPTON HOSPITALS,0050025964,"27,164.75 ",000000
Department of Health,Dudley Group NHS FT,07/02/2024,Services Provided ,Chief Executive,95576 THE ROYAL WOLVERHAMPTON HOSPITALS,0050026874,"27,557.69 ",000000
Department of Health,Dudley Group NHS FT,07/02/2024,Services Provided ,Chief Executive,95576 THE ROYAL WOLVERHAMPTON HOSPITALS,0050026875,"32,030.62 ",000000
Department of Health,Dudley Group NHS FT,07/02/2024,Services Provided ,Pathology Administration,95576 THE ROYAL WOLVERHAMPTON HOSPITALS,0050026927,"121,729.17 ",000000
Department of Health,Dudley Group NHS FT,14/02/2024,Services Provided ,Chief Executive,95576 THE ROYAL WOLVERHAMPTON HOSPITALS,0050026984,"25,010.74 ",000000
Department of Health,Dudley Group NHS FT,26/02/2024,Services Provided ,Pathology Administration,95576 THE ROYAL WOLVERHAMPTON HOSPITALS,0050027051,"1,127,581.42 ",000000
Department of Health,Dudley Group NHS FT,27/02/2024,Drugs,Drugs,AAH PHARMACEUTICALS LTD,0021526565,"433,521.22 ",222516987
Department of Health,Dudley Group NHS FT,27/02/2024,Drugs,Drugs,AAH PHARMACEUTICALS LTD,0021527381,"437,855.03 ",222516987
Department of Health,Dudley Group NHS FT,27/02/2024,Drugs,Drugs,AAH PHARMACEUTICALS LTD,0021527385,"363,778.75 ",222516987
Department of Health,Dudley Group NHS FT,27/02/2024,Medcal Equipment,Locality Wide Continence,ABENA UK LIMITED,0021526941,"74,981.99 ",747669868
Department of Health,Dudley Group NHS FT,27/02/2024,Drugs,Drugs,ALLIANCE HEALTHCARE (DIST) LTD,0021523546,"35,765.09 ",386334767
Department of Health,Dudley Group NHS FT,13/02/2024,Drugs,Drugs,ALLIANCE HEALTHCARE (DIST) LTD,0021524831,"43,971.70 ",386334767
Department of Health,Dudley Group NHS FT,13/02/2024,Drugs,Drugs,ALLIANCE HEALTHCARE (DIST) LTD,0021525292,"27,365.34 ",386334767
Department of Health,Dudley Group NHS FT,13/02/2024,Drugs,Drugs,ALLOGA UK LTD,0021523872,"38,907.60 ",684090520
Department of Health,Dudley Group NHS FT,27/02/2024,Drugs,Drugs,ALLOGA UK LTD,0021526835,"49,795.20 ",684090520
Department of Health,Dudley Group NHS FT,27/02/2024,Drugs,Drugs,ALLOGA UK LTD,0021527027,"40,248.00 ",684090520
Department of Health,Dudley Group NHS FT,06/02/2024,Computer Maintenance,EPR,ALLSCRIPTS HEALTHCARE (IT) UK LTD,0021523831,"35,782.22 ",194627866
Department of Health,Dudley Group NHS FT,20/02/2024,Drugs,Drugs,AMGEN LIMITED,0021525361,"27,978.71 ",538389011
Department of Health,Dudley Group NHS FT,20/02/2024,Hire Of Medical Equipment,Operations Management,ARJO  UK LTD,0021525535,"33,504.82 ",800643761
Department of Health,Dudley Group NHS FT,27/02/2024,Drugs,Drugs,BATH ASU,0021526659,"95,800.80 ",851127643
Department of Health,Dudley Group NHS FT,26/02/2024,Services Provided,Trust Wide,BIRM & SOLIHULL MENTAL HEALTH NHSFT,0050026993,"75,000.00 ",654940918
Department of Health,Dudley Group NHS FT,06/02/2024,Hire Of Medical Equipment,CT Scanner,COBALT,0021524386,"97,180.00 ",000000
Department of Health,Dudley Group NHS FT,13/02/2024,Hire Of Medical Equipment,CT Scanner,COBALT,0021525201,"88,920.00 ",000000
Department of Health,Dudley Group NHS FT,13/02/2024,Hire Of Medical Equipment,CT Scanner,COBALT,0021525203,"98,580.00 ",000000
