uri,publishedDate,publisher/name,publisher/scheme,publisher/uid,publisher/uri,version,extensions/0,extensions/1,extensions/2,extensions/3,extensions/4,extensions/5,extensions/6,license,publicationPolicy,releases/0/ocid,releases/0/id,releases/0/language,releases/0/date,releases/0/tag/0,releases/0/initiationType,releases/0/tender/id,releases/0/tender/title,releases/0/tender/description,releases/0/tender/datePublished,releases/0/tender/status,releases/0/tender/classification/scheme,releases/0/tender/classification/id,releases/0/tender/classification/description,releases/0/tender/additionalClassifications/0/scheme,releases/0/tender/additionalClassifications/0/id,releases/0/tender/additionalClassifications/0/description,releases/0/tender/items/0/id,releases/0/tender/items/0/deliveryAddresses/0/region,releases/0/tender/items/0/deliveryAddresses/0/countryName,releases/0/tender/value/amount,releases/0/tender/value/currency,releases/0/tender/items/0/deliveryAddresses/1/countryName,releases/0/tender/items/0/deliveryAddresses/2/countryName,releases/0/tender/items/0/deliveryAddresses/3/countryName,releases/0/tender/items/0/deliveryAddresses/4/countryName,releases/0/tender/items/0/deliveryAddresses/5/countryName,releases/0/tender/procurementMethod,releases/0/tender/procurementMethodDetails,releases/0/tender/tenderPeriod/endDate,releases/0/tender/contractPeriod/startDate,releases/0/tender/contractPeriod/endDate,releases/0/tender/suitability/sme,releases/0/tender/suitability/vcse,releases/0/tender/mainProcurementCategory,releases/0/tender/documents/0/id,releases/0/tender/documents/0/documentType,releases/0/tender/documents/0/description,releases/0/tender/documents/0/url,releases/0/tender/documents/0/datePublished,releases/0/tender/documents/0/format,releases/0/tender/documents/0/language,releases/0/tender/documents/1/id,releases/0/tender/documents/1/documentType,releases/0/tender/documents/1/description,releases/0/tender/documents/1/url,releases/0/parties/0/id,releases/0/parties/0/name,releases/0/parties/0/identifier/legalName,releases/0/parties/0/identifier/scheme,releases/0/parties/0/identifier/id,releases/0/parties/0/address/streetAddress,releases/0/parties/0/address/locality,releases/0/parties/0/address/postalCode,releases/0/parties/0/address/countryName,releases/0/parties/0/contactPoint/name,releases/0/parties/0/contactPoint/email,releases/0/parties/0/contactPoint/telephone,releases/0/parties/0/details/url,releases/0/parties/0/roles/0,releases/0/parties/1/id,releases/0/parties/1/name,releases/0/parties/1/identifier/legalName,releases/0/parties/1/address/streetAddress,releases/0/parties/1/details/scale,releases/0/parties/1/details/vcse,releases/0/parties/1/roles/0,releases/0/buyer/id,releases/0/buyer/name,releases/0/awards/0/id,releases/0/awards/0/status,releases/0/awards/0/date,releases/0/awards/0/datePublished,releases/0/awards/0/value/amount,releases/0/awards/0/value/currency,releases/0/awards/0/suppliers/0/id,releases/0/awards/0/suppliers/0/name,releases/0/awards/0/contractPeriod/startDate,releases/0/awards/0/contractPeriod/endDate,releases/0/awards/0/documents/0/id,releases/0/awards/0/documents/0/documentType,releases/0/awards/0/documents/0/description,releases/0/awards/0/documents/0/url,releases/0/awards/0/documents/0/datePublished,releases/0/awards/0/documents/0/format,releases/0/awards/0/documents/0/language,releases/0/awards/0/documents/1/id,releases/0/awards/0/documents/1/documentType,releases/0/awards/0/documents/1/description,releases/0/awards/0/documents/1/url,releases/0/awards/0/documents/1/format
https://www.contractsfinder.service.gov.uk/Published/Notice/releases/fea5c66b-adae-4c4b-b5c3-2a4487c6c27b.json,2017-04-17T16:07:31+01:00,"Cabinet Office",GB-GOR,D2,https://www.gov.uk/government/organisations/cabinet-office,1.1,https://standard.open-contracting.org/profiles/eu/master/en/extension.json,https://raw.githubusercontent.com/portaledcahn/ocds_tenderDatePublished_extension/master/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_budget_breakdown_extension/master/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_awards_datePublished_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_partyDetails_vcse_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_tender_suitability_extension/main/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_pagination_extension/master/extension.json,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://www.gov.uk/government/publications/open-contracting,ocds-b5fd17-edf4f918-90c0-4c22-957c-602106547d83,fea5c66b-adae-4c4b-b5c3-2a4487c6c27b-142198,en,2017-04-17T16:07:31+01:00,award,tender,P102909,"Meteorological intruments","Meteorological intruments",,complete,CPV,38120000,"Meteorological instruments",,,,1,"South West","United Kingdom",49973.8,GBP,,,,,,,"Other - ",2017-01-22T23:59:59Z,2017-01-23T00:00:00Z,2017-03-17T23:59:59Z,1,,goods,,,,,,,,,,,,GB-GOR-EA46,"Met Office","Met Office",GB-GOR,EA46,"FitzRoy Road",Exeter,"EX1 3PB",England,,procurement.enquiries@metoffice.gov.uk,,,buyer,GB-CFS-54014,"R S Aqua LTD","R S Aqua LTD","Hurst Barns,
Privett,
Alton,
Hants,
GU34 3PL",large,,supplier,GB-GOR-EA46,"Met Office",ocds-b5fd17-edf4f918-90c0-4c22-957c-602106547d83-1,active,2017-01-22T00:00:00Z,2017-04-17T16:07:31+01:00,49973.8,GBP,GB-CFS-54014,"R S Aqua LTD",2017-01-23T00:00:00Z,2017-03-17T23:59:59Z,1,awardNotice,"Awarded contract notice on Contracts Finder",https://www.contractsfinder.service.gov.uk/Notice/fea5c66b-adae-4c4b-b5c3-2a4487c6c27b,2017-04-17T16:07:31+01:00,text/html,en,2,contractNotice,"Meteorological intruments",https://www.contractsfinder.service.gov.uk/Notice/Attachment/4b1bc1dc-4135-4bf5-9721-40b6012a6762,application/pdf
https://www.contractsfinder.service.gov.uk/Published/Notice/releases/7fa96ed7-5b79-4202-9fda-f59e899d3b56.json,2017-04-17T15:59:16+01:00,"Cabinet Office",GB-GOR,D2,https://www.gov.uk/government/organisations/cabinet-office,1.1,https://standard.open-contracting.org/profiles/eu/master/en/extension.json,https://raw.githubusercontent.com/portaledcahn/ocds_tenderDatePublished_extension/master/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_budget_breakdown_extension/master/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_awards_datePublished_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_partyDetails_vcse_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_tender_suitability_extension/main/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_pagination_extension/master/extension.json,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://www.gov.uk/government/publications/open-contracting,ocds-b5fd17-0c67dcfb-c3db-4475-a3d5-a2e88dcacd2f,7fa96ed7-5b79-4202-9fda-f59e899d3b56-142197,en,2017-04-17T15:59:16+01:00,award,tender,P102906,"Office furniture","Office furniture",,complete,CPV,39000000,"Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products",,,,1,"South West","United Kingdom",54519.48,GBP,,,,,,,"Other - ",2017-01-19T23:59:59Z,2017-01-20T00:00:00Z,2017-01-27T23:59:59Z,1,,goods,,,,,,,,,,,,GB-GOR-EA46,"Met Office","Met Office",GB-GOR,EA46,"FitzRoy Road",Exeter,"EX1 3PB",England,,procurement.enquiries@metoffice.gov.uk,,,buyer,GB-CFS-54013,"Rainbow Office Design LTD","Rainbow Office Design LTD","22 Palace Gates Road,
Alexandra Palace, 
London,
N22 7BN",large,,supplier,GB-GOR-EA46,"Met Office",ocds-b5fd17-0c67dcfb-c3db-4475-a3d5-a2e88dcacd2f-1,active,2017-01-19T00:00:00Z,2017-04-17T15:59:16+01:00,54519.48,GBP,GB-CFS-54013,"Rainbow Office Design LTD",2017-01-20T00:00:00Z,2017-01-27T23:59:59Z,1,awardNotice,"Awarded contract notice on Contracts Finder",https://www.contractsfinder.service.gov.uk/Notice/7fa96ed7-5b79-4202-9fda-f59e899d3b56,2017-04-17T15:59:16+01:00,text/html,en,2,contractNotice,"Office furniture",https://www.contractsfinder.service.gov.uk/Notice/Attachment/e847737d-b780-4b87-8296-73479df6c975,application/pdf
https://www.contractsfinder.service.gov.uk/Published/Notice/releases/ee2699e3-b417-49d5-9592-badeded5a7f5.json,2017-04-17T15:50:45+01:00,"Cabinet Office",GB-GOR,D2,https://www.gov.uk/government/organisations/cabinet-office,1.1,https://standard.open-contracting.org/profiles/eu/master/en/extension.json,https://raw.githubusercontent.com/portaledcahn/ocds_tenderDatePublished_extension/master/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_budget_breakdown_extension/master/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_awards_datePublished_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_partyDetails_vcse_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_tender_suitability_extension/main/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_pagination_extension/master/extension.json,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://www.gov.uk/government/publications/open-contracting,ocds-b5fd17-6c53f607-ea98-453d-a0d5-e878edb64e52,ee2699e3-b417-49d5-9592-badeded5a7f5-142196,en,2017-04-17T15:50:45+01:00,award,tender,P102893,"Software Support","Contract called off from Government Framework Agreement RM1557-7.",,complete,CPV,72000000,"IT services: consulting, software development, Internet and support",,,,1,"South West","United Kingdom",49500,GBP,,,,,,,"Other - ",2017-01-19T23:59:59Z,2017-01-20T00:00:00Z,2017-12-31T23:59:59Z,1,,services,,,,,,,,,,,,GB-GOR-EA46,"Met Office","Met Office",GB-GOR,EA46,"FitzRoy Road",Exeter,"EX1 3PB",England,,procurement.enquiries@metoffice.gov.uk,,,buyer,GB-CFS-54012,"Hippo BV","Hippo BV","Oosteinde 11,
1017 WT,
Amsterdam,
The Netherlands",large,,supplier,GB-GOR-EA46,"Met Office",ocds-b5fd17-6c53f607-ea98-453d-a0d5-e878edb64e52-1,active,2017-01-19T00:00:00Z,2017-04-17T15:50:45+01:00,49500,GBP,GB-CFS-54012,"Hippo BV",2017-01-20T00:00:00Z,2017-12-31T23:59:59Z,1,awardNotice,"Awarded contract notice on Contracts Finder",https://www.contractsfinder.service.gov.uk/Notice/ee2699e3-b417-49d5-9592-badeded5a7f5,2017-04-17T15:50:45+01:00,text/html,en,2,contractNotice,"Software Support",https://www.contractsfinder.service.gov.uk/Notice/Attachment/95319ec5-cb3b-417c-8e1e-5e7d3c0935d0,application/pdf
https://www.contractsfinder.service.gov.uk/Published/Notice/releases/8d5d4f5f-d6d7-4ef4-a1af-bb88aaa796e4.json,2017-04-17T15:38:10+01:00,"Cabinet Office",GB-GOR,D2,https://www.gov.uk/government/organisations/cabinet-office,1.1,https://standard.open-contracting.org/profiles/eu/master/en/extension.json,https://raw.githubusercontent.com/portaledcahn/ocds_tenderDatePublished_extension/master/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_budget_breakdown_extension/master/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_awards_datePublished_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_partyDetails_vcse_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_tender_suitability_extension/main/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_pagination_extension/master/extension.json,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://www.gov.uk/government/publications/open-contracting,ocds-b5fd17-9a4e127c-aad2-40e3-8bea-b37372a49a11,8d5d4f5f-d6d7-4ef4-a1af-bb88aaa796e4-142195,en,2017-04-17T15:38:10+01:00,award,tender,P102869,"Radar Horizon Survey","Radar Horizon Survey",,complete,CPV,71316000,"Telecommunication consultancy services",,,,1,"South West","United Kingdom",21250,GBP,,,,,,selective,"Negotiated procedure",2017-01-10T23:59:59Z,2017-01-11T00:00:00Z,2017-01-20T23:59:59Z,1,,services,,,,,,,,,,,,GB-GOR-EA46,"Met Office","Met Office",GB-GOR,EA46,"FitzRoy Road",Exeter,"EX1 3PB",England,,procurement.enquiries@metoffice.gov.uk,,,buyer,GB-CFS-54011,"Wardell Armstrong LLP","Wardell Armstrong LLP","Sir Hentry Doulton House,
Forge Lane,
Etruria,
Stoke On Trent,
ST1 5BD",large,,supplier,GB-GOR-EA46,"Met Office",ocds-b5fd17-9a4e127c-aad2-40e3-8bea-b37372a49a11-1,active,2017-01-10T00:00:00Z,2017-04-17T15:38:10+01:00,21250,GBP,GB-CFS-54011,"Wardell Armstrong LLP",2017-01-11T00:00:00Z,2017-01-20T23:59:59Z,1,awardNotice,"Awarded contract notice on Contracts Finder",https://www.contractsfinder.service.gov.uk/Notice/8d5d4f5f-d6d7-4ef4-a1af-bb88aaa796e4,2017-04-17T15:38:10+01:00,text/html,en,2,contractNotice,"Radar Horizon Survey",https://www.contractsfinder.service.gov.uk/Notice/Attachment/ae68def1-ab66-47f9-b946-717031b3a8bb,application/pdf
https://www.contractsfinder.service.gov.uk/Published/Notice/releases/20a38ba0-ffdb-4717-9d91-41d2334cfc01.json,2017-04-17T15:27:02+01:00,"Cabinet Office",GB-GOR,D2,https://www.gov.uk/government/organisations/cabinet-office,1.1,https://standard.open-contracting.org/profiles/eu/master/en/extension.json,https://raw.githubusercontent.com/portaledcahn/ocds_tenderDatePublished_extension/master/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_budget_breakdown_extension/master/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_awards_datePublished_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_partyDetails_vcse_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_tender_suitability_extension/main/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_pagination_extension/master/extension.json,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://www.gov.uk/government/publications/open-contracting,ocds-b5fd17-cef6ea22-ebd9-48a9-b98d-8f588662a00a,20a38ba0-ffdb-4717-9d91-41d2334cfc01-142194,en,2017-04-17T15:27:02+01:00,award,tender,P102851,"Service hosting","Contract called off from Government Framework Agreement RM3733.",,complete,CPV,72000000,"IT services: consulting, software development, Internet and support",,,,1,"South West","United Kingdom",20250,GBP,,,,,,,"Other - ",2017-01-04T23:59:59Z,2017-01-05T00:00:00Z,2019-12-31T23:59:59Z,1,,services,,,,,,,,,,,,GB-GOR-EA46,"Met Office","Met Office",GB-GOR,EA46,"FitzRoy Road",Exeter,"EX1 3PB",England,,procurement.enquiries@metoffice.gov.uk,,,buyer,GB-CFS-54010,"Bytes Software Services LTD","Bytes Software Services LTD","Bytes House,
Randalls Way,
Leatherhead,
KT22 7TW",large,,supplier,GB-GOR-EA46,"Met Office",ocds-b5fd17-cef6ea22-ebd9-48a9-b98d-8f588662a00a-1,active,2017-01-04T00:00:00Z,2017-04-17T15:27:02+01:00,20250,GBP,GB-CFS-54010,"Bytes Software Services LTD",2017-01-05T00:00:00Z,2019-12-31T23:59:59Z,1,awardNotice,"Awarded contract notice on Contracts Finder",https://www.contractsfinder.service.gov.uk/Notice/20a38ba0-ffdb-4717-9d91-41d2334cfc01,2017-04-17T15:27:02+01:00,text/html,en,2,contractNotice,"Service hosting",https://www.contractsfinder.service.gov.uk/Notice/Attachment/3952feca-75e1-4de6-b70a-5ba6c279fd15,application/pdf
https://www.contractsfinder.service.gov.uk/Published/Notice/releases/1fbd4970-8733-460e-b9b8-5490cea51dd3.json,2017-04-17T15:18:58+01:00,"Cabinet Office",GB-GOR,D2,https://www.gov.uk/government/organisations/cabinet-office,1.1,https://standard.open-contracting.org/profiles/eu/master/en/extension.json,https://raw.githubusercontent.com/portaledcahn/ocds_tenderDatePublished_extension/master/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_budget_breakdown_extension/master/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_awards_datePublished_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_partyDetails_vcse_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_tender_suitability_extension/main/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_pagination_extension/master/extension.json,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://www.gov.uk/government/publications/open-contracting,ocds-b5fd17-c0e481f6-fa25-4a43-a57b-5ec2fd29d66b,1fbd4970-8733-460e-b9b8-5490cea51dd3-142193,en,2017-04-17T15:18:58+01:00,award,tender,P102841,"Observations instruments","Observations instruments",,complete,CPV,38120000,"Meteorological instruments",,,,1,"South West","United Kingdom",49751,GBP,,,,,,selective,"Negotiated procedure",2016-12-23T23:59:59Z,2016-12-24T00:00:00Z,2017-03-31T23:59:59+01:00,1,,goods,,,,,,,,,,,,GB-GOR-EA46,"Met Office","Met Office",GB-GOR,EA46,"FitzRoy Road",Exeter,"EX1 3PB",England,,procurement.enquiries@metoffice.gov.uk,,,buyer,GB-CFS-54009,"Servelec Systems LTD","Servelec Systems LTD","Rotherside Road,
Eckington,
Sheffield",large,,supplier,GB-GOR-EA46,"Met Office",ocds-b5fd17-c0e481f6-fa25-4a43-a57b-5ec2fd29d66b-1,active,2016-12-23T00:00:00Z,2017-04-17T15:18:58+01:00,49751,GBP,GB-CFS-54009,"Servelec Systems LTD",2016-12-24T00:00:00Z,2017-03-31T23:59:59+01:00,1,awardNotice,"Awarded contract notice on Contracts Finder",https://www.contractsfinder.service.gov.uk/Notice/1fbd4970-8733-460e-b9b8-5490cea51dd3,2017-04-17T15:18:58+01:00,text/html,en,2,contractNotice,"Observations instruments",https://www.contractsfinder.service.gov.uk/Notice/Attachment/5b4f87f2-4144-4c6e-9ba8-fbe6b9fb1fc4,application/pdf
https://www.contractsfinder.service.gov.uk/Published/Notice/releases/3ed0e643-134b-4971-8098-b82116fd3771.json,2017-04-17T09:45:08+01:00,"Cabinet Office",GB-GOR,D2,https://www.gov.uk/government/organisations/cabinet-office,1.1,https://standard.open-contracting.org/profiles/eu/master/en/extension.json,https://raw.githubusercontent.com/portaledcahn/ocds_tenderDatePublished_extension/master/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_budget_breakdown_extension/master/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_awards_datePublished_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_partyDetails_vcse_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_tender_suitability_extension/main/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_pagination_extension/master/extension.json,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://www.gov.uk/government/publications/open-contracting,ocds-b5fd17-ba4875d1-57f8-4620-b9eb-5545bd54a2da,3ed0e643-134b-4971-8098-b82116fd3771-142186,en,2017-04-17T09:45:08+01:00,tender,tender,MT196230,"Local Bus Contracts - 30 Lots","Milton Keynes Council is seeking tenders from experienced transport operators for the provision of local bus services serving various parts of Milton Keynes.The services are being tendered in 30 lotsThe tenderer may bid for any number of individual lots and combined bids for multiple lots. Tenderer submitting combined bid/s must submit bids of individual lots within the combination.",2017-04-17T09:45:08+01:00,active,CPV,60112000,"Public road transport services",,,,1,"South East","United Kingdom",,,,,,,,open,"Open procedure",2017-05-24T23:59:59+01:00,2017-10-29T00:00:00+01:00,2019-10-28T23:59:59Z,,,services,1,tenderNotice,"Opportunity notice on Contracts Finder",https://www.contractsfinder.service.gov.uk/Notice/3ed0e643-134b-4971-8098-b82116fd3771,2017-04-17T09:45:08+01:00,text/html,en,2,tenderNotice,"NOTE: To register your interest in this notice and obtain any additional information please visit the myTenders Web Site at the link provided.",http://www.mytenders.org/search/show/search_view.aspx?ID=APR141555,GB-CFS-27005,"Milton Keynes Council","Milton Keynes Council",,,"Civic Offices, 1 Saxon Gate East","Milton Keynes","MK9 3HG",England,,contracts@milton-keynes.gov.uk,"+44 1908691691",http://www.milton-keynes.gov.uk,buyer,,,,,,,,GB-CFS-27005,"Milton Keynes Council",,,,,,,,,,,,,,,,,,,,,,
https://www.contractsfinder.service.gov.uk/Published/Notice/releases/d1f6c288-cd03-4bd1-b4af-024affb58fb4.json,2017-04-17T09:45:08+01:00,"Cabinet Office",GB-GOR,D2,https://www.gov.uk/government/organisations/cabinet-office,1.1,https://standard.open-contracting.org/profiles/eu/master/en/extension.json,https://raw.githubusercontent.com/portaledcahn/ocds_tenderDatePublished_extension/master/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_budget_breakdown_extension/master/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_awards_datePublished_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_partyDetails_vcse_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_tender_suitability_extension/main/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_pagination_extension/master/extension.json,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://www.gov.uk/government/publications/open-contracting,ocds-b5fd17-42d248bd-0cb6-4998-bc9a-18bc36025e17,d1f6c288-cd03-4bd1-b4af-024affb58fb4-142187,en,2017-04-17T09:45:08+01:00,award,tender,MT196190,"Local Bus Contracts - Lots 1, 2, 4, 5","Milton Keynes Council is seeking tenders from experienced transport operators for the provision of local bus services serving various parts of Milton Keynes.The services are being tendered in 5 Lots.The tenderer may bid for any number of individual lots and combined bids for multiple lots. Tenderer submitting combined bid/s must submit bids of individual lots within the combination.",,complete,CPV,60112000,"Public road transport services",,,,1,"South East","United Kingdom",675575,GBP,,,,,,open,"Open procedure",2017-01-06T23:59:59Z,2017-06-18T00:00:00+01:00,2022-06-12T23:59:59+01:00,1,,services,,,,,,,,,,,,GB-CFS-26834,"Milton Keynes Council","Milton Keynes Council",,,"Civic Offices, 1 Saxon Gate East","Milton Keynes","MK9 3EJ",England,,contracts@milton-keynes.gov.uk,"+44 1908691691",http://www.milton-keynes.gov.uk,buyer,GB-CFS-54008,"Arriva The Shires","Arriva The Shires","487 Dunstable Road, Luton",large,,supplier,GB-CFS-26834,"Milton Keynes Council",ocds-b5fd17-42d248bd-0cb6-4998-bc9a-18bc36025e17-1,active,2017-04-03T00:00:00+01:00,2017-04-17T09:45:08+01:00,675575,GBP,GB-CFS-54008,"Arriva The Shires",2017-06-18T00:00:00+01:00,2022-06-12T23:59:59+01:00,1,awardNotice,"Awarded contract notice on Contracts Finder",https://www.contractsfinder.service.gov.uk/Notice/d1f6c288-cd03-4bd1-b4af-024affb58fb4,2017-04-17T09:45:08+01:00,text/html,en,2,tenderNotice,"NOTE: To register your interest in this notice and obtain any additional information please visit the myTenders Web Site at the link provided.",http://www.mytenders.org/search/show/search_view.aspx?ID=APR141556,
https://www.contractsfinder.service.gov.uk/Published/Notice/releases/c93a47fc-ef1f-45ce-a88e-b4f12c0349cc.json,2017-04-17T09:45:07+01:00,"Cabinet Office",GB-GOR,D2,https://www.gov.uk/government/organisations/cabinet-office,1.1,https://standard.open-contracting.org/profiles/eu/master/en/extension.json,https://raw.githubusercontent.com/portaledcahn/ocds_tenderDatePublished_extension/master/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_budget_breakdown_extension/master/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_awards_datePublished_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_partyDetails_vcse_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_tender_suitability_extension/main/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_pagination_extension/master/extension.json,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://www.gov.uk/government/publications/open-contracting,ocds-b5fd17-31b9ffb3-5d5a-42e7-b742-fb5509caeded,c93a47fc-ef1f-45ce-a88e-b4f12c0349cc-142184,en,2017-04-17T09:45:07+01:00,award,tender,MT196313,"Human Capital Management System","Human Capital Management System",,complete,CPV,48450000,"Time accounting or human resources software package",,,,1,London,"United Kingdom",315665,GBP,,,,,,open,"Open procedure",2016-09-01T23:59:59+01:00,2016-11-01T00:00:00Z,2018-04-04T23:59:59+01:00,,,goods,,,,,,,,,,,,GB-CFS-33597,"Look Ahead Care and Support","Look Ahead Care and Support",,,"Kings Buildings, 16 Smith Square",London,"SW1P 3HQ",England,"Barrie North",barrienorth@lookahead.org.uk,"+44 2073684893",http://www.lookahead.org.uk,buyer,GB-CFS-54006,MHR,MHR,"Ruddington Hall, Ruddington, Nottingham",large,,supplier,GB-CFS-33597,"Look Ahead Care and Support",ocds-b5fd17-31b9ffb3-5d5a-42e7-b742-fb5509caeded-1,active,2017-04-05T00:00:00+01:00,2017-04-17T09:45:07+01:00,315665,GBP,GB-CFS-54006,MHR,2016-11-01T00:00:00Z,2018-04-04T23:59:59+01:00,1,awardNotice,"Awarded contract notice on Contracts Finder",https://www.contractsfinder.service.gov.uk/Notice/c93a47fc-ef1f-45ce-a88e-b4f12c0349cc,2017-04-17T09:45:07+01:00,text/html,en,2,tenderNotice,"NOTE: To register your interest in this notice and obtain any additional information please visit the myTenders Web Site at the link provided.",http://www.mytenders.org/search/show/search_view.aspx?ID=APR141553,
https://www.contractsfinder.service.gov.uk/Published/Notice/releases/fa019d5a-fbaf-4793-a55c-d2a47cd523dd.json,2017-04-17T09:45:07+01:00,"Cabinet Office",GB-GOR,D2,https://www.gov.uk/government/organisations/cabinet-office,1.1,https://standard.open-contracting.org/profiles/eu/master/en/extension.json,https://raw.githubusercontent.com/portaledcahn/ocds_tenderDatePublished_extension/master/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_budget_breakdown_extension/master/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_awards_datePublished_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_partyDetails_vcse_extension/main/extension.json,https://raw.githubusercontent.com/Crown-Commercial-Service/ocds_tender_suitability_extension/main/extension.json,https://raw.githubusercontent.com/open-contracting-extensions/ocds_pagination_extension/master/extension.json,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://www.gov.uk/government/publications/open-contracting,ocds-b5fd17-2ed4e45e-572c-447b-9df6-20d30d53113a,fa019d5a-fbaf-4793-a55c-d2a47cd523dd-142185,en,2017-04-17T09:45:07+01:00,tender,tender,MT196329,"DPS Framework Property Investment Consultancy","DPS framework to enable commercial agents and investment consultants to introduce investment properties and act for the council to acquire the properties they introduce.",2017-04-17T09:45:07+01:00,active,CPV,70300000,"Real estate agency services on a fee or contract basis",,,,1,"South East","United Kingdom",1500000,GBP,,,,,,selective,"Restricted procedure",2017-05-15T23:59:59+01:00,2017-06-01T00:00:00+01:00,2022-05-31T23:59:59+01:00,1,1,services,1,tenderNotice,"Opportunity notice on Contracts Finder",https://www.contractsfinder.service.gov.uk/Notice/fa019d5a-fbaf-4793-a55c-d2a47cd523dd,2017-04-17T09:45:07+01:00,text/html,en,2,tenderNotice,"NOTE: To register your interest in this notice and obtain any additional information please visit the myTenders Web Site at the link provided.",http://www.mytenders.org/search/show/search_view.aspx?ID=APR141554,GB-CFS-54007,"East Hampshire District Council","East Hampshire District Council",,,"Penns Place",Petersfield,"GU31 4EX",England,,5C.TenderManagement@capita.co.uk,,https://procurementsolutions.esourcingportal.com,buyer,,,,,,,,GB-CFS-54007,"East Hampshire District Council",,,,,,,,,,,,,,,,,,,,,,
