Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,VAT Registration Number,Purchase Invoice Number
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Clinical Costs,Radiology (STH),SECTRA LTD,42865789,"60,401.80",810256369,SIN004506
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contr Refuse & Clin Waste,Waste (STH),SHARPSMART LTD,43096113,"-21,127.85",GB 801 4496 49,174330
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Gen Supplies & Srv,Surrey Downs ICP,SURREY MEDICAL NETWORK LTD,44387562,"100,000.00",,INV0026
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Training Expenses,Medical Dir Support,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,44429519,"28,644.30",654945990,H0307642
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,SrvcsRecd-Other NHS,Procurement,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,44683354,"37,088.61",654943703,78787598
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Ext Contr Laundry,Linen Laundry (STH),SYNERGY HEALTH MANAGED SERVICES LTD,44802689,"4,345.85",GB 243 8296 87,30013646
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Ext Contr Laundry,Linen Laundry (STH),SYNERGY HEALTH MANAGED SERVICES LTD,44802689,"60,029.14",GB 243 8296 87,30013646
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contr Refuse & Clin Waste,Waste (STH),SHARPSMART LTD,44945519,"23,379.32",GB 801 4496 49,177176
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,WILLMOTT DIXON INTERIORS LTD,45056376,"521,226.02",GB197737796,08002681
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,WILLMOTT DIXON INTERIORS LTD,45056376,"104,245.20",GB197737796,08002681
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,External Consultancy Fees,Finance Director,KINGSGATE INTERIM ADVISORY & INVESTMENT,45121327,"61,068.00",944774190,1766
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,45121335,"893,100.00",908946778,20552
