Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,East Sussex Healthcare NHS Trust,01/03/2019,"BOOKS, JOURNALS & SUBCRIPTIONS",Corporate Services,UPTODATE,0001460186,39850.34,
Department of Health,East Sussex Healthcare NHS Trust,05/03/2019,CONSULTANCY FEES,Corporate Services,MABO CONSULTING LIMITED,0001460346,36000.00,
Department of Health,East Sussex Healthcare NHS Trust,06/03/2019,APPRENTICESHIP LEVY,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001460365,1520.00,
Department of Health,East Sussex Healthcare NHS Trust,06/03/2019,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001460365,3732.09,
Department of Health,East Sussex Healthcare NHS Trust,06/03/2019,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001460365,75273.02,
Department of Health,East Sussex Healthcare NHS Trust,06/03/2019,CONSULTANCY FEES,Corporate Services,MABO CONSULTING LIMITED,0001460416,39600.00,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,ELECTRICITY,Commercial,EDF ENERGY,0001459838,-38828.53,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,CAPITAL EXPEND BUILDINGS,Other Central,BOOKER & BEST LIMITED,0001460153,133097.89,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,DATA LANDLINE RENTAL,Corporate Services,BRITISH TELECOMMUNICATIONS PLC,0001460179,294056.22,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,GAS,Commercial,CORONA ENERGY,0001460328,39702.30,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,GAS,Commercial,CORONA ENERGY,0001460329,132115.80,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,GAS (FIRM),Commercial,CORONA ENERGY,0001460329,1874.18,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,ELECTRICITY,Commercial,EDF ENERGY,0001460391,89001.90,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,0002333135,41897.77,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,0002333137,43000.00,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,0012024351,29542.02,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,PROFESSIONAL FEES,Corporate Services,BIGHAND,0021022175,35925.40,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,0026001323,43024.30,
Department of Health,East Sussex Healthcare NHS Trust,07/03/2019,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,0026001325,45730.48,
Department of Health,East Sussex Healthcare NHS Trust,13/03/2019,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001460565,3399.45,
Department of Health,East Sussex Healthcare NHS Trust,13/03/2019,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001460565,68828.06,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,SA-FPC REF FP10S,Cross Site,NHS BUSINESS SERVICES AUTHORITY,0000151731,61640.34,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,CONT.MAIN-MED & SURG EQUIP,Integrated Care,AGFA HEALTHCARE UK LTD,0000772008,27571.16,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,CONT.MAIN-MED & SURG EQUIP,Integrated Care,AGFA HEALTHCARE UK LTD,0000772008,12867.88,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,COMPUTER MAINT - SOFTWARE,Corporate Services,KAINOS SOFTWARE LTD,0001460028,75000.00,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0001460052,158838.96,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,CAPITAL EXPEND BUILDINGS,Other Central,REDS10,0001460506,595818.25,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,ELECTRICITY,Commercial,EDF ENERGY,0001460507,37398.56,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,ELECTRICITY,Commercial,EDF ENERGY,0001460507,2079.65,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,PROVISIONS,Commercial,THE CUISINE CENTRE,0002333183,27689.54,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,HARDWARE & CROCKERY,Commercial,THE CUISINE CENTRE,0002333183,806.40,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0012023579,99636.00,
Department of Health,East Sussex Healthcare NHS Trust,14/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,JANSSEN-CILAG LTD,0012023625,31067.95,
Department of Health,East Sussex Healthcare NHS Trust,20/03/2019,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000151753,183128.04,
Department of Health,East Sussex Healthcare NHS Trust,20/03/2019,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000151781,146077.87,
Department of Health,East Sussex Healthcare NHS Trust,20/03/2019,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000151796,138753.74,
Department of Health,East Sussex Healthcare NHS Trust,20/03/2019,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,HC ONE,0001460642,83719.80,
Department of Health,East Sussex Healthcare NHS Trust,20/03/2019,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,HC ONE,0001460643,83719.80,
Department of Health,East Sussex Healthcare NHS Trust,20/03/2019,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,HC ONE,0001460644,83719.80,
Department of Health,East Sussex Healthcare NHS Trust,20/03/2019,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001460756,3122.01,
Department of Health,East Sussex Healthcare NHS Trust,20/03/2019,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001460756,62537.91,
Department of Health,East Sussex Healthcare NHS Trust,20/03/2019,CONTRACT - MANAGEMENT FEE,Integrated Care,ROCHE DIAGNOSTICS LTD,0026003507,237335.06,
Department of Health,East Sussex Healthcare NHS Trust,21/03/2019,PROFESSIONAL FEES,Corporate Services,HEALTHCARE COMMUNICATIONS UK LTD,0001460300,49996.00,
Department of Health,East Sussex Healthcare NHS Trust,21/03/2019,WATER & SEWERAGE,Commercial,CASTLE WATER LTD,0001460706,30585.54,
Department of Health,East Sussex Healthcare NHS Trust,21/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,NOVARTIS PHARMACEUTICALS UK LTD,0012023766,26714.24,
Department of Health,East Sussex Healthcare NHS Trust,21/03/2019,STOCK-ASCRIBE EDGH,Pharmacy Stock,JANSSEN-CILAG LTD,0013090660,39938.45,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,M&S GENERAL SUPPLIES-OTHER,Integrated Care,INTUITIVE SURGICAL LIMITED,0000772964,4140.00,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,SURGICAL INSTRUMENTS,Integrated Care,INTUITIVE SURGICAL LIMITED,0000772964,24372.00,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,PROFESSIONAL FEES,Commercial,SALISBURY TRADING LIMITED,0001460178,46469.06,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,SR SALISBURY,Commercial,SALISBURY TRADING LIMITED,0001460178,865.43,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,ELECTRICITY,Commercial,EDF ENERGY,0001460593,81478.56,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,GAS,Commercial,CORONA ENERGY,0001460601,40333.81,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,ELECTRICITY,Commercial,EDF ENERGY,0001460630,25829.87,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,ELECTRICITY,Commercial,EDF ENERGY,0001460630,947.79,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,EXTERNAL AUDIT FEES,Corporate Services,GRANT THORNTON,0001460654,42780.00,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,DRUGS-HIV,Integrated Care,ALCURA UK LTD,0001460793,26326.80,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,CAPITAL EXPEND BUILDINGS,Other Central,BOOKER & BEST LIMITED,0001460835,123005.44,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,TELEPHONES-MAINTENANCE,Corporate Services,DIMENSION DATA,0002330320,28946.36,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,TELEPHONES-MAINTENANCE,Corporate Services,DIMENSION DATA,0002330321,24095.31,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,TELEPHONES-MAINTENANCE,Corporate Services,DIMENSION DATA,0002332146,28946.36,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,PROFESSIONAL FEES,Commercial,SALISBURY TRADING LIMITED,0002332514,30653.38,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,PROVISIONS,Commercial,THE CUISINE CENTRE,0002333184,26395.45,
