Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Document Total 
Department of Health,East Sussex Healthcare NHS Trust,03/06/2024,GENERAL RATES,Commercial,HASTINGS BOROUGH COUNCIL,0001833866,115752.00,"115,752.00"
Department of Health,East Sussex Healthcare NHS Trust,03/06/2024,GENERAL RATES,Commercial,EASTBOURNE BOROUGH COUNCIL,0001833869,89180.00,"89,180.00"
Department of Health,East Sussex Healthcare NHS Trust,05/06/2024,APPRENTICESHIP LEVY,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001833873,1664.00,"99,573.43"
Department of Health,East Sussex Healthcare NHS Trust,05/06/2024,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001833873,3960.58,"99,573.43"
Department of Health,East Sussex Healthcare NHS Trust,05/06/2024,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001833873,93156.73,"99,573.43"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,SR NHS SBS,Corporate Services,NHS SHARED BUSINESS SERVICES,0000160692,32612.92,"39,135.50"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CONT.MAIN-MED & SURG EQUIP,Integrated Care,NHS SUPPLY CHAIN,0000160700,14359.01,"34,461.62"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CONT.MAIN-MED & SURG EQUIP,Integrated Care,NHS SUPPLY CHAIN,0000160700,14359.01,"34,461.62"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000160730,229622.59,"229,622.59"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000160731,248725.57,"248,725.57"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CONTRACT - MANAGEMENT FEE,Integrated Care,ROCHE DIAGNOSTICS LTD,0001833514,397440.00,"476,928.00"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CAPITAL EXPEND BUILDINGS,Other Central,BOOKER & BEST LIMITED,0001833719,39404.95,"39,404.95"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,DRUGS-HIV,Integrated Care,ALCURA UK LTD,0001833729,34876.34,"34,876.34"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,ELECTRICITY,Commercial,EDF ENERGY,0001833753,260976.80,"260,976.80"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CAPITAL EXPEND BUILDINGS,Other Central,BOOKER & BEST LIMITED,0001833766,54000.00,"54,000.00"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,PROFESSIONAL FEES,Corporate Services,ANS GROUP LTD,0001833803,180000.00,"528,300.00"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,COMPUTER MAINT - SOFTWARE,Corporate Services,ANS GROUP LTD,0001833803,348300.00,"528,300.00"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CAPITAL EXPEND BUILDINGS,Other Central,PD HARRIS LTD,0001833842,56912.39,"56,912.39"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CAPITAL EXPEND BUILDINGS,Other Central,EASTBOURNE ELECTRICAL LLP,0001833843,46455.28,"46,455.28"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,0012106873,54720.00,"54,720.00"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0012107197,45785.78,"45,785.78"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,0012107254,37052.50,"37,052.50"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,NOVARTIS PHARMACEUTICALS UK LTD,0013156241,30639.17,"30,639.17"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CONT.MAIN-MED & SURG EQUIP,Integrated Care,CARL ZEISS LTD,0026128229,15840.60,"33,048.00"
