TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2020-02-03,HAYMARKET MEDIA GROUP,"1,197.60",7039362616
2020-02-03,AWS EMEA,869.01,7032008756
2020-02-06,RED SNAPPER LTD,756,8953591331
2020-02-06,CAPITA BUSINESS SERVS,583.8,8953591335
2020-02-06,CAPITA BUSINESS SERVS,575.94,8953591337
2020-02-06,LSR TRAINING AND DEVEL,"2,016.00",8961438147
2020-02-06,WWW.BIFM.ORG.UK,828,8961438149
2020-02-07,CAPITA BUSINESS SERVS,"1,078.58",8961438153
2020-02-07,GBP PENTON PUBLICATION,"2,274.00",8961438157
2020-02-11,LIVEGROUP.CO.UK,594,8973384755
2020-02-11,LIVEGROUP.CO.UK,750,8973384757
2020-02-11,LIVEGROUP.CO.UK,594,8973384759
2020-02-13,ENERGIA,697.35,8984224255
2020-02-14,LEGAL TRAINING CONSULT,720,7052765358
2020-02-19,WWW.ALLIESCOMPUTING.CO,984,7068802170
