InvoiceMonth,MeatIndustryCash,MiscAndMilkIndustryCash,RadiologicalCash,GovernmentCash
2019-08,2560690.76,4463.35,13191.69,132061.17
2019-09,2213623.14,4981,188079.83,568362.93
2019-10,1669657.32,4901.75,18671.62,422690
2019-11,2671622.63,3521.93,251.96,260947.7
2019-12,2036875.54,3248.73,241804.02,328867.59
2020-01,2557590.81,52094.73,13546.47,444586.95
2020-02,2078583.12,4499.83,0,196612.74
2020-03,2148193.84,3425.73,132852.35,215452.38
2020-04,1317138.94,4725.17,4177.46,438518.42
2020-05,2377269.74,3702.03,25159.3,8948.58
2020-06,2351913.66,4543.7,182549.99,114697.6
2020-07,2721674.88,4814.3,124190.4,548644.84
