InvoiceMonth,MeatIndustryCash,MiscAndMilkIndustryCash,RadiologicalCash,GovernmentCash
2018-03,2234388.32,4670.7,7454.18,739434.11
2018-04,1638658.7,3425.95,190130.93,573414.36
2018-05,2192227.53,2692.17,78984.45,199902.56
2018-06,2255157.17,6358.69,159280.3,153328.06
2018-07,1793741.56,4168,72935.56,225527.78
2018-08,1995248.88,3692.5,2562.88,234247.95
2018-09,2163567.12,5402.3,0.01,131117.98
2018-10,2135510.19,12212.94,347600,268724.04
2018-11,2266240.85,3901.7,13105.74,229532.29
2018-12,1644209.61,5446,136878.13,571682.01
2019-01,2153870.54,4619.5,17802.88,291021.98
2019-02,1941104.04,4822.75,228.16,246762.63
