Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
HEATHER HANCOCK LVO,Chairman ,2017-04-10,2017-04-12,London,Official Meetings,,250,33.76,301.9,,585.66,
HEATHER HANCOCK LVO,Chairman ,2017-04-12,2017-04-12,London,Oyster card top-up,,20,,,,20,
HEATHER HANCOCK LVO,Chairman ,2017-04-18,2017-04-19,London,Official Meetings ,,250,23.76,142.81,149.34,565.91,
HEATHER HANCOCK LVO,Chairman ,2017-04-24,2017-04-25,London,Official Meetings ,,109.6,20.88,141.7,113.16,385.34,
HEATHER HANCOCK LVO,Chairman ,2017-04-25,2017-04-26,York,Official Meetings ,,138.5,18.25,,,156.75,
HEATHER HANCOCK LVO,Chairman ,2017-04-27,2017-04-27,York,Speaker at a dinner,,24.8,23.76,5,,53.56,
HEATHER HANCOCK LVO,Chairman ,2017-05-02,2017-05-03,London,Official Meetings,,250,34.76,30.5,,315.26,
HEATHER HANCOCK LVO,Chairman ,2017-05-04,2017-05-04,London,Oyster card top-up,,20,,,,20,
HEATHER HANCOCK LVO,Chairman ,2017-05-08,2017-05-12,London,Official Meetings,,250,38.76,604.2,,892.96,
HEATHER HANCOCK LVO,Chairman ,2017-05-15,2017-05-17,London,Official Meetings,,251.5,15.76,285,,552.26,
HEATHER HANCOCK LVO,Chairman ,2017-05-16,2017-05-16,London,Oyster card top-up,,20,,,,20,
HEATHER HANCOCK LVO,Chairman ,2017-05-22,2017-05-23,Aberdeen,Stakeholder Meeting,462.25,,66.8,80.1,,609.15,
HEATHER HANCOCK LVO,Chairman ,2017-05-30,2017-05-31,Sheffield / Scunthorpe,Stakeholder Visit,,,23.76,,,23.76,
HEATHER HANCOCK LVO,Chairman ,2017-06-05,2017-06-06,London / Chipping Campden,Official Meetings / Stakeholder ,,256.5,85.76,140,,482.26,
HEATHER HANCOCK LVO,Chairman ,2017-06-12,2017-06-13,London ,Stakeholder Event,,255,43.76,100,,398.76,
HEATHER HANCOCK LVO,Chairman ,2017-06-14,2017-06-16,Belfast / London,Official Meetings,29.99,84.8,52,279.75,,446.54,
HEATHER HANCOCK LVO,Chairman ,2017-06-19,2017-06-21,Liverpool,FSA Board Meeting,,43.9,32.96,186.2,6.75,269.81,
HEATHER HANCOCK LVO,Chairman ,2017-06-22,2017-06-22,London,Stakeholder Event,,188.5,20.56,,,209.06,
HEATHER HANCOCK LVO,Chairman ,2017-06-27,2017-06-29,London / Newark,Speaker at a conference / Official Meetings,,219.2,83.76,315.75,,618.71,
TIM BENNETT,Deputy Chair,2017-04-05,2017-04-07,London,Stakeholder Event,,73.45,33.3,134.5,,241.25,
TIM BENNETT,Deputy Chair,2017-04-10,2017-04-11,London,Official Meetings,,168.5,30.3,141.75,,340.55,
DAVID BROOKS,Board Member ,2017-06-19,2017-06-21,Liverpool,FSA Board Meeting,,125.2,,178,,303.2,
RAM GIDOOMAL,Board Member,2017-06-19,2017-06-21,Liverpool,FSA Board Meeting,,,,201.6,,201.6,
ROSIE GLAZEBROOK,Board Member,2017-05-09,2017-05-09,London,Official Meetings,,2.4,,,,2.4,
ROSIE GLAZEBROOK,Board Member,2017-06-19,2017-06-21,Liverpool,FSA Board Meeting,,89.2,13,193.26,,295.46,
ROSIE GLAZEBROOK,Board Member,2017-06-27,2017-06-27,York,Official Meeting,,120,31,,,151,
STEWART HOUSTON,Board Member,2017-06-19,2017-06-21,Liverpool,FSA Board Meeting,,,106.2,178,,284.2,
DR RUTH HUSSEY,Board Member and Chair of Welsh Food Advisory Committee,2017-06-14,2017-06-15,Cardiff,Official Meeting,,,,195.6,,195.6,
DR RUTH HUSSEY,Board Member and Chair of Welsh Food Advisory Committee,2017-06-21,2017-06-21,Liverpool,FSA Board Meeting,,,14.59,,,14.59,
COLM MCKENNA,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-04-04,2017-04-04,Belfast,Official Meetings,,,11.7,,,11.7,
COLM MCKENNA,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-04-10,2017-04-10,Belfast,Official Meetings,,,11.7,,,11.7,
COLM MCKENNA,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-04-24,2017-04-24,Belfast,Official Meetings,,,10.8,,,10.8,
COLM MCKENNA,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-06-13,2017-06-13,Belfast,Official Meetings,,,11.7,,,11.7,
COLM MCKENNA,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-06-14,2017-06-14,Belfast,Official Meetings,,,11.7,,,11.7,
COLM MCKENNA,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-06-19,2017-06-21,Liverpool,FSA Board Meeting,50.46,,74.99,178,,303.45,
PAUL WILLIAMS,Board Member,2017-05-19,2017-05-19,London,Official Meetings,,50.1,,,,50.1,
PAUL WILLIAMS,Board Member,2017-06-19,2017-06-21,Liverpool,FSA Board Meeting,,,120.6,178,,298.6,
PAUL WILLIAMS,Board Member,2017-06-28,2017-06-28,London,Official Meetings,,50.1,,,,50.1,
