Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Heather Hancock LVO,Chairman,2016-10-03,2016-10-05,London,Official Meetings,,179.5,25.76,259.1,65.81,530.17,
Heather Hancock LVO,Chairman,2016-10-10,2016-10-13,London,Official Meetings,,190.8,38.76,376.05,11,616.61,
Heather Hancock LVO,Chairman,2016-10-18,2016-10-19,Leeds,FSA Board Retreat,,26.6,29.44,98.95,8.3,163.29,
Heather Hancock LVO,Chairman,2016-10-24,2016-10-26,London,Official Meetings,,213.5,7.88,318,4.68,544.06,
Heather Hancock LVO,Chairman,2016-10-26,2016-10-26,London,Oyster card top-up,,20,,,,20,
Heather Hancock LVO,Chairman,2016-10-31,2016-10-31,London,Official Meetings,,119,7.88,,,126.88,
Heather Hancock LVO,Chairman,2016-11-01,2016-11-03,London,Official Meetings,,119,16.48,276.69,21.65,433.82,
Heather Hancock LVO,Chairman,2016-11-07,2016-11-09,London,Official Meetings,,238,25.76,317.43,34.5,615.69,
Heather Hancock LVO,Chairman,2016-11-14,2016-11-16,London,Official Meetings,,242.6,26.26,309.09,5.85,583.8,
Heather Hancock LVO,Chairman,2016-11-21,2016-11-21,London,Oyster card top-up,,20,,,,20,
Heather Hancock LVO,Chairman,2016-11-21,2016-11-24,London / Cardiff,Official Meetings / FSA Board Meeting,,280.9,66.26,171.58,,518.74,
Heather Hancock LVO,Chairman,2016-11-28,2016-11-30,London,Official Meetings,,181,68.56,262.59,76.76,588.91,
Heather Hancock LVO,Chairman,2016-12-06,2016-12-07,London,Official Meetings,,179.5,47.76,44.59,15.6,287.45,
Heather Hancock LVO,Chairman,2016-12-07,2016-12-07,London,Oyster card top-up,,20,,,,20,
Heather Hancock LVO,Chairman,2016-12-12,2016-12-13,London,Official Meetings,,181,15.76,166.95,,363.71,
Tim Bennett,Deputy Chair,2016-10-10,2016-10-12,London,Official Meetings,,64.8,41.9,277.6,,384.3,
Tim Bennett,Deputy Chair,2016-10-13,2016-10-14,London,Official Meetings,,4.8,24.3,16.4,,45.5,
Tim Bennett,Deputy Chair,2016-10-17,2016-10-19,Leeds,FSA Board Retreat,,69.65,37.5,196.4,28,331.55,
Tim Bennett,Deputy Chair,2016-10-20,2016-10-21,Droitwich,Stakeholder Event,,,123.3,139,,262.3,
Tim Bennett,Deputy Chair,2016-10-26,2016-10-27,London,Official Meetings,,64.8,33.1,130,,227.9,
Tim Bennett,Deputy Chair,2016-10-31,2016-11-02,London,Official Meetings,,58.8,37.5,263.69,85.65,445.64,
Tim Bennett,Deputy Chair,2016-11-07,2016-11-08,London,Official Meetings / Stakeholder Events,,58.8,33.1,94,,185.9,
Tim Bennett,Deputy Chair,2016-11-14,2016-11-15,London,Official Meetings,,58.8,30.3,122.35,,211.45,
Tim Bennett,Deputy Chair,2016-11-21,2016-11-23,Cardiff / London,FSA Board Meeting / Official Meetings,,63.4,33.15,183.6,,280.15,
Tim Bennett,Deputy Chair,2016-12-06,2016-12-08,London,Official Meetings / Stakeholder Events,,69.05,46.3,248,,363.35,
Tim Bennett,Deputy Chair,2016-12-15,2016-12-15,London,Official Meetings,,33.1,12.15,9.4,,54.65,
Tim Bennett,Deputy Chair,2016-12-19,2016-12-19,Cardiff ,Official Meetings,,7,24.3,14.45,,45.75,
Tim Bennett,Deputy Chair,2016-12-20,2016-12-20,London,Official Meetings / Stakeholder Meetings,,44.8,24.3,,,69.1,
David Brooks,Board Member,2016-10-11,2016-10-11,London,FSA Parliamentary Reception,,16.3,,,,16.3,
David Brooks,Board Member,2016-10-17,2016-10-19,Leeds,FSA Board Retreat,,107.9,,204.75,,312.65,
David Brooks,Board Member,2016-11-14,2016-11-14,London,Official Meeting,,16.3,,,,16.3,
David Brooks,Board Member,2016-11-15,2016-11-15,Melton Mowbray,Stakeholder Visit,,116.7,30,,,146.7,
David Brooks,Board Member,2016-11-21,2016-11-23,Cardiff,FSA Board Meeting,,85.3,,15,,100.3,
David Brooks,Board Member,2016-11-29,2016-11-29,Wokingham,Stakeholder Visit,,,16.5,,,16.5,
Ram Gidoomal,Board Member,2016-10-17,2016-10-19,Leeds,FSA Board Retreat,,150.2,,208.5,,358.7,
Ram Gidoomal,Board Member,2016-11-21,2016-11-23,Cardiff,FSA Board Meeting,,,150.6,203,,353.6,
Rosie Glazebrook,Board Member,2016-10-17,2016-10-19,Leeds,FSA Board Retreat,,108.9,,205.52,,314.42,
Rosie Glazebrook,Board Member,2016-11-07,2016-11-07,London,Official Meetings,,3.6,,,,3.6,
Rosie Glazebrook,Board Member,2016-11-22,2016-11-23,Cardiff,FSA Board Meeting,,99.2,6,90,,195.2,
Rosie Glazebrook,Board Member,2016-11-30,2016-11-30,West Malling,Stakeholder Visit,,35.6,,,,35.6,
Rosie Glazebrook,Board Member,2016-12-13,2016-12-13,London,Official Meetings,,5.3,,,,5.3,
Stewart Houston,Board Member,2016-10-03,2016-10-03,London,Official Meetings,,,5,,,5,
Stewart Houston,Board Member,2016-10-17,2016-10-19,Leeds,FSA Board Retreat,,32.85,7.65,190,,230.5,
Stewart Houston,Board Member,2016-10-21,2016-10-21,Northallerton,Stakeholder Visit,,,13.95,,,13.95,
Stewart Houston,Board Member,2016-11-17,2016-11-17,York,Official Meetings,,7.25,13.65,,,20.9,
Stewart Houston,Board Member,2016-11-22,2016-11-23,Cardiff,FSA Board Meeting,,144.9,35.65,90,,270.55,
Stewart Houston,Board Member,2016-12-07,2016-12-07,Spalding,Official Meeting,,,122.4,,,122.4,
Dr Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-10-11,2016-10-11,London,FSA Parliamentary Reception,,57.02,21,,,78.02,
Dr Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-10-17,2016-10-19,Leeds,FSA Board Retreat,,30.14,,190,,220.14,
Dr Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-10-24,2016-10-24,London,Official Meetings,,61.86,1.36,,,63.22,
